"","neutral_099.jpg","neutral_103.jpg","neutral_106.jpg","neutral_117.jpg","neutral_124.jpg","neutral_156.jpg","neutral_186.jpg","neutral_194.jpg","neutral_2019.jpg","neutral_2215.jpg","neutral_2305.jpg","neutral_2393.jpg","neutral_2442.jpg","neutral_2495.jpg","neutral_BP5.jpg","neutral_D.jpg","neutral_N01.bmp","neutral_N13.bmp","neutral_N19.bmp","neutral_N20.bmp","neutral_N31.bmp","neutral_n5.jpg","neutral_NF1.jpg","neutral_NF4.jpg","neutral_SP3.jpg"
"neutral_099.jpg",0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0.333333333333333
"neutral_103.jpg",0.5,0,0,0,0,0,0,0,0,0.5,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1
"neutral_106.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0.333333333333333,0,1,1,0.666666666666667,0,0,0,0,0,1,0,0
"neutral_117.jpg",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
"neutral_124.jpg",0,0,1,0,0,0,1,1,0,0.5,0,0.333333333333333,0,0,0,1,0.5,1,0.5,0.5,0,0,0,0,0
"neutral_156.jpg",0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"neutral_186.jpg",0,0,0,0,1,0.5,0,0,0,1,0.5,1,0,1,0,0,0,1,0,0,1,0,0,0,1
"neutral_194.jpg",0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0
"neutral_2019.jpg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"neutral_2215.jpg",0,0.5,0,0,0.5,0,1,1,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5
"neutral_2305.jpg",0,1,0,0,0,0,0.5,0,1,0.5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
"neutral_2393.jpg",0,0,0,0,0.333333333333333,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.5,0
"neutral_2442.jpg",1,0,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0.333333333333333,0,1,0,0,0,0,0,0,0.5,1,0
"neutral_2495.jpg",0,0,0,1,0,0,1,0,0,0,0,0,0.333333333333333,0,0,0,0,0,1,0,0,0,1,0,0
"neutral_BP5.jpg",0,1,1,0,0,0,0,0,0,0.5,1,0,0,0,0,1,0,0,0,0.666666666666667,1,1,0,1,0
"neutral_D.jpg",0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
"neutral_N01.bmp",0,0,0.666666666666667,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"neutral_N13.bmp",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
"neutral_N19.bmp",0,0,0,0,0.5,0,0,0,0,0.5,0,1,0,1,0,0,0,1,0,0,0.5,0,0,0,0.5
"neutral_N20.bmp",0.5,0,0,1,0.5,1,0,0.5,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,1,0,0
"neutral_N31.bmp",0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0.5,0.333333333333333,0.5,0
"neutral_n5.jpg",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0.5,0,0.5,1,0
"neutral_NF1.jpg",0,1,1,1,0,0,0,0,1,0,0,0,0.5,1,0,0,0,1,0,1,0.333333333333333,0.5,0,0,0
"neutral_NF4.jpg",0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,0,0,0,0,0,0.5,1,0,0,0
"neutral_SP3.jpg",0.333333333333333,1,0,0,0,0,1,0,0,0.5,0,0,0,0,0,1,1,1,0.5,0,0,0,0,0,0
