"","negative_113.jpg","negative_207.jpg","negative_2095.jpg","negative_2122.jpg","negative_215.jpg","negative_217.jpg","negative_2458.jpg","negative_251.jpg","negative_2750.jpg","negative_2753.jpg","negative_2810.jpg","negative_3180.jpg","negative_6211.jpg","negative_6212.jpg","negative_6555.jpg","negative_6821.jpg","negative_AF3.jpg","negative_b7.jpg","negative_FP3.jpg","negative_I1.jpg","negative_L04.bmp","negative_L24.bmp","negative_MF2.jpg","negative_SF4.jpg","negative_T1.jpg"
"negative_113.jpg",0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,1,0
"negative_207.jpg",1,0,1,0,0,0,0,1,0,0,1,0.5,0,1,0,0,0,1,1,0,0,0,0,0,0
"negative_2095.jpg",1,1,0,0,0,0.5,0,1,0,0,0,0,0,1,0,0,0,0.5,1,0,1,0,1,0,0
"negative_2122.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"negative_215.jpg",0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,0,0.5,0,0,0,0,0,0,1,0,0,0,0
"negative_217.jpg",0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"negative_2458.jpg",0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,1
"negative_251.jpg",0,1,1,0,1,0,0,0,1,0,0,1,0,0,0.666666666666667,0,0,0,1,0,1,0,0.5,0,0
"negative_2750.jpg",1,0,0,0,0.5,0,0,1,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1,0
"negative_2753.jpg",0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"negative_2810.jpg",0,1,0,0,0.5,1,0.333333333333333,0,0,0,0,0.333333333333333,1,0,1,0.5,1,0,0,0,0.5,1,0,0,0
"negative_3180.jpg",1,0.5,0,0,1,0,0,1,0,0,0.333333333333333,0,0,0,0.5,0,0,0,1,0,0,0.333333333333333,1,0,0
"negative_6211.jpg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,1,0,0,0,0,0,0,0,0,1
"negative_6212.jpg",0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.333333333333333,0,0,0,0
"negative_6555.jpg",0,0,0,0,0,0,0.5,0.666666666666667,0.5,0,1,0.5,0.5,0,0,0.5,0,1,0,0,0,0,0.25,0,0
"negative_6821.jpg",0,0,0,0,0,1,0,0,0,0,0.5,0,1,0.75,0.5,0,0,0,0,0,0,0,0,0,1
"negative_AF3.jpg",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"negative_b7.jpg",0,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0.333333333333333,0,0.5,0,0.666666666666667,0,0
"negative_FP3.jpg",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.333333333333333,0,0,0,0,1,0,0
"negative_I1.jpg",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"negative_L04.bmp",0.5,0,1,0,1,0,0,1,0,1,0.5,0,0,0.333333333333333,0,0,0,0.5,0,0,0,0,0,0,0.25
"negative_L24.bmp",0,0,0,0,0,1,0,0,0,0,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0
"negative_MF2.jpg",0,0,1,0,0,0,0,0.5,1,0,0,1,0,0,0.25,0,0,0.666666666666667,1,0,0,1,0,1,0
"negative_SF4.jpg",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"negative_T1.jpg",0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.25,0,0,0,0
