"","neutral_099.jpg","neutral_106.jpg","neutral_117.jpg","neutral_124.jpg","neutral_157.jpg","neutral_186.jpg","neutral_191.jpg","neutral_194.jpg","neutral_199.jpg","neutral_2019.jpg","neutral_2200.jpg","neutral_2305.jpg","neutral_2393.jpg","neutral_2394.jpg","neutral_2442.jpg","neutral_2495.jpg","neutral_J2.jpg","neutral_N01.bmp","neutral_N05.bmp","neutral_N07.bmp","neutral_N12.bmp","neutral_N20.bmp","neutral_NF4.jpg","neutral_S5.jpg","neutral_SP3.jpg"
"neutral_099.jpg",0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0.25,0,0,0,0,0
"neutral_106.jpg",1,0,0,0,0,0.5,0,0,1,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_117.jpg",0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0.5
"neutral_124.jpg",1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.333333333333333,0,0
"neutral_157.jpg",0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_186.jpg",0,0.5,1,0,1,0,1,0,0,0.75,0.333333333333333,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0
"neutral_191.jpg",1,0,0,1,0,1,0,1,1,0,0,0,0,0.5,1,0,1,0,0,0,0,0,0,0,1
"neutral_194.jpg",1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0.25,0,0.5,0,0.5,0
"neutral_199.jpg",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0.333333333333333,0,0,1,0,0,0,0,0,0,0
"neutral_2019.jpg",0,0,0,0,0,0.75,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"neutral_2200.jpg",0,0,0,0,0,0.333333333333333,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
"neutral_2305.jpg",0,0.666666666666667,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"neutral_2393.jpg",0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_2394.jpg",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.333333333333333,0
"neutral_2442.jpg",0,0,1,0,0,0,1,0,0.333333333333333,0,0,0,0,1,0,1,0,0,0,0,0,0.333333333333333,1,0,1
"neutral_2495.jpg",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"neutral_J2.jpg",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
"neutral_N01.bmp",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"neutral_N05.bmp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"neutral_N07.bmp",0.25,0,0,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0.666666666666667,0,0,0
"neutral_N12.bmp",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"neutral_N20.bmp",0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.333333333333333,0,0,1,1,0.666666666666667,1,0,0,0,0
"neutral_NF4.jpg",0,0,0,0.333333333333333,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1
"neutral_S5.jpg",0,0,0,0,0,1,0,0.5,0,0.5,1,0,0,0.333333333333333,0,0,0,0,0,0,0,0,1,0,1
"neutral_SP3.jpg",0,0,0.5,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0
