"","positive_042.jpg","positive_047.jpg","positive_056.jpg","positive_078.jpg","positive_2002.jpg","positive_2025.jpg","positive_2034.jpg","positive_2217.jpg","positive_2395.jpg","positive_2501.jpg","positive_5628.jpg","positive_5830.jpg","positive_7325.jpg","positive_7499.jpg","positive_7660.jpg","positive_8120.jpg","positive_8300.jpg","positive_8470.jpg","positive_b.jpg","positive_d6.jpg","positive_g6.jpg","positive_p1.jpg","positive_r4.jpg","positive_y5.jpg","positive_S22.jpg"
"positive_042.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,1,1,0,0,0,0,0,1,0,0,0
"positive_047.jpg",0,0,1,0,0,0,0,0,0,0.5,0,1,1,0,0,0,0,0,0,0.5,0,0.333333333333333,1,0.5,0
"positive_056.jpg",0,1,0,1,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"positive_078.jpg",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"positive_2002.jpg",0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0.5,0.333333333333333,1,0,0,0,0,0,0,0,0
"positive_2025.jpg",0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,1,1,0,0,1,0,1,0,0,0,0
"positive_2034.jpg",0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0.5,0,0,0
"positive_2217.jpg",0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"positive_2395.jpg",0,0,0,0,0,0,1,0,0,1,0,0.5,0.5,0,0,0,0,0,0,1,0,1,0,0,0
"positive_2501.jpg",0,0.5,0.333333333333333,0,0,0,0,0,1,0,0,0,0.333333333333333,0,0,0.5,0,0,1,0,1,0,0,0,0
"positive_5628.jpg",0,0,0.333333333333333,0,0,0.5,1,0,0,0,0,0,0,0,0,0.25,0,1,0,0.5,0,0,1,0,0
"positive_5830.jpg",0,1,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"positive_7325.jpg",0.5,1,0,0,1,1,0,0,0.5,0.333333333333333,0,0,0,0,0,1,0.5,0.333333333333333,0,0,1,0.5,0,0,1
"positive_7499.jpg",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.333333333333333,0.5,0,0,0,0,0.5,0,0
"positive_7660.jpg",1,0,0,0,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0
"positive_8120.jpg",1,0,0,0,0.333333333333333,1,0,0,0,0.5,0.25,0,1,0,0,0,0,0,0,0.5,0,0,1,0,1
"positive_8300.jpg",0,0,0,1,1,0,0,0,0,0,0,1,0.5,0.333333333333333,0,0,0,0,0,0,0,0,1,0,1
"positive_8470.jpg",0,0,0.5,0,0,0,1,1,0,0,1,0,0.333333333333333,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5
"positive_b.jpg",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"positive_d6.jpg",0,0.5,0,0,0,0,0,1,1,0,0.5,0,0,0,0,0.5,0,0,0,0,0.333333333333333,1,1,0,0
"positive_g6.jpg",0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0.333333333333333,0,0.5,0,1,0
"positive_p1.jpg",1,0.333333333333333,0,0,0,0,0.5,0,1,0,0,0,0.5,0,0,0,0,0,0,1,0.5,0,1,0.333333333333333,0.333333333333333
"positive_r4.jpg",0,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0,1,1,0,0,1,0,1,0,0,1
"positive_y5.jpg",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,0,0,0
"positive_S22.jpg",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0.5,0,0,0,0.333333333333333,1,0,0
