"","negative_206.jpg","negative_2130.jpg","negative_216.jpg","negative_217.jpg","negative_224.jpg","negative_228.jpg","negative_2410.bmp","negative_2750.jpg","negative_3180.jpg","negative_6212.jpg","negative_6510.jpg","negative_65701_1.jpg","negative_9041.jpg","negative_9421.jpg","negative_9440.jpg","negative_AF3.jpg","negative_b7.jpg","negative_c5.jpg","negative_FP3.jpg","negative_I1.jpg","negative_L02.bmp","negative_L24.bmp","negative_L29.bmp","negative_MF2.jpg","negative_SF4.jpg"
"negative_206.jpg",0,0,0.5,0,0,0,0,0,0,0,0,1,1,0,0,0.5,0,1,0,1,0,0,1,0,0
"negative_2130.jpg",0,0,0,0,0,0,0,1,1,0,0,0,0.333333333333333,0,0,0.5,0,0,0,1,0,0,0,0,0
"negative_216.jpg",0.5,0,0,0,0,0,1,0,0,0.333333333333333,0,0,0.333333333333333,0,0.5,0,0,1,0,0,0,0.5,0,0,0.5
"negative_217.jpg",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"negative_224.jpg",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.666666666666667,0
"negative_228.jpg",0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0.5,0.5,0,0.333333333333333
"negative_2410.bmp",0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,1,0
"negative_2750.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5,0
"negative_3180.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"negative_6212.jpg",0,0,0.333333333333333,0,0,1,0,0,0,0,0,0,0.5,0,1,0,0.5,0,0,0,0,0,0,0.5,1
"negative_6510.jpg",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,1,1,0,0,1,0,0,0,1,0.666666666666667
"negative_65701_1.jpg",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"negative_9041.jpg",1,0.333333333333333,0.333333333333333,0,0,0,0.5,0,0,0.5,0,1,0,0,0,1,0.5,1,0,0,0,0,1,0,0
"negative_9421.jpg",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,1,0,0,0
"negative_9440.jpg",0,0,0.5,0,0,1,0,0,0,1,0.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0.5,1
"negative_AF3.jpg",0.5,0.5,0,0,0,0,0.5,0,1,0,1,0,1,0,0.5,0,0,0,0,1,0,0,0,0,0
"negative_b7.jpg",0,0,0,0,1,0,0,0,0,0.5,1,0,0.5,0.666666666666667,0,0,0,0,0,0,1,1,0.4,0,0
"negative_c5.jpg",1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"negative_FP3.jpg",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"negative_I1.jpg",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"negative_L02.bmp",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"negative_L24.bmp",0,0,0.5,0,0,0.5,0,0,0,0,0,1,0,1,0.5,0,1,0,0,0,0,0,0,1,0
"negative_L29.bmp",1,0,0,0,0,0.5,0,1,0,0,0,0,1,0,0.5,0,0.4,0,1,0,0,0,0,0,0.666666666666667
"negative_MF2.jpg",0,0,0,0,0.666666666666667,0,1,0.5,0,0.5,1,0,0,0,0.5,0,0,0,0,0,1,1,0,0,0.5
"negative_SF4.jpg",0,0,0.5,0,0,0.333333333333333,0,0,0,1,0.666666666666667,0,0,0,1,0,0,0,0,0,1,0,0.666666666666667,0.5,0
