"","negative_113.jpg","negative_2130.jpg","negative_215.jpg","negative_216.jpg","negative_2458.jpg","negative_2753.jpg","negative_6211.jpg","negative_6212.jpg","negative_6311.jpg","negative_6510.jpg","negative_65701_1.jpg","negative_6821.jpg","negative_8231.jpg","negative_9190.jpg","negative_9440.jpg","negative_9530.bmp","negative_AF3.jpg","negative_c5.jpg","negative_DF1.jpg","negative_FP3.jpg","negative_h11.bmp","negative_L02.bmp","negative_L04.bmp","negative_MF2.jpg","negative_T1.jpg"
"negative_113.jpg",0,0,0.666666666666667,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.5,1,0
"negative_2130.jpg",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"negative_215.jpg",0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.666666666666667,1
"negative_216.jpg",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0.333333333333333,0.333333333333333,1,0,0,0,0,1,0,0.5,0
"negative_2458.jpg",0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5
"negative_2753.jpg",0,0,0,1,0,0,0.5,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
"negative_6211.jpg",0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0.25,0,0.5,0,0,0,0.333333333333333,0.666666666666667,0,0,0
"negative_6212.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,1,0,0,0,0,0,0,0.5,1,0,0.6
"negative_6311.jpg",1,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.5,0.5,0,0.5,0,0,0,1,0,0,0,0,0
"negative_6510.jpg",0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"negative_65701_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,1,1,0,0,0,0,0,1
"negative_6821.jpg",0,1,0,1,1,1,0,0,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_8231.jpg",0,0,0,0,1,1,0,0,0.5,1,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0
"negative_9190.jpg",0,0,0,0,0,0,0,0.666666666666667,0.5,0,0.5,0,0,0,1,0,0,1,0,0,0,0,0,1,0.5
"negative_9440.jpg",1,0,0,0.333333333333333,0,0,0.25,1,0,0,0,0,0,1,0,0.5,0,0,1,0,0,1,0,0,0
"negative_9530.bmp",0,0,0,0.333333333333333,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,1,1,0,0,0,0.5,0,1
"negative_AF3.jpg",0,1,0,1,0,1,0.5,0,0,1,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"negative_c5.jpg",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0
"negative_DF1.jpg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333333333333333,0
"negative_FP3.jpg",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"negative_h11.bmp",0,0,1,0,0,0,0.333333333333333,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0.5,0,0
"negative_L02.bmp",0,0,0,1,0,0,0.666666666666667,0.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.5
"negative_L04.bmp",0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,1,0,0,0.5,1,0,0,0
"negative_MF2.jpg",1,0,0.666666666666667,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.333333333333333,0,0,0,0,0,0
"negative_T1.jpg",0,0,1,0,0.5,1,0,0.6,0,0,1,0,0,0.5,0,1,0,0,0,0,0,0.5,0,0,0
