"","positive_015.jpg","positive_032.jpg","positive_041.jpg","positive_042.jpg","positive_2002.jpg","positive_2300.jpg","positive_2306.jpg","positive_2391.jpg","positive_2395.jpg","positive_2550.jpg","positive_5628.jpg","positive_5830.jpg","positive_5831.jpg","positive_7502.jpg","positive_7660.jpg","positive_8300.jpg","positive_b.jpg","positive_c1.jpg","positive_d6.jpg","positive_EF1.jpg","positive_hp2.jpg","positive_m9.jpg","positive_r4.jpg","positive_S22.jpg","positive_y5.jpg"
"positive_015.jpg",0,0,0,1,0,0,0,0,0,0,0.5,1,0.5,0,1,0,1,0,0,0,1,0,1,0,0
"positive_032.jpg",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5,0,0.5,0,1,1,0,0
"positive_041.jpg",0,0,0,0.5,0,0,0,0,1,0.333333333333333,0,0,0,1,1,0.666666666666667,0,0,1,0,0,0,0,0.5,0
"positive_042.jpg",1,0,0.5,0,0,0,1,0,1,0.333333333333333,0,0,0,0,0.5,1,0,0,0,0,1,0,0.5,0,0
"positive_2002.jpg",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"positive_2300.jpg",0,0,0,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
"positive_2306.jpg",0,0,0,1,0,0,0,0.5,0,0,0.5,0,1,0.333333333333333,0,0,0,0,0.5,0,0,0,1,0,0
"positive_2391.jpg",0,0,0,0,0,0.25,0.5,0,0,0,0.333333333333333,0,0,0,1,0,0,0,0,1,0,0,0.666666666666667,0,0
"positive_2395.jpg",0,1,1,1,0,0,0,0,0,0.5,0.5,0,1,0,0,0.75,0,0,0,0,0,0,0,0.5,0
"positive_2550.jpg",0,0,0.333333333333333,0.333333333333333,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"positive_5628.jpg",0.5,0,0,0,0,0,0.5,0.333333333333333,0.5,0,0,1,0,0,0,0.5,0,1,0,0,0,0,0,0,1
"positive_5830.jpg",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"positive_5831.jpg",0.5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.333333333333333,1,0,0,0,0,1
"positive_7502.jpg",0,0,1,0,0,0,0.333333333333333,0,0,1,0,0,0,0,1,1,0,0.5,0,0,0.666666666666667,0,1,0.5,0
"positive_7660.jpg",1,0,1,0.5,0,0,0,1,0,0,0,0,0,1,0,0.5,0,0,0,0,0.666666666666667,0,0,0,0
"positive_8300.jpg",0,0,0.666666666666667,1,0,0,0,0,0.75,0,0.5,0,0,1,0.5,0,0,0.5,0,0.5,0,0,0,0,0
"positive_b.jpg",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0
"positive_c1.jpg",0,0.5,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0
"positive_d6.jpg",0,0,1,0,0,1,0.5,0,0,0,0,1,0.333333333333333,0,0,0,0,0,0,0,1,0.5,0,0,0
"positive_EF1.jpg",0,0.5,0,0,0,0,0,1,0,1,0,0,1,0,0,0.5,0,0,0,0,0.5,0,0,0,0.333333333333333
"positive_hp2.jpg",1,0,0,1,0,0,0,0,0,0,0,0,0,0.666666666666667,0.666666666666667,0,0,0,1,0.5,0,0,0,1,0.5
"positive_m9.jpg",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0
"positive_r4.jpg",1,1,0,0.5,0,0,1,0.666666666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"positive_S22.jpg",0,0,0.5,0,1,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0
"positive_y5.jpg",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.333333333333333,0.5,0,0,0,0
