"","neutral_082.jpg","neutral_099.jpg","neutral_103.jpg","neutral_104.jpg","neutral_117.jpg","neutral_121.jpg","neutral_156.jpg","neutral_157.jpg","neutral_186.jpg","neutral_191.jpg","neutral_194.jpg","neutral_199.jpg","neutral_2019.jpg","neutral_2200.jpg","neutral_2215.jpg","neutral_2305.jpg","neutral_2442.jpg","neutral_D.jpg","neutral_J2.jpg","neutral_N04.bmp","neutral_N05.bmp","neutral_N12.bmp","neutral_N17.bmp","neutral_NF4.jpg","neutral_SP2.jpg"
"neutral_082.jpg",0,0,0,0,0,1,0,1,0,0,0,0,0.333333333333333,0,0,0,1,0.5,0,1,0,1,1,0,0.5
"neutral_099.jpg",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.5,0,0.5,1,0,0,0,0,0,0,0
"neutral_103.jpg",0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"neutral_104.jpg",0,0,0,0,0,0.333333333333333,0,1,0,0,1,0,1,0,0,0,0.5,1,0,0,1,0,0,0,0
"neutral_117.jpg",0,0,1,0,0,0.8,0,0,0.5,0,0,0,0,0,0,1,0,0.25,0,1,0,0,0,0,0
"neutral_121.jpg",1,0,1,0.333333333333333,0.8,0,0,0,1,0,0,1,0,0,0,0,0.25,0,0,0,0,0,0.5,0.5,0
"neutral_156.jpg",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0.666666666666667,0
"neutral_157.jpg",1,1,0,1,0,0,0,0,0,1,0.5,1,0.5,0,0,0.5,0,1,0,0,0,0,0,0,1
"neutral_186.jpg",0,0,0,0,0.5,1,0,0,0,0,1,0,1,0,0,0.5,0,0,0,0,1,0,0,0,1
"neutral_191.jpg",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.5,1,0,0,0,1,0,0
"neutral_194.jpg",0,1,1,1,0,0,0,0.5,1,0,0,1,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,1
"neutral_199.jpg",0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0
"neutral_2019.jpg",0.333333333333333,0,1,1,0,0,1,0.5,1,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"neutral_2200.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"neutral_2215.jpg",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"neutral_2305.jpg",0,0,0,0,1,0,0,0.5,0.5,1,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"neutral_2442.jpg",1,0.5,0,0.5,0,0.25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0
"neutral_D.jpg",0.5,1,0,1,0.25,0,0,1,0,0.5,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"neutral_J2.jpg",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0
"neutral_N04.bmp",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0
"neutral_N05.bmp",0,0,1,1,0,0,0,0,1,0,0,0.333333333333333,0,0,0,0,0,0,0.5,0,0,0,1,0,0
"neutral_N12.bmp",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0
"neutral_N17.bmp",1,0,0,0,0,0.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0.5,1,0.6,0,0.5,0
"neutral_NF4.jpg",0,0,0,0,0,0.5,0.666666666666667,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0.5,0,0
"neutral_SP2.jpg",0.5,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
