"","positive_012.jpg","positive_056.jpg","positive_073.jpg","positive_2002.jpg","positive_2025.jpg","positive_2217.jpg","positive_2300.jpg","positive_2304.jpg","positive_2306.jpg","positive_2391.jpg","positive_4689.jpg","positive_5830.jpg","positive_5831.jpg","positive_7325.jpg","positive_7499.jpg","positive_7660.jpg","positive_8300.jpg","positive_8461.jpg","positive_8470.jpg","positive_b.jpg","positive_c1.jpg","positive_hp2.jpg","positive_p1.jpg","positive_r4.jpg","positive_S22.jpg"
"positive_012.jpg",0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,1,1,0,1,0,0,1,1
"positive_056.jpg",0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0.75,1,0,0,0,0,0,1,0,1,0.333333333333333
"positive_073.jpg",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,1,0,1,0,0,0
"positive_2002.jpg",0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2025.jpg",0,0,0,0,0,0,0,0,0,1,0.5,1,1,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0
"positive_2217.jpg",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0
"positive_2300.jpg",0,0.5,0,0,0,0,0,0,0,0,1,0,0,1,0.75,0,0,0,0,0,1,0,0,0,0
"positive_2304.jpg",0,0,0,1,0,0,0,0,0,1,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
"positive_2306.jpg",0,0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.5,0.666666666666667,0,0,0,0,0,1
"positive_2391.jpg",0,0,0.5,1,1,1,0,1,0,0,0,0.25,0.666666666666667,0,0,0,0,0,0,0,0,0,1,0,0
"positive_4689.jpg",0.333333333333333,0,0,0,0.5,0,1,0.5,0,0,0,0,0,0,0,0.5,0.333333333333333,0,0.5,0,0.5,0,0,0.25,0
"positive_5830.jpg",0,0,0,1,1,0,0,0,0,0.25,0,0,0.5,1,0,0,0,0,0,0,0.5,0,0,0,0
"positive_5831.jpg",0,0,0,0,1,1,0,0,0,0.666666666666667,0,0.5,0,0,0,0,0.714285714285714,0,0,0.5,0.333333333333333,0.5,0,0,0
"positive_7325.jpg",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"positive_7499.jpg",0,0.75,0,0,0,0,0.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"positive_7660.jpg",0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,1,0,0,0,0,0,1,1
"positive_8300.jpg",0,0,0,0,0,0.666666666666667,0,0.5,0,0,0.333333333333333,0,0.714285714285714,0,0,0,0,1,0,0,0,0,0,0,0
"positive_8461.jpg",1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,1,0,0,0,0,1,0.5,0.5,1
"positive_8470.jpg",1,0,0.5,0,0,0,0,0,0.666666666666667,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"positive_b.jpg",0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"positive_c1.jpg",1,0,0,0,0.333333333333333,0,1,0,0,0,0.5,0.5,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"positive_hp2.jpg",0,1,1,0,0.333333333333333,0,0,0,0,0,0,0,0.5,0,1,0,0,1,0,0,0,0,1,1,0
"positive_p1.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.5,1,0,0,1,0,0,0
"positive_r4.jpg",1,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1,0,0.5,0,0,0,1,0,0,0
"positive_S22.jpg",1,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
