"","negative_113.jpg","negative_206.jpg","negative_207.jpg","negative_2095.jpg","negative_2122.jpg","negative_2130.jpg","negative_215.jpg","negative_216.jpg","negative_217.jpg","negative_224.jpg","negative_2750.jpg","negative_3180.jpg","negative_3280.jpg","negative_6211.jpg","negative_6311.jpg","negative_6510.jpg","negative_9041.jpg","negative_9421.jpg","negative_9440.jpg","negative_9600.jpg","negative_AF3.jpg","negative_h11.bmp","negative_I1.jpg","negative_L02.bmp","negative_L24.bmp"
"negative_113.jpg",0,1,1,0,0,0,0.333333333333333,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.666666666666667
"negative_206.jpg",1,0,0,0,0,0,0,0,0,1,0.333333333333333,0,0,0,0,0,1,1,0,0,0,0,0,0,0.5
"negative_207.jpg",1,0,0,0,0,0,0,0,0.2,0,1,0,0.333333333333333,0,0,0,0,0,0.4,0,1,0,0,1,0
"negative_2095.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0
"negative_2122.jpg",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.5,0,0,0,1,0,0
"negative_2130.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,1,1,0,0,0,0
"negative_215.jpg",0.333333333333333,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0.5,1,0,1,0,1,0,1,0
"negative_216.jpg",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0
"negative_217.jpg",0,0,0.2,0,0,0,0.666666666666667,1,0,1,0,0,1,0,0,0.333333333333333,0,0.666666666666667,0,1,0,0,0,0,1
"negative_224.jpg",0,1,0,1,0,0,0,0,1,0,0,0.5,1,0,0,0,0,1,0,0,0,0,0,0,0
"negative_2750.jpg",0,0.333333333333333,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.5,1,0.666666666666667,0,0.5,1,0,0,0
"negative_3180.jpg",1,0,0,0,1,0,0,0,0,0.5,1,0,0.5,0,1,0,1,0,0,0,0,0.5,0,0,0.5
"negative_3280.jpg",0,0,0.333333333333333,0,1,0,0,0,1,1,0,0.5,0,0,0,1,0,0,0,0,0,1,0,0,0
"negative_6211.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0
"negative_6311.jpg",0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0.333333333333333,0,0,0,1,0,1,0,0
"negative_6510.jpg",0,0,0,0,0,0.5,0,0,0.333333333333333,0,0,0,1,0.8,0,0,0,0,0,1,1,0,0,0,0
"negative_9041.jpg",0,1,0,1,0,0,0.5,0,0,0,0.5,1,0,0,0.333333333333333,0,0,1,0,0,0,0,0,0,0
"negative_9421.jpg",0.5,1,0,1,0,0,1,0.166666666666667,0.666666666666667,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"negative_9440.jpg",0,0,0.4,1,0.5,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_9600.jpg",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"negative_AF3.jpg",0,0,1,0,0,1,0,0,0,0,0.5,0,0,0,1,1,0,0,0,0,0,0,1,0,0
"negative_h11.bmp",0,0,0,0,0,0,1,0,0,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1
"negative_I1.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"negative_L02.bmp",0.5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"negative_L24.bmp",0.666666666666667,0.5,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0.5,0
