"","negative_207.jpg","negative_2095.jpg","negative_2130.jpg","negative_215.jpg","negative_216.jpg","negative_217.jpg","negative_228.jpg","negative_2410.bmp","negative_251.jpg","negative_2750.jpg","negative_2753.jpg","negative_3180.jpg","negative_3280.jpg","negative_6212.jpg","negative_6510.jpg","negative_6555.jpg","negative_9041.jpg","negative_9421.jpg","negative_9600.jpg","negative_c5.jpg","negative_DP3.jpg","negative_L08.bmp","negative_L29.bmp","negative_SF4.jpg","negative_T1.jpg"
"negative_207.jpg",0,1,0,0,0,0,1,0,0,0,0.5,1,0,0,0,0,0,0.333333333333333,0,0,1,0.5,1,0,0
"negative_2095.jpg",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"negative_2130.jpg",0,0,0,0,0,0,0,0,0,1,0,0.5,1,1,1,0,0,0,0,0,0,0,0,0.5,0.333333333333333
"negative_215.jpg",0,0,0,0,1,0.333333333333333,0,0,0,0,0,0,0,0,0.5,0.5,0,1,0,0.5,0,0,0,0,1
"negative_216.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,1,0,0,0,0,0,0
"negative_217.jpg",0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"negative_228.jpg",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0.5,0,0,0,1,0,0
"negative_2410.bmp",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.333333333333333,1,1,1,1,0
"negative_251.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,1,0,0,0,0,0
"negative_2750.jpg",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"negative_2753.jpg",0.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.333333333333333,1,0
"negative_3180.jpg",1,1,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"negative_3280.jpg",0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0.5,0,0,0
"negative_6212.jpg",0,1,1,0,0,0,1,0,0.5,0,0,0,0,0,1,0,0.5,1,0,0,1,0,0,0,0.666666666666667
"negative_6510.jpg",0,0,1,0.5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
"negative_6555.jpg",0,0,0,0.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,1
"negative_9041.jpg",0,0,0,0,0,0,0,1,0,0,0,1,0,0.5,0,0,0,0,0,0,1,0,1,0,0
"negative_9421.jpg",0.333333333333333,0,0,1,0.5,0.5,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"negative_9600.jpg",0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0
"negative_c5.jpg",0,0,0,0.5,0,0,0,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"negative_DP3.jpg",1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
"negative_L08.bmp",0.5,0,0,0,0,0,0,1,0,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0,1,0,0
"negative_L29.bmp",1,1,0,0,0,0,1,1,0,0,0.333333333333333,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"negative_SF4.jpg",0,0,0.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"negative_T1.jpg",0,0,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0.666666666666667,1,1,0,0,0,1,0,0,0,0,0
