"","neutral_082.jpg","neutral_099.jpg","neutral_104.jpg","neutral_114.jpg","neutral_117.jpg","neutral_124.jpg","neutral_169.jpg","neutral_191.jpg","neutral_199.jpg","neutral_2305.jpg","neutral_2394.jpg","neutral_2442.jpg","neutral_2745.1.jpg","neutral_BP5.jpg","neutral_D.jpg","neutral_J2.jpg","neutral_N05.bmp","neutral_N07.bmp","neutral_N12.bmp","neutral_N20.bmp","neutral_N22.bmp","neutral_NF1.jpg","neutral_SP2.jpg","neutral_SP3.jpg","neutral_N33.bmp"
"neutral_082.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,1,0,0.5,1,0,0,0,0
"neutral_099.jpg",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"neutral_104.jpg",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333333333,0,1,0.5,0
"neutral_114.jpg",0,0,0,0,0.5,0,0,0,0,0.5,1,0,0.666666666666667,0,1,0,0,0,0,1,0.5,0,0,0,0
"neutral_117.jpg",0,0,0,0.5,0,0,0.5,0,0,0,0,1,0,0,0,0,0,1,0,0.5,0,1,0,1,1
"neutral_124.jpg",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.666666666666667,0,1,0,0,1,0,1,0,0,0.666666666666667
"neutral_169.jpg",0,1,0,0,0.5,0,0,0,1,0,0,0.5,1,0,0.333333333333333,0,0,0,0,0,0,0.5,0,0,0.5
"neutral_191.jpg",0,0,1,0,0,0,0,0,0,0,1,0,1,0.333333333333333,0,0,1,0,0,0,0,0,0,0,0
"neutral_199.jpg",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,1,0,0.666666666666667,0,0,0,0,0
"neutral_2305.jpg",1,0,0,0.5,0,0,0,0,0,0,0,1,0,0.5,0,1,0,0,0,0,1,1,0,0,0
"neutral_2394.jpg",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0
"neutral_2442.jpg",0,0,0,0,1,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_2745.1.jpg",0,0,1,0.666666666666667,0,1,1,1,0,0,0,0,0,0,0,0.666666666666667,1,0,0,0,0,0,0,0,0.5
"neutral_BP5.jpg",0,0,0,0,0,0,0,0.333333333333333,0,0.5,0,0,0,0,0,1,0,0.5,0,0,0,0.666666666666667,0,1,0
"neutral_D.jpg",0,0,0,1,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0.5,0,0,0,0,0
"neutral_J2.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0.666666666666667,1,0,0,0,1,0,0,0,1,0,0,0
"neutral_N05.bmp",0.25,0,0,0,0,1,0,1,0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.5
"neutral_N07.bmp",1,0,0,0,1,0,0,0,1,0,0.5,0,0,0.5,0.666666666666667,1,0,0,0,1,1,0,0,0,0
"neutral_N12.bmp",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"neutral_N20.bmp",0.5,1,0,1,0.5,1,0,0,0.666666666666667,0,0,0,0,0,0.5,0,0,1,0,0,1,1,0,0,1
"neutral_N22.bmp",1,0,0.333333333333333,0.5,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
"neutral_NF1.jpg",0,1,0,0,1,1,0.5,0,0,1,0,0,0,0.666666666666667,0,1,0,0,1,1,0,0,0,0,0
"neutral_SP2.jpg",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"neutral_SP3.jpg",0,0,0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"neutral_N33.bmp",0,0,0,0,1,0.666666666666667,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0,1,0,0,0,0,0
