"","negative_2095.jpg","negative_2130.jpg","negative_215.jpg","negative_228.jpg","negative_251.jpg","negative_3280.jpg","negative_6212.jpg","negative_6311.jpg","negative_6510.jpg","negative_65701_1.jpg","negative_6821.jpg","negative_8231.jpg","negative_9041.jpg","negative_9421.jpg","negative_9440.jpg","negative_9530.bmp","negative_AF3.jpg","negative_c5.jpg","negative_DP3.jpg","negative_FP3.jpg","negative_L02.bmp","negative_MF2.jpg","negative_L04.bmp","negative_L24.bmp","negative_T1.jpg"
"negative_2095.jpg",0,0,0,0,0,0,0.5,1,0,0,0,0,1,0,0,1,0.333333333333333,0.5,0,1,0,1,0,0.5,0
"negative_2130.jpg",0,0,0.5,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"negative_215.jpg",0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"negative_228.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"negative_251.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0,1,0,0
"negative_3280.jpg",0,0,0,0,0,0,0.2,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_6212.jpg",0.5,0,0,0,0,0.2,0,0.5,0.666666666666667,0,0.8,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"negative_6311.jpg",1,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"negative_6510.jpg",0,1,0,0,0,0.5,0.666666666666667,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"negative_65701_1.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"negative_6821.jpg",0,0,0,0,0,0,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_8231.jpg",0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"negative_9041.jpg",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
"negative_9421.jpg",0,0,0,0,0.5,0,1,0,0,1,0,0,1,0,0,0.333333333333333,0,0.666666666666667,0,1,1,0,0.666666666666667,0,0.333333333333333
"negative_9440.jpg",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"negative_9530.bmp",1,0,0,0,0.5,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,1,0,0,1,0,1,0
"negative_AF3.jpg",0.333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"negative_c5.jpg",0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0.5,0,0,0,1,0
"negative_DP3.jpg",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.75,0,0
"negative_FP3.jpg",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0,0,0.666666666666667,0,0.666666666666667,0.5,0
"negative_L02.bmp",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.666666666666667,0,0,1,0,0
"negative_MF2.jpg",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"negative_L04.bmp",0,0,0,0,1,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0.75,0.666666666666667,1,0,0,0,0
"negative_L24.bmp",0.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0.5,0,0,0,0,0
"negative_T1.jpg",0,0,1,0,0,0,0,0,1,0,0,0,0,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0
