"","positive_032.jpg","positive_042.jpg","positive_056.jpg","positive_073.jpg","positive_078.jpg","positive_2002.jpg","positive_2034.jpg","positive_2217.jpg","positive_2306.jpg","positive_2395.jpg","positive_4689.jpg","positive_5628.jpg","positive_7499.jpg","positive_7660.jpg","positive_8461.jpg","positive_8470.jpg","positive_b.jpg","positive_c1.jpg","positive_d6.jpg","positive_EF1.jpg","positive_g6.jpg","positive_hp2.jpg","positive_s5.jpg","positive_p1.jpg","positive_t1.jpg"
"positive_032.jpg",0,1,0.5,0.333333333333333,0,0,0.333333333333333,0,0,1,0,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0.666666666666667,1,0.75,0
"positive_042.jpg",1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0.666666666666667,0,1,0.333333333333333
"positive_056.jpg",0.5,0,0,1,1,0,0.5,0,0,1,0,0,1,0.5,1,0,0,0,1,0,0,0.5,0,0,0
"positive_073.jpg",0.333333333333333,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0.333333333333333,0
"positive_078.jpg",0,1,1,0,0,0,1,0,0,0.5,0,0,0.5,1,0,0,0,1,0,0,0,0,1,0,0
"positive_2002.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2034.jpg",0.333333333333333,0,0.5,1,1,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,1,0,0,1,0,0,0.5
"positive_2217.jpg",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2306.jpg",0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0.5,1,0.5,0,1,0,1,0,0,0,0
"positive_2395.jpg",1,0,1,0,0.5,0,0,0,0.5,0,0,0,1,0.5,0,0,0,0,1,0,0,0,0,1,0
"positive_4689.jpg",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333333333333333,0,1,0
"positive_5628.jpg",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.5,0,0,1,0,0,0,0,0
"positive_7499.jpg",0,0,1,0,0.5,0,0,0,0,1,1,1,0,1,0,0,0.5,1,0,1,0,0.666666666666667,0,1,0
"positive_7660.jpg",0,1,0.5,0,1,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0
"positive_8461.jpg",0,1,1,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0
"positive_8470.jpg",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0
"positive_b.jpg",0,0,0,1,0,0,0,0,0.5,0,0,0.5,0.5,0,1,0,0,0,0,0,0,0,1,0,0
"positive_c1.jpg",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"positive_d6.jpg",0.333333333333333,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0.5
"positive_EF1.jpg",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.166666666666667,0,0,0
"positive_g6.jpg",0.333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"positive_hp2.jpg",0.666666666666667,0.666666666666667,0.5,0,0,0,1,0,0,0,0.333333333333333,0,0.666666666666667,0,0.5,0.5,0,1,0.666666666666667,0.166666666666667,0,0,0.5,1,0
"positive_s5.jpg",1,0,0,1,1,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0.5,0,0,1
"positive_p1.jpg",0.75,1,0,0.333333333333333,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"positive_t1.jpg",0,0.333333333333333,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0
