"","neutral_082.jpg","neutral_099.jpg","neutral_106.jpg","neutral_114.jpg","neutral_121.jpg","neutral_156.jpg","neutral_194.jpg","neutral_199.jpg","neutral_2019.jpg","neutral_2215.jpg","neutral_2305.jpg","neutral_2393.jpg","neutral_2394.jpg","neutral_2442.jpg","neutral_2495.jpg","neutral_2850.jpg","neutral_D.jpg","neutral_N01.bmp","neutral_N12.bmp","neutral_N19.bmp","neutral_N20.bmp","neutral_N22.bmp","neutral_N33.bmp","neutral_N34.bmp","neutral_S5.jpg"
"neutral_082.jpg",0,0,1,1,1,0,0.333333333333333,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.333333333333333,0,0
"neutral_099.jpg",0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0.5,0,0,0,1,0,0,0
"neutral_106.jpg",1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0.5,0,0,1,0,1,1
"neutral_114.jpg",1,0,1,0,1,0,0,0,1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0.666666666666667
"neutral_121.jpg",1,0,0,1,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0
"neutral_156.jpg",0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_194.jpg",0.333333333333333,1,0,0,0,0.5,0,0,0.5,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.5,0
"neutral_199.jpg",1,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,1,0
"neutral_2019.jpg",0,0,1,1,0,0,0.5,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
"neutral_2215.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_2305.jpg",0,1,1,0.5,0,0,0,0,1,0,0,0,1,1,0,0.333333333333333,0.666666666666667,0,0.5,0,0,0,1,0,0.5
"neutral_2393.jpg",0,1,0,0,0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
"neutral_2394.jpg",0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0.5,0.5,0,0,0,1,0,0,0,0.5
"neutral_2442.jpg",0,1,0,0,1,0,1,0.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"neutral_2495.jpg",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.5,0,0,0,0
"neutral_2850.jpg",1,1,0,0,0,0,0,0,0,0,0.333333333333333,0,0.5,1,0,0,0,0,0,0,0,0,0.333333333333333,0,0
"neutral_D.jpg",1,1,1,1,0,0,0,0,1,0,0.666666666666667,0,0.5,0,0,0,0,0,0,0,1,0.333333333333333,0,0,0.5
"neutral_N01.bmp",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.333333333333333,0,0
"neutral_N12.bmp",0,0,0.5,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_N19.bmp",0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_N20.bmp",0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.5,0,1,0.5,0,0,0,0,0.5,0.666666666666667,0
"neutral_N22.bmp",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0
"neutral_N33.bmp",0.333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0.5,0.333333333333333,0,0,1
"neutral_N34.bmp",0,0,1,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0
"neutral_S5.jpg",0,0,1,0.666666666666667,0,0,0,0,1,0,0.5,1,0.5,1,0,0,0.5,0,0,0,0,0,1,0,0
