"","negative_113.jpg","negative_2095.jpg","negative_2122.jpg","negative_215.jpg","negative_228.jpg","negative_2410.bmp","negative_251.jpg","negative_2810.jpg","negative_3180.jpg","negative_3280.jpg","negative_6211.jpg","negative_6510.jpg","negative_6555.jpg","negative_65701_1.jpg","negative_8231.jpg","negative_9530.bmp","negative_b7.jpg","negative_DP3.jpg","negative_h11.bmp","negative_I1.jpg","negative_L02.bmp","negative_L24.bmp","negative_L29.bmp","negative_MF2.jpg","negative_L08.bmp"
"negative_113.jpg",0,0.5,0,0,1,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,1,0
"negative_2095.jpg",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,1,0,0,1,0,0,1,1,1,0
"negative_2122.jpg",0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"negative_215.jpg",0,0,0,0,0,0,0,0,1,1,0.666666666666667,0,0.5,0.5,0,1,0,1,0,0,1,0,0,0.5,0
"negative_228.jpg",1,0,0,0,0,0,0.5,0,0,0,1,0,0,0.5,0,0,0,0.5,0,1,0,1,0,0,1
"negative_2410.bmp",1,0,0,0,0,0,0.5,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0.5,0
"negative_251.jpg",0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.5
"negative_2810.jpg",0,0,0,0,0,1,0,0,0,0.5,0,1,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.25
"negative_3180.jpg",0,0,0,1,0,1,0,0,0,0,0.333333333333333,0,0,1,0,1,0,0,0,0,1,0,0.5,0.5,0.5
"negative_3280.jpg",0,0,0.2,1,0,0,0,0.5,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,1,0.333333333333333
"negative_6211.jpg",0.5,0,0,0.666666666666667,1,0,0,0,0.333333333333333,0,0,0,0.5,0,0,1,0,0,0,0,0.5,0,0,0,0
"negative_6510.jpg",0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_6555.jpg",0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,1,0,0.5,0,0,0,1,0,0,1,0,1
"negative_65701_1.jpg",0,0,0,0.5,0.5,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"negative_8231.jpg",0,0.333333333333333,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"negative_9530.bmp",0,1,0,1,0,0,0,0,1,0,1,0,0.5,0,0,0,0,0,0,0,1,0,0,0,1
"negative_b7.jpg",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333
"negative_DP3.jpg",0,0,0,1,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
"negative_h11.bmp",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,1
"negative_I1.jpg",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
"negative_L02.bmp",0.666666666666667,0,0,1,0,0,0,0,1,0,0.5,0,0,0,0,1,0,0,0,0,0,1,1,1,0
"negative_L24.bmp",0,1,0,0,1,0,1,0.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"negative_L29.bmp",0,1,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
"negative_MF2.jpg",1,1,0,0.5,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"negative_L08.bmp",0,0,0,0,1,0,0.5,0.25,0.5,0.333333333333333,0,0,1,0,0,1,0.333333333333333,1,1,1,0,0,0,0,0
