"","negative_113.jpg","negative_206.jpg","negative_2122.jpg","negative_214.jpg","negative_215.jpg","negative_2410.bmp","negative_251.jpg","negative_2750.jpg","negative_2810.jpg","negative_3280.jpg","negative_6212.jpg","negative_6510.jpg","negative_6821.jpg","negative_8231.jpg","negative_9530.bmp","negative_AF3.jpg","negative_b7.jpg","negative_DF1.jpg","negative_FP3.jpg","negative_I1.jpg","negative_L02.bmp","negative_L04.bmp","negative_L08.bmp","negative_MF2.jpg","negative_SF4.jpg"
"negative_113.jpg",0,1,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.333333333333333,0
"negative_206.jpg",1,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0
"negative_2122.jpg",0.25,0,0,0,0,1,0.333333333333333,0,1,0,0,0.5,1,1,0,1,0,0,0,0,0,0,0,0,0.5
"negative_214.jpg",1,0.333333333333333,0,0,0,1,0,0,1,0,0,0,0.5,1,0,0,1,0,0,0,0.5,1,1,1,0
"negative_215.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.5,0,0
"negative_2410.bmp",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
"negative_251.jpg",0,0,0.333333333333333,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.5,1,0
"negative_2750.jpg",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"negative_2810.jpg",0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.25,0
"negative_3280.jpg",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.666666666666667,0,0,0
"negative_6212.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,1,0,0,0,0
"negative_6510.jpg",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"negative_6821.jpg",0,0,1,0.5,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"negative_8231.jpg",0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0.5,0,0,0,0,0,0.5,0,0
"negative_9530.bmp",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0
"negative_AF3.jpg",0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
"negative_b7.jpg",0,0.5,0,1,0,1,1,0,1,0,0,0,0,0.5,0,1,0,1,0,0,0,0,0,0,0
"negative_DF1.jpg",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.75,0,0
"negative_FP3.jpg",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"negative_I1.jpg",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.666666666666667,0,0
"negative_L02.bmp",0,0.5,0,0.5,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"negative_L04.bmp",1,0,0,1,0,0,1,0,0.5,0.666666666666667,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.5,0
"negative_L08.bmp",0,0,0,1,0.5,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0.75,0,0.666666666666667,0,0,0,0.666666666666667,0.5
"negative_MF2.jpg",0.333333333333333,0,0,1,0,0,1,1,0.25,0,0,0,0,0,0.5,0,0,0,0,0,1,0.5,0.666666666666667,0,0
"negative_SF4.jpg",0,0,0.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5,0,0
