"","positive_015.jpg","positive_056.jpg","positive_073.jpg","positive_1601.jpg","positive_2002.jpg","positive_2025.jpg","positive_2304.jpg","positive_2306.jpg","positive_2391.jpg","positive_2395.jpg","positive_2550.jpg","positive_5628.jpg","positive_5830.jpg","positive_7325.jpg","positive_7499.jpg","positive_7502.jpg","positive_8120.jpg","positive_8470.jpg","positive_b.jpg","positive_d6.jpg","positive_EF1.jpg","positive_g6.jpg","positive_p1.jpg","positive_s1.jpg","positive_S22.jpg"
"positive_015.jpg",0,0.75,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.25,1,1,0,0,0.5,0
"positive_056.jpg",0.75,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,1,1,0,0,0,0,0,0,0.5,0
"positive_073.jpg",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.5,0,1,0,0.333333333333333,0,0,0,0,0
"positive_1601.jpg",0,0,0,0,0,0.333333333333333,0,0,0,1,0,0,0.75,1,0,0.333333333333333,0,0,0,0,0,0,1,0,0
"positive_2002.jpg",0,0,0,0,0,1,1,1,0,0,0,0,0,0.5,0,0,0,0,1,0,1,0,0,0.5,0
"positive_2025.jpg",0,0,0,0.333333333333333,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"positive_2304.jpg",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0
"positive_2306.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1
"positive_2391.jpg",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,1,0,0,0,0,0.5,0.5,0
"positive_2395.jpg",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
"positive_2550.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"positive_5628.jpg",0,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,1,1,0,0,0,0,0,0
"positive_5830.jpg",0,1,0,0.75,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.5,0,0,0
"positive_7325.jpg",0,1,0,1,0.5,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"positive_7499.jpg",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
"positive_7502.jpg",1,1,0.5,0.333333333333333,0,0,0,1,0,0,0,0.5,0,0,1,0,1,0,0,1,0,0,0.5,0,0
"positive_8120.jpg",0,1,0,0,0,0,0,0,0.5,0,0,0.5,0,0,1,1,0,0,0,0,0,1,0,1,0
"positive_8470.jpg",0,0,1,0,0,0,0.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"positive_b.jpg",0.25,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"positive_d6.jpg",1,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"positive_EF1.jpg",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"positive_g6.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0
"positive_p1.jpg",0,0,0,1,0,0,0,0,0.5,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,1
"positive_s1.jpg",0.5,0.5,0,0,0.5,0.5,0,1,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0.5,0,0.5
"positive_S22.jpg",0,0,0,0,0,0,0,1,0,0.5,1,0,0,0,0,0,0,0,0,0,1,0,1,0.5,0
