"","neutral_082.jpg","neutral_099.jpg","neutral_103.jpg","neutral_106.jpg","neutral_121.jpg","neutral_124.jpg","neutral_156.jpg","neutral_157.jpg","neutral_191.jpg","neutral_2019.jpg","neutral_2200.jpg","neutral_2215.jpg","neutral_2394.jpg","neutral_2495.jpg","neutral_2745.1.jpg","neutral_N01.bmp","neutral_N04.bmp","neutral_N05.bmp","neutral_N19.bmp","neutral_N22.bmp","neutral_N31.bmp","neutral_N33.bmp","neutral_N34.bmp","neutral_S5.jpg","neutral_r.jpg"
"neutral_082.jpg",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,1,0,1,0,0
"neutral_099.jpg",0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.5,0,1
"neutral_103.jpg",0.5,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0.5,0,0,0,0,0,0.5,1,0,1,0.666666666666667
"neutral_106.jpg",0,0,0,0,0,0,0,0,0.666666666666667,1,0,0,0,0,1,0.5,0,0,0.25,0,0,0,0,0,0
"neutral_121.jpg",0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"neutral_124.jpg",0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
"neutral_156.jpg",0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0.5,0,0,0
"neutral_157.jpg",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_191.jpg",0,1,0,0.666666666666667,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0
"neutral_2019.jpg",0,0,0,1,0,1,0.5,0,0,0,1,0.333333333333333,0,0,1,0,0,0,0,0,0,0,1,0,0.5
"neutral_2200.jpg",0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0.25,0,0,0,1,0.5,0,1,0
"neutral_2215.jpg",0,0,0.5,0,0,0,0,0,0,0.333333333333333,0,0,0,1,0,1,1,0,0.5,0,1,0,0,0,0
"neutral_2394.jpg",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"neutral_2495.jpg",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"neutral_2745.1.jpg",0,1,0.5,1,0,0,0.666666666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"neutral_N01.bmp",0.5,0,0,0.5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
"neutral_N04.bmp",0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,1,0,1,1,1,0,0,0,0,0
"neutral_N05.bmp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"neutral_N19.bmp",1,1,0,0.25,0,0,0,0,0,0,0,0.5,0,0,0,0,1,1,0,0.666666666666667,1,0.666666666666667,0.666666666666667,0,0
"neutral_N22.bmp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.666666666666667,0,0,0,0,0,0
"neutral_N31.bmp",1,0,0.5,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0.5,0.5,0,0
"neutral_N33.bmp",0,0,1,0,0,1,0.5,0,0,0,0.5,0,1,0,0,1,0,0,0.666666666666667,0,0.5,0,0,0,0
"neutral_N34.bmp",1,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.666666666666667,0,0.5,0,0,0,0
"neutral_S5.jpg",0,0,1,0,0,0,0,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"neutral_r.jpg",0,1,0.666666666666667,0,1,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
