"","negative_113.jpg","negative_2122.jpg","negative_215.jpg","negative_216.jpg","negative_2458.jpg","negative_251.jpg","negative_2753.jpg","negative_3280.jpg","negative_6211.jpg","negative_6311.jpg","negative_6821.jpg","negative_9041.jpg","negative_9190.jpg","negative_9440.jpg","negative_9530.bmp","negative_9600.jpg","negative_AF3.jpg","negative_c5.jpg","negative_DF1.jpg","negative_FP3.jpg","negative_I1.jpg","negative_L04.bmp","negative_L08.bmp","negative_L29.bmp","negative_T1.jpg"
"negative_113.jpg",0,0,0.25,0,1,0,0,1,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_2122.jpg",0,0,0,0,0,0,0,1,0.666666666666667,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"negative_215.jpg",0.25,0,0,0,0,0,0.5,0,0,0,0,1,1,0.5,1,0,0,0,0,0,0,1,1,0,0
"negative_216.jpg",0,0,0,0,0,0,0.333333333333333,0.5,0.666666666666667,0.5,0,0,0,0,0,0.333333333333333,0,0,0,0,1,0,0,0,1
"negative_2458.jpg",1,0,0,0,0,0,0,0,0,1,0,0,0.5,0,1,1,0,0,0,0,0.5,0,0,0,1
"negative_251.jpg",0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"negative_2753.jpg",0,0,0.5,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0,0.5,0,0.5,0.5,1,1,0,0.333333333333333,0,0,0,0
"negative_3280.jpg",1,1,0,0.5,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,1,1,0,0,0,0
"negative_6211.jpg",0,0.666666666666667,0,0.666666666666667,0,0,0.333333333333333,0,0,0,0.25,0,0,0,0,0,1,0,0,1,0,0,0.5,1,0
"negative_6311.jpg",0,0,0,0.5,1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.333333333333333,0,0,0,1
"negative_6821.jpg",1,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
"negative_9041.jpg",0.5,0,1,0,0,0,0,0,0,0,0,0,1,0.333333333333333,0,1,0,0,0,1,0.5,0.333333333333333,1,1,0
"negative_9190.jpg",0,0,1,0,0.5,0,0,0.666666666666667,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
"negative_9440.jpg",0,1,0.5,0,0,0,0.5,0,0,0,0,0.333333333333333,0,0,0,1,0.5,1,0,0,1,0,0,0,0
"negative_9530.bmp",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"negative_9600.jpg",0,0,0,0.333333333333333,1,0,0.5,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0
"negative_AF3.jpg",0,0,0,0,0,0,0.5,0,1,1,0.5,0,0,0.5,0,1,0,0,0.5,0,0,0,0,0,1
"negative_c5.jpg",0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0.5,1,1,0
"negative_DF1.jpg",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,1,0
"negative_FP3.jpg",0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"negative_I1.jpg",0,0,0,1,0.5,0,0.333333333333333,1,0,0.333333333333333,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0.5,0
"negative_L04.bmp",0,0,1,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0.5,0,0,0,0,0.333333333333333,0,1
"negative_L08.bmp",0,0,1,0,0,1,0,0,0.5,0,0,1,1,0,1,0,0,1,0,0,0,0.333333333333333,0,1,1
"negative_L29.bmp",0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0.5,0.5,0,1,0,0
"negative_T1.jpg",0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
