"","positive_012.jpg","positive_015.jpg","positive_032.jpg","positive_042.jpg","positive_047.jpg","positive_1601.jpg","positive_2002.jpg","positive_2025.jpg","positive_2034.jpg","positive_2306.jpg","positive_2395.jpg","positive_2501.jpg","positive_5830.jpg","positive_7660.jpg","positive_8470.jpg","positive_c1.jpg","positive_d6.jpg","positive_EF1.jpg","positive_g6.jpg","positive_hp2.jpg","positive_p1.jpg","positive_s1.jpg","positive_S22.jpg","positive_y5.jpg","positive_s5.jpg"
"positive_012.jpg",0,0.833333333333333,0,0.333333333333333,0,0,0.333333333333333,1,0,0,0,0,0.5,0,0,0,0,0,1,0.333333333333333,0,0,0,1,0
"positive_015.jpg",0.833333333333333,0,1,0.333333333333333,0,0,0,0.5,0,0,1,0,0,1,0,0.333333333333333,0.5,0.5,0,0,0,0,0,0,0.333333333333333
"positive_032.jpg",0,1,0,0,1,0.5,0,0.25,0,0,0.5,0,0,0,0.5,1,0,0,0,1,0,0,0,1,0
"positive_042.jpg",0.333333333333333,0.333333333333333,0,0,0,0.5,0,0,0,0,0,0.5,1,0.5,0,0,0,0,0,1,0,1,0,0.666666666666667,1
"positive_047.jpg",0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"positive_1601.jpg",0,0,0.5,0.5,0,0,0,0,0,1,0,0,1,0,0,0,0.5,0,0,0,0.5,0,0,1,0
"positive_2002.jpg",0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"positive_2025.jpg",1,0.5,0.25,0,0,0,0,0,0,0,0.666666666666667,1,1,0,0,0,0,0,1,0.5,0,0,1,0,0.5
"positive_2034.jpg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5
"positive_2306.jpg",0,0,0,0,0,1,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0.5
"positive_2395.jpg",0,1,0.5,0,1,0,0,0.666666666666667,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0.5,0,0
"positive_2501.jpg",0,0,0,0.5,0,0,0,1,0,0.333333333333333,1,0,0.333333333333333,0,0,0,0,0,0.5,1,0.666666666666667,0,0,0,1
"positive_5830.jpg",0.5,0,0,1,0,1,0,1,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0.75,0,0,0,0,0.333333333333333
"positive_7660.jpg",0,1,0,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0
"positive_8470.jpg",0,0,0.5,0,1,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"positive_c1.jpg",0,0.333333333333333,1,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0.5,0,1,0,0,0,0,0,0.5
"positive_d6.jpg",0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,1
"positive_EF1.jpg",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,1,0,0,0,1
"positive_g6.jpg",1,0,0,0,0,0,0,1,0,0,1,0.5,0,0,0,1,0,0,0,0,0,0,0,1,0
"positive_hp2.jpg",0.333333333333333,0,1,1,0,0,0,0.5,0,0,1,1,0.75,0,0,0,0,1,0,0,0,0,0,0,0
"positive_p1.jpg",0,0,0,0,0,0.5,0,0,0,0,0,0.666666666666667,0,0,1,0,0,1,0,0,0,0,0,0,1
"positive_s1.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_S22.jpg",0,0,0,0,0,0,0,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_y5.jpg",1,0,1,0.666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,0.5,0,1,0,0,0,0,0,0
"positive_s5.jpg",0,0.333333333333333,0,1,0,0,0,0.5,0.5,0.5,0,1,0.333333333333333,0,0,0.5,1,1,0,0,1,0,0,0,0
