"","neutral_104.jpg","neutral_117.jpg","neutral_121.jpg","neutral_157.jpg","neutral_169.jpg","neutral_186.jpg","neutral_194.jpg","neutral_2019.jpg","neutral_2215.jpg","neutral_2393.jpg","neutral_2394.jpg","neutral_2442.jpg","neutral_D.jpg","neutral_N05.bmp","neutral_N07.bmp","neutral_N12.bmp","neutral_N13.bmp","neutral_N17.bmp","neutral_N19.bmp","neutral_N22.bmp","neutral_N31.bmp","neutral_N34.bmp","neutral_NF1.jpg","neutral_SP3.jpg","neutral_r.jpg"
"neutral_104.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_117.jpg",0,0,0,1,0,0,0,0,0,0,0.5,0,1,0,0,0.5,0,0,1,0.5,0,0.5,0,0,1
"neutral_121.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0
"neutral_157.jpg",0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0.333333333333333,0,0.25
"neutral_169.jpg",0,0,0,1,0,1,0.5,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0.5,1,0,0
"neutral_186.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0.666666666666667,0.5,0,0,0,0,0
"neutral_194.jpg",0,0,0,0,0.5,0,0,1,0.333333333333333,0,0.5,0,0,0,0,1,0,1,0,1,0,1,0,0,0
"neutral_2019.jpg",0,0,0,0,0,0,1,0,0.5,0,0,1,0,1,0,0,1,0,0,1,0,0,0.5,0,0
"neutral_2215.jpg",0,0,0,1,1,0,0.333333333333333,0.5,0,0.5,0,0,0,1,0,0.5,0,0,0,0,0,0,1,0,0
"neutral_2393.jpg",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0.666666666666667,0,0,0
"neutral_2394.jpg",0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0.333333333333333,0.5,0,0,0,0,0,0,0
"neutral_2442.jpg",0,0,0,1,1,0,0,1,0,0,0,0,0,0.5,0,0,0.5,0,0,0,1,1,0,0,0
"neutral_D.jpg",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"neutral_N05.bmp",0,0,0.5,0,0,0,0,1,1,0,0,0.5,0,0,0.5,0,0,0,0.333333333333333,0,0,0,0,0,0
"neutral_N07.bmp",0,0,0,1,1,1,0,0,0,0,0.5,0,0,0.5,0,0,0,1,0,0,1,0,0,0,0
"neutral_N12.bmp",0,0.5,1,1,0,0.5,1,0,0.5,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
"neutral_N13.bmp",0,0,0,0,1,0,0,1,0,0,0.333333333333333,0.5,1,0,0,1,0,0.5,0,1,0,0.5,0,0,0
"neutral_N17.bmp",0,0,0,0,0,0,1,0,0,0.333333333333333,0.5,0,1,0,1,0,0.5,0,0.666666666666667,1,1,0,0,0,0
"neutral_N19.bmp",0,1,0,1,0,0.666666666666667,0,0,0,0,0,0,0,0.333333333333333,0,1,0,0.666666666666667,0,1,1,0.5,0,0,0
"neutral_N22.bmp",0,0.5,0,1,1,0.5,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0
"neutral_N31.bmp",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0.5,1,0,1
"neutral_N34.bmp",0,0.5,0,0,0.5,0,1,0,0,0.666666666666667,0,1,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0
"neutral_NF1.jpg",0,0,0,0.333333333333333,1,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"neutral_SP3.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"neutral_r.jpg",0,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
