"","positive_012.jpg","positive_032.jpg","positive_056.jpg","positive_078.jpg","positive_1601.jpg","positive_2217.jpg","positive_2304.jpg","positive_2550.jpg","positive_4598.jpg","positive_4689.jpg","positive_5831.jpg","positive_7660.jpg","positive_8461.jpg","positive_8470.jpg","positive_b.jpg","positive_c1.jpg","positive_d6.jpg","positive_hp2.jpg","positive_m9.jpg","positive_r4.jpg","positive_s1.jpg","positive_s2.jpg","positive_s5.jpg","positive_t1.jpg","positive_y5.jpg"
"positive_012.jpg",0,1,0,0,0,0,0,0,1,0,0,0.5,1,0,0,0,1,0,0,1,0,1,0,0,0
"positive_032.jpg",1,0,0.5,0,0.333333333333333,0,0,1,0,0,0,0.333333333333333,0,1,0,0,0.5,0.5,1,0,0.5,1,1,0,1
"positive_056.jpg",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0.5,0,0,0,0,0,0.5,0,0
"positive_078.jpg",0,0,0,0,0,0,0.5,0,0,1,0,0.666666666666667,0,0,0,0,0.5,0,0,1,1,0.25,1,0,0
"positive_1601.jpg",0,0.333333333333333,0,0,0,0,1,0,1,0,0,0,0,0.5,0,0,0,0,0.5,0.333333333333333,0,1,0,0,0
"positive_2217.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
"positive_2304.jpg",0,0,0,0.5,1,0,0,0,0,0,0,0,0,0.666666666666667,0.666666666666667,0,1,0,1,0,0,0.666666666666667,0,0,0
"positive_2550.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"positive_4598.jpg",1,0,0,0,1,0,0,0,0,0,0.5,0.25,1,1,0,0.666666666666667,1,0.5,0,0,0,1,0,0,0
"positive_4689.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"positive_5831.jpg",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0.666666666666667,0,0,0,0,0.5,0,0
"positive_7660.jpg",0.5,0.333333333333333,0,0.666666666666667,0,0,0,0,0.25,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0.5,0,0,0.5,0
"positive_8461.jpg",1,0,0,0,0,0,0,0,1,0,0,0.333333333333333,0,0,0,1,1,0,0,1,0,1,1,0,1
"positive_8470.jpg",0,1,0,0,0.5,0,0.666666666666667,1,1,0,0,0,0,0,0,0,0,0,0.666666666666667,1,0,0,0,0,0
"positive_b.jpg",0,0,0.666666666666667,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0
"positive_c1.jpg",0,0,0,0,0,0,0,1,0.666666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"positive_d6.jpg",1,0.5,0.5,0.5,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0.25,0,0,0,0
"positive_hp2.jpg",0,0.5,0,0,0,0,0,0,0.5,1,0.666666666666667,0,0,0,1,0,0,0,1,0,0,0,0.5,0,0
"positive_m9.jpg",0,1,0,0,0.5,0,1,0,0,0,0,0,0,0.666666666666667,1,0,0,1,0,0,1,1,0.5,0,0.333333333333333
"positive_r4.jpg",1,0,0,1,0.333333333333333,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,1,0,0,0.333333333333333,0
"positive_s1.jpg",0,0.5,0,1,0,0,0,1,0,0,0,0.5,0,0,0,0,0.25,0,1,1,0,0,0,0,0
"positive_s2.jpg",1,1,0,0.25,1,0.5,0.666666666666667,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.5
"positive_s5.jpg",0,1,0.5,1,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0
"positive_t1.jpg",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0
"positive_y5.jpg",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.333333333333333,0,0,0.5,0,0,0
