"","neutral_103.jpg","neutral_104.jpg","neutral_116.jpg","neutral_121.jpg","neutral_156.jpg","neutral_157.jpg","neutral_169.jpg","neutral_194.jpg","neutral_2200.jpg","neutral_2215.jpg","neutral_2393.jpg","neutral_2394.jpg","neutral_2495.jpg","neutral_BP5.jpg","neutral_J2.jpg","neutral_N01.bmp","neutral_N05.bmp","neutral_N07.bmp","neutral_N20.bmp","neutral_N31.bmp","neutral_N33.bmp","neutral_N34.bmp","neutral_n5.jpg","neutral_SP2.jpg","neutral_NF4.jpg"
"neutral_103.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,1,0,0,0.5,1,1,0
"neutral_104.jpg",1,0,0,0,1,0,1,0,0,1,0.333333333333333,0,0,0.5,0,0,0,0.333333333333333,0,0,0.5,0,0,0.5,0
"neutral_116.jpg",0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0.5,0,0,1,0,0
"neutral_121.jpg",0,0,1,0,0,0,0,0,0,0,1,0.666666666666667,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"neutral_156.jpg",0,1,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1
"neutral_157.jpg",0,0,1,0,0,0,1,0,1,0.5,1,0,0.333333333333333,0,0,1,0,1,1,0,0.5,1,0,0.5,0
"neutral_169.jpg",0,1,0,0,0,1,0,0.5,0,0.5,0,1,0,0.5,0,1,0,0,0.5,1,0,0,1,0,0
"neutral_194.jpg",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"neutral_2200.jpg",0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,1,0
"neutral_2215.jpg",0,1,0,0,0.666666666666667,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_2393.jpg",0,0.333333333333333,1,1,0,1,0,0,0,0,0,0,0,0.75,0,1,0,0,0,1,0,0,1,1,0
"neutral_2394.jpg",0,0,1,0.666666666666667,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,1,0.5,0.5,0,1,0,0
"neutral_2495.jpg",0,0,0,0,0,0.333333333333333,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0
"neutral_BP5.jpg",0.333333333333333,0.5,1,0.5,0,0,0.5,0,0,0,0.75,0,0,0,0,1,0,0,1,0,0,0.5,1,1,0
"neutral_J2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"neutral_N01.bmp",0.333333333333333,0,1,0,0,1,1,0,0,0,1,0.5,0,1,0,0,0,0,1,0.5,0,0,0,0,0
"neutral_N05.bmp",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"neutral_N07.bmp",0,0.333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
"neutral_N20.bmp",1,0,0,0,0,1,0.5,1,0.5,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0
"neutral_N31.bmp",0,0,0.5,0,0,0,1,0,0,0,1,0.5,0,0,0,0.5,0,0,1,0,0,1,0.5,1,0
"neutral_N33.bmp",0,0.5,0,0,0,0.5,0,0,0.5,0,0,0.5,1,0,0,0,0,1,1,0,0,0,0,0,0
"neutral_N34.bmp",0.5,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,1,0,1,0,0,0,0,0
"neutral_n5.jpg",1,0,1,0,0,0,1,0,0,0,1,1,0.5,1,0,0,0,0,0,0.5,0,0,0,0,0
"neutral_SP2.jpg",1,0.5,0,0,0.5,0.5,0,0,1,0,1,0,0.5,1,0,0,0,0,0,1,0,0,0,0,0
"neutral_NF4.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
