"","neutral_082.jpg","neutral_099.jpg","neutral_106.jpg","neutral_116.jpg","neutral_117.jpg","neutral_121.jpg","neutral_156.jpg","neutral_199.jpg","neutral_2200.jpg","neutral_2305.jpg","neutral_2393.jpg","neutral_2394.jpg","neutral_2442.jpg","neutral_2495.jpg","neutral_J2.jpg","neutral_N01.bmp","neutral_N05.bmp","neutral_N17.bmp","neutral_N34.bmp","neutral_n5.jpg","neutral_NF1.jpg","neutral_NF4.jpg","neutral_r.jpg","neutral_SP2.jpg","neutral_SP3.jpg"
"neutral_082.jpg",0,1,0,0.5,0,0,0,0,0,0,0.666666666666667,1,1,0,0,0,0,0,0.5,0,0.666666666666667,0,0,0,0
"neutral_099.jpg",1,0,0,0,0,0,0.5,0,0.25,0,0,0,1,0,0,0.5,0,1,0,0,0,0,0,0,0
"neutral_106.jpg",0,0,0,0,0,0,0,0,0.333333333333333,0.25,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0
"neutral_116.jpg",0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"neutral_117.jpg",0,0,0,0,0,0,1,0,0,0.5,0,0,1,1,0,0,1,1,0,0.5,1,0,1,0,0
"neutral_121.jpg",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
"neutral_156.jpg",0,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"neutral_199.jpg",0,0,0,1,0,1,1,0,0,0,0,0,0.333333333333333,0.5,0,1,1,0,0,0,0,0,0,0,0
"neutral_2200.jpg",0,0.25,0.333333333333333,0,0,0,0,0,0,1,0.333333333333333,0,1,1,1,0,0,0,0,1,0,1,0,0,0
"neutral_2305.jpg",0,0,0.25,0,0.5,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0
"neutral_2393.jpg",0.666666666666667,0,0,0,0,1,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"neutral_2394.jpg",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0
"neutral_2442.jpg",1,1,0,0,1,0,0,0.333333333333333,1,0,0,0,0,0.5,0,0,0,0,0,1,0,1,0,0,0
"neutral_2495.jpg",0,0,0.5,0,1,0,0,0.5,1,1,0,0,0.5,0,0.5,0,0.5,0,0,0,0.666666666666667,1,0,0,0
"neutral_J2.jpg",0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0,0,0,0,0,0,0,0.5,1,0,0
"neutral_N01.bmp",0,0.5,0,0.5,0,0,0,1,0,0,0,1,0,0,0,0,0.5,1,0,0,0,0,0,0,1
"neutral_N05.bmp",0,0,0,0,1,0,1,1,0,1,0,0,0,0.5,0,0.5,0,0,1,0,0,0,0,0,0
"neutral_N17.bmp",0,1,0,0,1,0,0,0,0,1,0,0.5,0,0,0,1,0,0,1,0.333333333333333,0.5,0,0,0,0
"neutral_N34.bmp",0.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"neutral_n5.jpg",0,0,0,0,0.5,1,0,0,1,1,0,0,1,0,0,0,0,0.333333333333333,0,0,0,1,1,0,0
"neutral_NF1.jpg",0.666666666666667,0,0,0,1,1,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0.5,0,0,0,0,0,0,0
"neutral_NF4.jpg",0,0,0,0,0,0,0,0,1,1,0,0,1,1,0.5,0,0,0,0,1,0,0,0.5,0,0
"neutral_r.jpg",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.5,0,0,0
"neutral_SP2.jpg",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"neutral_SP3.jpg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
