"","neutral_103.jpg","neutral_104.jpg","neutral_116.jpg","neutral_124.jpg","neutral_156.jpg","neutral_157.jpg","neutral_169.jpg","neutral_191.jpg","neutral_194.jpg","neutral_2200.jpg","neutral_2393.jpg","neutral_2442.jpg","neutral_2495.jpg","neutral_D.jpg","neutral_J2.jpg","neutral_N04.bmp","neutral_N05.bmp","neutral_N12.bmp","neutral_N17.bmp","neutral_N22.bmp","neutral_N31.bmp","neutral_N33.bmp","neutral_r.jpg","neutral_S5.jpg","neutral_SP2.jpg"
"neutral_103.jpg",0,1,1,1,0,0,0,0,0,1,1,0.333333333333333,1,0,1,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0.75,0
"neutral_104.jpg",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,1,0,0,0.333333333333333,0
"neutral_116.jpg",1,0,0,0,1,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"neutral_124.jpg",1,0,0,0,0,0,0,0,0,0.25,1,0,1,1,1,0.4,0,0,1,0,0,0,0,0.5,0
"neutral_156.jpg",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0,0,0,0,0
"neutral_157.jpg",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0.5,0,0.666666666666667,0,0,0,0,0
"neutral_169.jpg",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0
"neutral_191.jpg",0,0,1,0,0,0,1,0,0.666666666666667,0,1,0,0.333333333333333,0,0,0,0,0,0,0.5,0,1,0,0,0
"neutral_194.jpg",0,0,0.5,0,1,1,0,0.666666666666667,0,0,0,0,0,0,0,0,0.5,0,1,0.333333333333333,0,1,0,0,0
"neutral_2200.jpg",1,0,0,0.25,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
"neutral_2393.jpg",1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
"neutral_2442.jpg",0.333333333333333,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0
"neutral_2495.jpg",1,0,0,1,0,0,0,0.333333333333333,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
"neutral_D.jpg",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.5,0,0
"neutral_J2.jpg",1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0
"neutral_N04.bmp",0.333333333333333,0.5,0,0.4,0,1,1,0,0,0,0,0,0,0,0.5,0,0,0,0.333333333333333,0,0.5,0,0,0,0
"neutral_N05.bmp",0,0,0,0,1,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"neutral_N12.bmp",0,0,0,0,1,0.5,1,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0.5,0,0,0,0,0
"neutral_N17.bmp",0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.333333333333333,0,0,0,0,1,0,0,0,0
"neutral_N22.bmp",0,0,0,0,0.333333333333333,0.666666666666667,0,0.5,0.333333333333333,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0,0,0
"neutral_N31.bmp",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,1,0,0,0,0.5,0,0
"neutral_N33.bmp",0,0,0,0,0,0,1,1,1,0,0.5,0.333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0.5
"neutral_r.jpg",0.333333333333333,0,0,0,0,0,1,0,0,1,0,0,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0
"neutral_S5.jpg",0.75,0.333333333333333,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"neutral_SP2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,1,0
