"","positive_015.jpg","positive_032.jpg","positive_041.jpg","positive_078.jpg","positive_1601.jpg","positive_2002.jpg","positive_2025.jpg","positive_2034.jpg","positive_2304.jpg","positive_2306.jpg","positive_2395.jpg","positive_2550.jpg","positive_4598.jpg","positive_4689.jpg","positive_5628.jpg","positive_7325.jpg","positive_7502.jpg","positive_7660.jpg","positive_8120.jpg","positive_8300.jpg","positive_8461.jpg","positive_8470.jpg","positive_hp2.jpg","positive_s1.jpg","positive_t1.jpg"
"positive_015.jpg",0,0,0.5,1,0.5,0,0.5,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,1
"positive_032.jpg",0,0,1,0,0,0,0,0,0,0,0,0,1,0.5,0.666666666666667,0,0,1,0.5,0,1,0.666666666666667,1,0.333333333333333,0
"positive_041.jpg",0.5,1,0,0,0,0,1,0.5,0,0,1,1,0,0.5,0,0,0,0,0,0,1,1,0,0,0
"positive_078.jpg",1,0,0,0,1,0,0,1,0,0,1,1,1,0.333333333333333,0.5,0,0,0,0,1,0,0,0,0.5,0
"positive_1601.jpg",0.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"positive_2002.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2025.jpg",0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2034.jpg",0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,1,1,0.5,0,0,0
"positive_2304.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"positive_2306.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2395.jpg",1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.666666666666667,1,1,1,0,1,0.5,0
"positive_2550.jpg",0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0.5,1,1,0.5,0,0.333333333333333
"positive_4598.jpg",0,1,0,1,0,0,0,0,0,0,0,1,0,0.5,1,0,0,1,0,1,1,0,0,0,0
"positive_4689.jpg",0,0.5,0.5,0.333333333333333,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,1
"positive_5628.jpg",0,0.666666666666667,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"positive_7325.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"positive_7502.jpg",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0
"positive_7660.jpg",0.5,1,0,0,0,0,0,1,0,0,0.666666666666667,1,1,0.5,0,0,0,0,0,0,1,0,1,0,1
"positive_8120.jpg",0,0.5,0,0,0,0,0,0.5,0,0,1,0,0,0.5,0,0,0,0,0,1,0,0,0,0,1
"positive_8300.jpg",0,0,0,1,0,0,0,1,0,0,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0.5
"positive_8461.jpg",0.5,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0.5,1,0,0,0,0,1,0,0
"positive_8470.jpg",0,0.666666666666667,1,0,0,0,0,0.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.5,0
"positive_hp2.jpg",0,1,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0,1,0,0,1,1,0,0,1
"positive_s1.jpg",0,0.333333333333333,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1
"positive_t1.jpg",1,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,1,0,0,0,1,1,0.5,0,0,1,1,0
