"","neutral_082.jpg","neutral_099.jpg","neutral_103.jpg","neutral_117.jpg","neutral_156.jpg","neutral_186.jpg","neutral_194.jpg","neutral_2019.jpg","neutral_2305.jpg","neutral_2393.jpg","neutral_2442.jpg","neutral_2495.jpg","neutral_2850.jpg","neutral_J2.jpg","neutral_N01.bmp","neutral_N07.bmp","neutral_N12.bmp","neutral_N31.bmp","neutral_n5.jpg","neutral_NF1.jpg","neutral_NF4.jpg","neutral_r.jpg","neutral_S5.jpg","neutral_SP3.jpg","neutral_SP2.jpg"
"neutral_082.jpg",0,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0,1,0,1,0,0,0,0.5,0,0,0
"neutral_099.jpg",0,0,0,0.666666666666667,1,0,0,1,0.5,0,0,0,0,0,0,0,1,0,0,0.333333333333333,0,0,0,0,0
"neutral_103.jpg",0,0,0,0,0,0,0,0.5,1,0.5,0,0,0,1,0.5,0,0.333333333333333,0,1,0,1,0,0,0,0
"neutral_117.jpg",0,0.666666666666667,0,0,1,0,0,0,0.5,0,0,0,1,1,0,0,0,0,0,0.8,0,0,0.5,0,0
"neutral_156.jpg",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"neutral_186.jpg",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0
"neutral_194.jpg",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0
"neutral_2019.jpg",0,1,0.5,0,0,0,0,0,0,0,0,1,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0.333333333333333,0.5,0,0,0
"neutral_2305.jpg",0,0.5,1,0.5,0,0,0,0,0,0,0,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0
"neutral_2393.jpg",1,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,0,0,1,0,0
"neutral_2442.jpg",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333333333333333,1,0,0,0.333333333333333,0,0,0,0,0,0
"neutral_2495.jpg",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"neutral_2850.jpg",0.5,0,0,1,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,1,0,0
"neutral_J2.jpg",0,0,1,1,0,0,0,0.666666666666667,1,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0
"neutral_N01.bmp",0,0,0.5,0,0,0.5,0,0,0.5,0,0.333333333333333,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"neutral_N07.bmp",1,0,0,0,0,0,0.666666666666667,0,0,0,1,0,0,0,0,0,0.333333333333333,1,1,0,0,1,0,0,0
"neutral_N12.bmp",0,1,0.333333333333333,0,0,1,0,0,0,0,0,0,1,0,0,0.333333333333333,0,0,0,1,0.5,0,0,0,0
"neutral_N31.bmp",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.5,0,0.666666666666667,0,0
"neutral_n5.jpg",0,0,1,0,0,0,0,0,0,0,0.333333333333333,0,1,0.5,0,1,0,0,0,0.5,0.75,0.5,1,0,0
"neutral_NF1.jpg",0,0.333333333333333,0,0.8,1,0,0,0,0,0.333333333333333,0,0,0,0,0,0,1,1,0.5,0,0,0,1,0,0
"neutral_NF4.jpg",0,0,1,0,0,0,0,0.333333333333333,0,0,0,1,0,0,1,0,0.5,0.5,0.75,0,0,1,0,0,0
"neutral_r.jpg",0.5,0,0,0,0,0,0,0.5,0,0,0,0,0.5,1,0,1,0,0,0.5,0,1,0,0,0,0
"neutral_S5.jpg",0,0,0,0.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0.666666666666667,1,1,0,0,0,0,0
"neutral_SP3.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_SP2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
