"","neutral_082.jpg","neutral_103.jpg","neutral_104.jpg","neutral_106.jpg","neutral_117.jpg","neutral_124.jpg","neutral_156.jpg","neutral_157.jpg","neutral_186.jpg","neutral_194.jpg","neutral_199.jpg","neutral_2393.jpg","neutral_2394.jpg","neutral_2495.jpg","neutral_2745.1.jpg","neutral_2850.jpg","neutral_BP5.jpg","neutral_D.jpg","neutral_J2.jpg","neutral_N04.bmp","neutral_N17.bmp","neutral_N33.bmp","neutral_NF4.jpg","neutral_S5.jpg","neutral_n5.jpg"
"neutral_082.jpg",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.75,1,0,0,0,0,1,0
"neutral_103.jpg",0,0,0,0,0,0,0.5,0,0,0,1,0,0.5,0,0,1,0,0,1,0,0.5,0,1,0,1
"neutral_104.jpg",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.5,1,0,0,0,0,0,1,0,0,1
"neutral_106.jpg",0,0,0,0,1,0,0,0.666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5
"neutral_117.jpg",0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"neutral_124.jpg",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.5,0,0,0,0,0.25,0,1,0
"neutral_156.jpg",0,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0,0
"neutral_157.jpg",0,0,1,0.666666666666667,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
"neutral_186.jpg",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0
"neutral_194.jpg",0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0
"neutral_199.jpg",0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"neutral_2393.jpg",0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
"neutral_2394.jpg",1,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,1,0,1,0,0,0,0,0
"neutral_2495.jpg",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
"neutral_2745.1.jpg",0,0,0.5,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"neutral_2850.jpg",0,1,1,0,0,0,0.333333333333333,1,0,1,0,0,0.25,1,1,0,0,0,0,1,0,0.666666666666667,0,0,0
"neutral_BP5.jpg",0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0.333333333333333,0,1,1,0
"neutral_D.jpg",0.75,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.5,0
"neutral_J2.jpg",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"neutral_N04.bmp",0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0.5
"neutral_N17.bmp",0,0.5,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0.333333333333333,0,0,1,0,1,0,0,0
"neutral_N33.bmp",0,0,1,1,0,0.25,0.333333333333333,1,0.5,0,0,1,0,0,0,0.666666666666667,0,0,0,1,1,0,0,0,0
"neutral_NF4.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"neutral_S5.jpg",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.5,0,1,0,0,1,0,0
"neutral_n5.jpg",0,1,1,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0,0,0,0,0
