"","negative_2095.jpg","negative_2122.jpg","negative_2130.jpg","negative_215.jpg","negative_224.jpg","negative_228.jpg","negative_2410.bmp","negative_2458.jpg","negative_2810.jpg","negative_6211.jpg","negative_6555.jpg","negative_65701_1.jpg","negative_6821.jpg","negative_8231.jpg","negative_9041.jpg","negative_9530.bmp","negative_c5.jpg","negative_DF1.jpg","negative_FP3.jpg","negative_h11.bmp","negative_L24.bmp","negative_L29.bmp","negative_MF2.jpg","negative_L02.bmp","negative_T1.jpg"
"negative_2095.jpg",0,0.5,0,0,0,0.25,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0
"negative_2122.jpg",0.5,0,0,1,1,0,0,0,0.5,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0.5
"negative_2130.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_215.jpg",0,1,0,0,1,0,0,0.5,0,0,0,0,0,0,0.5,1,1,0,0,0.5,1,0,0,0,0
"negative_224.jpg",0,1,0,1,0,0,0,1,0,0.5,0,0,1,1,0.75,1,0,0,1,1,0,1,0.666666666666667,0,0
"negative_228.jpg",0.25,0,0,0,0,0,0,0,1,0.666666666666667,0,0.5,0,0,0,0.333333333333333,0.25,0,0,0,0,0,1,0,0
"negative_2410.bmp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_2458.jpg",0,0,0,0.5,1,0,0,0,0,0.5,0,0.666666666666667,1,1,0,1,0.5,0,0,0,0,0,0,0,1
"negative_2810.jpg",0,0.5,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0.5,0,0
"negative_6211.jpg",0,0,0,0,0.5,0.666666666666667,0,0.5,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"negative_6555.jpg",1,0,0,0,0,0,0,0,0,1,0,1,0,0.5,0.25,0,0,0,0,0,0,0,0.5,0.5,0
"negative_65701_1.jpg",0,1,0,0,0,0.5,0,0.666666666666667,1,0,1,0,0.666666666666667,0,0,0,0,0,0,0,1,0,0.5,0,0
"negative_6821.jpg",0,1,0,0,1,0,0,1,0,0,0,0.666666666666667,0,0,1,0,0,0,0,1,1,0,0,0,0
"negative_8231.jpg",0,0,0,0,1,0,0,1,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,0.333333333333333,0,0,0,0
"negative_9041.jpg",0.5,0,0,0.5,0.75,0,0,0,0,1,0.25,0,1,0,0,1,1,0.666666666666667,0,0.333333333333333,1,0,0,0,0
"negative_9530.bmp",0,0,0,1,1,0.333333333333333,0,1,1,0,0,0,0,0,1,0,0.333333333333333,0,0,0,0,0,0,0,0
"negative_c5.jpg",0,1,0,1,0,0.25,0,0.5,1,1,0,0,0,0.5,1,0.333333333333333,0,1,0,0,0.5,0,0.333333333333333,0,0
"negative_DF1.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,1,0,0,0,1,0,0.5,0,0
"negative_FP3.jpg",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"negative_h11.bmp",0,0,0,0.5,1,0,0,0,1,0,0,0,1,0.5,0.333333333333333,0,0,0,0,0,0,0,0,0,0
"negative_L24.bmp",0,1,0,1,0,0,0,0,0,0,0,1,1,0.333333333333333,1,0,0.5,1,1,0,0,0,0,0,1
"negative_L29.bmp",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"negative_MF2.jpg",0,0,0,0,0.666666666666667,1,0,0,0.5,0,0.5,0.5,0,0,0,0,0.333333333333333,0.5,0,0,0,0,0,0,1
"negative_L02.bmp",1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_T1.jpg",0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
