"","positive_012.jpg","positive_041.jpg","positive_047.jpg","positive_056.jpg","positive_073.jpg","positive_078.jpg","positive_2002.jpg","positive_2025.jpg","positive_2034.jpg","positive_2217.jpg","positive_2395.jpg","positive_2501.jpg","positive_4689.jpg","positive_5830.jpg","positive_5831.jpg","positive_7325.jpg","positive_7499.jpg","positive_7502.jpg","positive_8461.jpg","positive_b.jpg","positive_c1.jpg","positive_m9.jpg","positive_s2.jpg","positive_s5.jpg","positive_t1.jpg"
"positive_012.jpg",0,0,1,0.666666666666667,0.5,0,0,1,0,0,0,0,1,0,0,1,1,0.5,0,0,0,1,0.5,0,0
"positive_041.jpg",0,0,0,1,0,0,1,0,0,1,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"positive_047.jpg",1,0,0,0,0,0,0.5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.75,0,1
"positive_056.jpg",0.666666666666667,1,0,0,0,0.5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.5
"positive_073.jpg",0.5,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0.5,1,0
"positive_078.jpg",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"positive_2002.jpg",0,1,0.5,0,1,0,0,0,0.5,0.333333333333333,0.4,1,0,0,0,1,1,0,0,0,0,1,0,0,0.5
"positive_2025.jpg",1,0,1,1,0,0,0,0,0,0,0,0.5,1,0,1,0,0,0,0,1,0,0,0,0,0
"positive_2034.jpg",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2217.jpg",0,1,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2395.jpg",0,0.5,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"positive_2501.jpg",0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"positive_4689.jpg",1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"positive_5830.jpg",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0.5,0,1,0,0.5,1,0.5,0
"positive_5831.jpg",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0.333333333333333
"positive_7325.jpg",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.333333333333333,1
"positive_7499.jpg",1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0.5,0,0,0
"positive_7502.jpg",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,0,0,0.5,0,0,0,1,0
"positive_8461.jpg",0,1,0,0,0,0,0,0,0,0,0.5,0,1,0,0,1,0,0,0,0.666666666666667,0,0,0,0,0.5
"positive_b.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.5,0.666666666666667,0,0,0,0,0,1
"positive_c1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_m9.jpg",1,0,0,1,0,1,1,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,1,0
"positive_s2.jpg",0.5,0,0.75,0,0.5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5
"positive_s5.jpg",0,0,0,0,1,0,0,0,0,0,0,1,0,0.5,0,0.333333333333333,0,1,0,0,0,1,0,0,0
"positive_t1.jpg",0,0,1,0.5,0,0,0.5,0,0,0,0,1,0,0,0.333333333333333,1,0,0,0.5,1,0,0,0.5,0,0
