"","positive_012.jpg","positive_042.jpg","positive_073.jpg","positive_2002.jpg","positive_2025.jpg","positive_2217.jpg","positive_2300.jpg","positive_2304.jpg","positive_2395.jpg","positive_2550.jpg","positive_4574.jpg","positive_4598.jpg","positive_4689.jpg","positive_5628.jpg","positive_5831.jpg","positive_8461.jpg","positive_b.jpg","positive_c1.jpg","positive_g6.jpg","positive_hp2.jpg","positive_p1.jpg","positive_r4.jpg","positive_S22.jpg","positive_s2.jpg","positive_t1.jpg"
"positive_012.jpg",0,0,1,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0
"positive_042.jpg",0,0,0.5,0,0,0,0,0,0,0.5,1,1,0,0.75,0,1,0,1,0,0,1,0,0.5,0,1
"positive_073.jpg",1,0.5,0,0,0,0,0,0,0.333333333333333,0.5,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0.5
"positive_2002.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2025.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"positive_2217.jpg",0,0,0,0,0,0,0,1,0,0,0.333333333333333,0,0,0,0,1,0,0,0,0.5,1,0,0,0,0
"positive_2300.jpg",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"positive_2304.jpg",1,0,0,1,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"positive_2395.jpg",0,0,0.333333333333333,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0,0,0,0.5,0.666666666666667,1,0,0,1
"positive_2550.jpg",0.5,0.5,0.5,0,0,0,0,0,0,0,1,1,1,0,0.5,1,0,0,0,0,0,0,0,0,0
"positive_4574.jpg",0,1,0,0,0,0.333333333333333,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0.666666666666667,0,0
"positive_4598.jpg",0,1,0,0,0,0,0,0,0.5,1,0,0,1,0,1,0,0,0,0.5,0.5,0,0,0,0.333333333333333,0
"positive_4689.jpg",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.5
"positive_5628.jpg",0,0.75,0,0,0,0,0,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0.5
"positive_5831.jpg",0,0,1,0,0,0,0,0,0,0.5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
"positive_8461.jpg",0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1
"positive_b.jpg",0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"positive_c1.jpg",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_g6.jpg",0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_hp2.jpg",0,0,1,0,0,0.5,0,0,0.5,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"positive_p1.jpg",0.666666666666667,1,1,0,0,1,0,0,0.666666666666667,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.5,0
"positive_r4.jpg",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"positive_S22.jpg",0,0.5,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0.5,0,0.5,0,0,0,0,0,1,0,0,0
"positive_s2.jpg",0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,1,0,0,0,0,0.5,1,0,0,0
"positive_t1.jpg",0,1,0.5,0,0,0,0,0,1,0,0,0,0.5,0.5,0,1,0,0,0,0.5,0,0,0,0,0
