"","neutral_082.jpg","neutral_104.jpg","neutral_106.jpg","neutral_114.jpg","neutral_116.jpg","neutral_117.jpg","neutral_124.jpg","neutral_156.jpg","neutral_169.jpg","neutral_186.jpg","neutral_191.jpg","neutral_194.jpg","neutral_2019.jpg","neutral_2305.jpg","neutral_BP5.jpg","neutral_N01.bmp","neutral_N04.bmp","neutral_N12.bmp","neutral_N13.bmp","neutral_N31.bmp","neutral_N34.bmp","neutral_NF1.jpg","neutral_SP2.jpg","neutral_N05.bmp","neutral_NF4.jpg"
"neutral_082.jpg",0,1,1,1,0,0.75,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0
"neutral_104.jpg",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.75,0,0.5
"neutral_106.jpg",1,1,0,1,0,0,0.5,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
"neutral_114.jpg",1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0.5,0,0,0,0,0,1,0.5,0,1
"neutral_116.jpg",0,0,0,0,0,1,0,0,0,0,1,0,1,0.8,1,0,0,0,0,0,0,1,0,0,0
"neutral_117.jpg",0.75,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
"neutral_124.jpg",0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0.5,1,1,0.5,0,1,1,0,0,0,0
"neutral_156.jpg",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.5,0.5,0,0,0.5,0,0,1,0
"neutral_169.jpg",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"neutral_186.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_191.jpg",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0
"neutral_194.jpg",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
"neutral_2019.jpg",0.5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"neutral_2305.jpg",0,1,0,1,0.8,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0.5
"neutral_BP5.jpg",1,0,1,0,1,1,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333333333,0,0,0
"neutral_N01.bmp",0,0,0,0.5,0,0,1,0,0,0,0.333333333333333,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"neutral_N04.bmp",0,1,0,0,0,0,1,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"neutral_N12.bmp",0,0,0,0,0,0,0.5,0.5,0,0,0,1,0,0.5,0,0,0,0,0,0,1,1,0,0,0
"neutral_N13.bmp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"neutral_N31.bmp",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.666666666666667,0,0,0
"neutral_N34.bmp",0,0,0,0,0,0,1,0.5,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
"neutral_NF1.jpg",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.333333333333333,0,1,1,0,0.666666666666667,0,0,0,0,1
"neutral_SP2.jpg",0,0.75,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_N05.bmp",0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_NF4.jpg",0,0.5,1,1,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
