StartDate,EndDate,Status,IPAddress,Progress,duration,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,paq_ddf_neg_1,paq_dif_neg_2,paq_eot_gen_3,paq_ddf_pos_4,paq_dif_pos_5,paq_eot_gen_6,paq_timer_1_First Click,paq_timer_1_Last Click,paq_timer_1_Page Submit,paq_timer_1_Click Count,paq_ddf_neg_7,paq_dif_neg_8,paq_eot_gen_9,paq_ddf_pos_10,paq_dif_pos_11,paq_eot_gen_12,paq_timer_2_First Click,paq_timer_2_Last Click,paq_timer_2_Page Submit,paq_timer_2_Click Count,paq_ddf_neg_13,paq_dif_neg_14,paq_eot_gen_15,paq_ddf_pos_16,paq_dif_pos_17,ac_paq,paq_eot_gen_18,paq_timer_3_First Click,paq_timer_3_Last Click,paq_timer_3_Page Submit,paq_timer_3_Click Count,paq_ddf_neg_19,paq_dif_neg_20,paq_eot_gen_21,paq_ddf_pos_22,paq_dif_pos_23,paq_eot_gen_24,paq_timer_4_First Click,paq_timer_4_Last Click,paq_timer_4_Page Submit,paq_timer_4_Click Count,pmerq_reappraise_eng_1,pmerq_sitmod_dis_2,pmerq_sitsel_eng_3,pmerq_sitsel_dis_4,pmerq_5,pmerq_sitsel_dis_6,pmerq_7,pmerq_8,pmerq_sitmod_eng_9,pmerq_reappraise_eng_10,pmerq_sitmod_eng_11,pmerq_reappraise_dis_12,pmerq_13,pmerq_sitsel_eng_14,pmerq_sitmod_eng_15,pmerq_16,pmerq_17,pmerq_sitsel_dis_18,pmerq_sitmod_eng_19,pmerq_20,pmerq_21,pmerq_22,pmerq_23,pmerq_24,pmerq_sitmod_dis_25,pmerq_26,pmerq_27,pmerq_28,pmerq_29,pmerq_sitmod_eng_30,pmerq_31,pmerq_32,pmerq_sitsel_dis_33,pmerq_sitmod_dis_34,pmerq_35,pmerq_sitsel_dis_36,pmerq_37,pmerq_38,pmerq_sitmod_dis_39,pmerq_sitsel_dis_40,pmerq_41,pmerq_42,pmerq_43,pmerq_sitsel_eng_44,pmerq_45,pmerq_46,pmerq_47,pmerq_sitmod_eng_48,pmerq_49,pmerq_sitsel_eng_50,pmerq_51,pmerq_52,pmerq_53,pmerq_54,pmerq_sitmod_dis_55,pmerq_56,pmerq_57,ac_pmerq,pmerq_timer_First Click,pmerq_timer_Last Click,pmerq_timer_Page Submit,pmerq_timer_Click Count,swls_1,swls_2,swls_3,swls_4,swls_5,swls_timer_First Click,swls_timer_Last Click,swls_timer_Page Submit,swls_timer_Click Count,fss_1,fss_2,fss_3,fss_4,fss_5,fss_6,fss_7,fss_8,fss_9,fss_timer_First Click,fss_timer_Last Click,fss_timer_Page Submit,fss_timer_Click Count,gad_1,gad_2,gad_3,gad_4,gad_5,gad_6,gad_7,gad_timer_First Click,gad_timer_Last Click,gad_timer_Page Submit,gad_timer_Click Count,phq_1,phq_2,phq_3,phq_4,phq_5,phq_6,phq_7,phq_8,phq_timer_First Click,phq_timer_Last Click,phq_timer_Page Submit,phq_timer_Click Count,tas_dif_1,tas_ddf_2,tas_dif_3,tas_ddf_4_r,tas_eot_5_r,tas_timer_1_First Click,tas_timer_1_Last Click,tas_timer_1_Page Submit,tas_timer_1_Click Count,tas_dif_6,tas_dif_7,tas_eot_8,tas_dif_9,tas_eot_10_r,tas_timer_2_First Click,tas_timer_2_Last Click,tas_timer_2_Page Submit,tas_timer_2_Click Count,tas_ddf_11,tas_ddf_12,tas_dif_13,tas_dif_14,ac_tas,tas_eot_15,tas_timer_3_First Click,tas_timer_3_Last Click,tas_timer_3_Page Submit,tas_timer_3_Click Count,tas_eot_16,tas_ddf_17,tas_eot_18_r,tas_eot_19_r,tas_eot_20,tas_timer_4_First Click,tas_timer_4_Last Click,tas_timer_4_Page Submit,tas_timer_4_Click Count,erq_reap_fr_1,erq_supp_fr_2,erq_reap_fr_3,erq_supp_fr_4,erq_reap_fr_5,erq_supp_fr_6,erq_reap_fr_7,erq_reap_fr_8,erq_supp_fr_9,erq_reap_fr_10,gender,gender_3_TEXT,age,academic,academic_7_TEXT,race_1,race_2,race_16,race_3,race_4,race_5,race_7,race_8,race_9,race_10,race_11,race_13,race_14,race_15,race_1_TEXT,race_2_TEXT,race_16_TEXT,race_3_TEXT,race_13_TEXT,race_14_TEXT,race_15_TEXT,pid,pool,qualtrics_name,ac_pmerq_pass,ac_tas_pass,ac_paq_pass,ac_passes,rawdatafile,paq,paq_dif,paq_ddf,paq_eot,paq_neg,paq_pos,paq_dif_neg,paq_ddf_neg,paq_dif_pos,paq_ddf_pos,tas,tas_dif,tas_ddf,tas_eot,erq_reap_fr,erq_supp_fr,gad,phq,fss,swls,pmerq_sitsel_eng,pmerq_sitmod_eng,pmerq_sitsel_dis,pmerq_sitmod_dis
2021-09-21 21:30:52,2021-09-21 21:37:16,IP Address,73.15.188.110,100,383,True,2021-09-21 21:37:16,R_1239G3xh2pRpQNJ,37.379302978515625,-122.1199951171875,anonymous,EN,1,NA,NA,NA,NA,NA,NA,3.568,3.568,3.57,1,NA,NA,NA,NA,NA,NA,3.159,3.159,3.165,1,NA,NA,NA,NA,NA,NA,NA,3.718,3.718,3.72,1,NA,NA,NA,NA,NA,NA,3.501,3.501,3.504,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.662,6.662,6.666,1,NA,NA,NA,NA,NA,5.071,6.707,6.71,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.823,8.823,8.829,1,NA,NA,NA,NA,NA,NA,NA,3.044,3.044,3.046,1,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.8,2.904,1,NA,NA,NA,NA,NA,4.334,4.334,4.337,1,NA,NA,NA,NA,NA,4.798,4.798,4.801,1,NA,NA,NA,NA,NA,NA,4.343,4.343,4.347,1,NA,NA,NA,NA,NA,167.652,167.652,167.655,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,psychone,emo_similarity_network_presurvey_sum2021,0,0,0,0 + 0 + 0,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/fall21/emo_similarity_network_presurvey_fall2021/2021-11-27/emo_similarity_network_presurvey_fall2021.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-09-22 04:59:31,2021-09-22 05:23:23,IP Address,128.12.123.190,100,1432,True,2021-09-22 05:23:24,R_3HALTLl86yDeuTF,37.423004150390625,-122.1638946533203125,anonymous,EN,1,5,6,6,6,6,3,5.011,22.984,23.928,6,5,5,5,6,6,3,2.89,25.196,26.126,7,5,6,2,5,6,1,2,6.078,24.767,26.743,7,5,6,1,6,3,2,5.013,27.007,27.958,7,5,5,2,4,4,6,4,4,3,3,4,3,2,4,5,5,4,4,5,4,4,3,4,6,5,5,4,3,3,4,3,3,5,4,5,5,5,5,4,5,4,2,5,2,3,3,2,4,4,4,2,4,5,4,5,4,4,Agree,35.383,908.152,909.128,63,6,7,5,3,4,10.051,48.19,49,8,7,1,1,1,1,1,1,1,1,2.869,25.114,26.816,11,4,2,3,3,2,2,1,4.213,35.376,39.863,10,2,2,2,1,1,2,2,1,11.544,57.063,58.38,10,4,5,1,4,2,5.487,20.028,20.92,5,5,1,1,4,1,3.68,20.481,21.738,8,4,2,4,2,1,1,5.985,42.267,43.366,7,2,1,1,1,1,14.463,32.172,33.268,6,6,2,6,1,5,3,6,5,5,6,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6799,psychone,emo_similarity_network_presurvey_sum2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/fall21/emo_similarity_network_presurvey_fall2021/2021-11-27/emo_similarity_network_presurvey_fall2021.csv,111,44,43,24,43,44,23,20,21,23,47,21,16,10,34,11,17,13,15,25,12,25,29,23
2021-09-23 17:07:01,2021-09-23 17:22:39,IP Address,128.12.122.94,100,938,True,2021-09-23 17:22:40,R_2zoKbeBnzbtu7r7,37.423004150390625,-122.1638946533203125,anonymous,EN,1,4,4,2,4,2,2,7.282,28.383,30.472,7,3,2,2,2,2,1,10.511,27.783,29.583,7,6,4,4,3,3,1,2,4.616,51.875,52.815,9,5,4,2,3,2,1,8.647,27.172,28.232,6,5,5,4,4,4,NA,4,4,5,5,5,NA,NA,NA,5,4,NA,NA,5,5,5,NA,4,5,NA,NA,5,5,5,5,5,NA,NA,NA,4,NA,NA,4,NA,NA,5,NA,5,4,3,2,4,5,4,4,4,5,4,4,6,5,2,Agree,14.134,411.629,411.637,47,6,6,6,4,7,3.331,13.268,16.96,5,4,2,2,1,1,1,1,1,1,2.821,42.909,44.962,13,1,1,1,1,1,1,1,1.092,13.817,14.65,7,1,1,1,1,1,1,1,1,2.791,15.646,17.063,8,2,2,1,2,1,13.024,30.15,31.758,5,2,2,3,2,1,2.285,19.282,20.038,5,3,3,2,1,1,3,11.213,82.24,83.028,8,4,2,1,1,2,3.016,13.917,15.038,5,6,3,6,2,6,2,6,5,3,6,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6775,psychone,emo_similarity_network_presurvey_fall2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/fall21/emo_similarity_network_presurvey_fall2021/2021-11-27/emo_similarity_network_presurvey_fall2021.csv,69,23,30,16,32,21,14,18,9,12,40,12,12,16,35,10,7,8,14,29,NA,30,NA,NA
2021-09-23 21:49:46,2021-09-23 22:22:52,IP Address,98.207.111.201,100,1986,True,2021-09-23 22:22:53,R_24ipn4MXmCQBw5R,37.5625,-122.000396728515625,anonymous,EN,1,2,2,5,2,2,5,4.105,165.607,166.476,6,1,1,1,1,1,5,2.596,20.922,21.415,8,1,1,5,1,1,1,1,2.271,21.03,22.679,9,1,1,1,1,1,4,5.771,19.76,20.728,6,6,3,4,4,4,3,4,4,5,3,4,5,4,3,4,5,4,4,4,4,5,4,5,1,2,2,6,4,5,4,4,4,4,3,5,4,4,4,3,4,5,2,5,4,4,5,5,4,4,4,4,5,5,4,5,3,4,Somewhat agree,12.558,1034.821,1035.553,66,4,3,4,2,3,4.422,19.162,20.906,8,6,2,3,5,5,5,5,3,3,2.945,106.264,107.413,11,2,2,2,2,1,1,2,4.419,38.113,39.024,8,1,2,2,2,1,2,1,1,3.893,28.269,29.607,10,2,3,1,2,1,5.245,23.322,24.801,6,1,1,2,1,1,2.931,23.522,24.407,5,1,1,1,1,1,4,2.473,23.078,24.307,7,1,4,2,1,4,3.514,17.973,18.389,7,6,5,5,5,6,5,6,6,5,6,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fijian and tongan,NA,97204,rep,emo_similarity_network_presurvey_fall2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/fall21/emo_similarity_network_presurvey_fall2021/2021-11-27/emo_similarity_network_presurvey_fall2021.csv,47,10,10,27,10,10,5,5,5,5,35,8,11,16,35,20,12,12,37,16,15,25,23,16
2021-09-23 22:27:28,2021-09-23 22:49:58,IP Address,98.37.131.238,100,1350,True,2021-09-23 22:49:59,R_1osYxaOpfEwqnrU,37.373992919921875,-121.8594970703125,anonymous,EN,1,3,2,2,2,7,2,13.263,41.576,48.837,8,2,2,2,2,2,5,37.409,49.272,50.851,6,2,2,3,2,2,1,2,41.052,71.476,72.693,7,3,2,3,3,3,3,7.382,30.722,33.062,6,5,4,6,5,1,6,5,5,5,4,6,4,1,4,5,4,1,3,5,2,4,1,3,5,4,1,4,4,4,5,3,4,4,4,4,4,2,4,4,1,4,4,5,5,2,2,4,3,4,1,5,3,4,4,5,4,1,Somewhat agree,18.161,527.872,528.335,70,5,5,6,5,5,37.833,66.215,68.075,6,6,5,5,5,3,6,5,3,4,5.577,34.226,35.668,14,2,2,3,2,2,2,1,9.047,39.878,41.395,7,2,2,3,3,2,1,2,1,3.593,41.19,42.569,10,2,2,1,2,4,4.385,32.414,33.739,6,2,2,2,2,2,12.613,37.967,38.846,6,2,2,1,2,1,4,4.271,39.484,50.025,7,4,2,2,3,4,5.333,79.902,82.245,5,2,2,2,2,6,2,2,2,2,2,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97516,rep,emo_similarity_network_presurvey_fall2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/fall21/emo_similarity_network_presurvey_fall2021/2021-11-27/emo_similarity_network_presurvey_fall2021.csv,63,22,19,22,18,23,8,10,14,9,47,12,10,25,16,8,14,16,42,26,16,29,23,21
2021-09-23 22:28:21,2021-09-24 00:16:44,IP Address,67.188.213.140,100,6503,True,2021-09-24 00:16:45,R_sXPHMpdI5pgsCYh,37.2821044921875,-121.83100128173828125,anonymous,EN,1,3,3,5,4,5,4,260.245,560.114,560.992,26,4,5,4,5,4,5,12.976,162.651,165.591,7,5,4,3,4,4,1,3,23.992,171.991,175.382,9,4,3,2,2,4,1,10.357,213.699,215.155,7,4,3,4,5,4,5,4,4,5,3,5,4,3,4,4,4,6,4,5,5,2,5,3,6,4,5,4,3,3,4,4,3,5,5,5,5,6,3,4,5,2,4,4,4,5,4,4,5,4,4,4,2,3,5,6,5,4,Agree,18.824,2669.408,2670.119,71,4,6,5,5,5,19.27,69.881,71.734,5,6,5,6,5,5,5,5,4,5,7.681,120.674,122.604,13,1,1,2,2,2,2,2,45.169,84.232,86.383,10,2,2,2,2,3,2,2,1,24.633,143.595,145.071,8,2,3,2,2,3,10.012,33.579,35.961,6,2,2,2,3,3,61.237,84.385,85.438,12,3,1,4,2,1,3,8.3,84.889,85.339,18,3,2,2,2,4,34.511,140.282,141.337,10,5,3,7,5,5,5,4,5,5,5,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97309,rep,emo_similarity_network_presurvey_fall2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/fall21/emo_similarity_network_presurvey_fall2021/2021-11-27/emo_similarity_network_presurvey_fall2021.csv,90,32,31,27,31,32,15,16,17,15,50,17,11,22,31,18,12,16,46,25,16,28,29,22
2021-09-24 00:50:21,2021-09-24 00:50:54,IP Address,98.37.151.239,100,33,True,2021-09-24 00:50:55,R_1P12u3fzI1hIiZd,37.4152069091796875,-122.12239837646484375,anonymous,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97588,rep,emo_similarity_network_presurvey_fall2021,0,0,0,NA,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/fall21/emo_similarity_network_presurvey_fall2021/2021-11-27/emo_similarity_network_presurvey_fall2021.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-09-24 00:54:12,2021-09-24 01:32:56,IP Address,45.28.143.0,100,2324,True,2021-09-24 01:32:57,R_pKJXdLQqzpcRcLD,37.3177032470703125,-121.9380035400390625,anonymous,EN,1,1,1,2,1,1,2,6.819,31.084,32.681,8,1,1,1,1,1,2,4.816,27.346,28.381,11,1,1,1,1,1,1,1,2.372,39.303,40.053,9,2,1,1,1,1,1,14.373,38.867,40.599,7,5,3,6,2,4,5,2,2,6,5,6,4,2,6,6,3,2,1,6,1,1,1,4,6,2,2,6,2,5,5,2,3,2,2,2,1,4,2,2,4,2,2,4,5,4,1,4,6,4,2,6,5,4,4,5,3,2,Strongly agree,22.54,1324.403,1325.51,83,1,6,2,1,1,9.816,23.901,26.226,6,7,5,4,6,5,2,5,4,5,5.667,68.442,69.494,14,3,2,2,3,2,2,2,133.946,169.305,170.58,8,2,3,3,2,2,3,2,1,9.952,149.741,151.098,10,1,1,1,1,2,8.867,28.777,29.763,6,1,1,2,3,1,6.213,32.13,32.941,6,2,1,2,1,1,1,7.099,41.173,42.031,8,3,5,2,1,1,18.937,62.275,63.633,7,6,4,6,1,6,2,4,7,3,5,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83383,rep,emo_similarity_network_presurvey_fall2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/fall21/emo_similarity_network_presurvey_fall2021/2021-11-27/emo_similarity_network_presurvey_fall2021.csv,28,8,9,11,9,8,4,5,4,4,33,10,10,13,34,10,16,18,43,11,19,35,15,14
2021-09-24 05:08:58,2021-09-24 05:46:02,IP Address,98.45.247.18,100,2224,True,2021-09-24 05:46:03,R_2y8WYKl7KEqpP4a,37.6537933349609375,-122.4257049560546875,anonymous,EN,1,6,6,6,5,5,6,25.143,47.696,48.505,8,7,7,5,6,5,6,1.002,36.401,37.943,10,6,6,6,6,6,1,6,3.435,31.754,33.406,8,6,6,3,6,4,6,6,29.037,30.587,8,4,5,3,4,4,5,4,3,4,2,4,2,5,1,2,2,5,5,3,5,3,5,2,1,4,5,3,3,4,4,4,4,6,5,3,6,6,2,4,6,5,4,2,1,4,6,2,3,4,5,2,3,2,2,1,5,5,Strongly disagree,199.799,1105.638,1106.555,67,2,2,2,2,3,7.776,66.212,67.635,6,7,5,5,5,2,3,3,3,3,20.237,126.384,128.909,10,2,2,2,3,3,2,2,15.979,36.757,37.772,10,3,3,4,3,4,3,3,2,4.018,146.127,147.837,23,4,5,4,5,3,4.909,86.224,87.201,9,5,4,3,4,4,4.304,22.308,23.288,7,2,4,4,4,1,5,10.721,71.415,91.626,7,2,4,2,4,2,4.578,75.625,78.194,7,5,7,5,3,5,5,4,4,7,5,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97387,rep,emo_similarity_network_presurvey_fall2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/fall21/emo_similarity_network_presurvey_fall2021/2021-11-27/emo_similarity_network_presurvey_fall2021.csv,137,45,48,44,50,43,25,25,20,23,74,29,20,25,28,22,16,25,36,11,10,20,32,19
2021-09-24 16:47:46,2021-09-24 17:11:38,IP Address,72.194.106.205,100,1431,True,2021-09-24 17:11:39,R_2B5U4mKkYzxAl2d,33.567901611328125,-117.7046051025390625,anonymous,EN,1,1,1,1,1,1,2,5.219,24.282,26.123,6,1,1,1,1,1,2,5.984,21.056,23.537,6,1,1,3,1,1,1,1,3.975,35.084,36.121,7,1,1,1,1,1,1,6.786,23.14,24.193,6,5,3,4,3,4,4,5,5,5,5,5,4,3,4,6,4,2,3,5,3,5,2,4,3,3,2,5,4,5,5,4,4,4,2,5,3,2,5,2,3,3,3,5,4,4,3,5,6,4,2,5,5,5,5,5,2,3,Somewhat agree,24.228,788.824,789.812,60,5,5,5,5,2,4.769,20.645,23.063,5,5,2,2,5,4,4,5,4,4,6.55,49.166,52.477,9,1,2,1,2,1,1,1,8.828,42.707,43.891,7,1,1,2,2,2,1,2,1,3.719,40.941,42.297,8,1,1,2,1,4,4.008,38.623,39.79,6,1,1,2,1,1,4.231,25.119,26.422,5,1,2,1,1,1,3,6.243,79.689,85.522,7,2,2,2,1,2,4.659,37.799,39.701,5,6,3,6,2,6,3,6,6,3,6,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97444,rep,emo_similarity_network_presurvey_fall2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/fall21/emo_similarity_network_presurvey_fall2021/2021-11-27/emo_similarity_network_presurvey_fall2021.csv,28,8,8,12,8,8,4,4,4,4,32,8,7,17,36,11,9,12,35,22,14,32,20,15
