"","negative_206.jpg","negative_2122.jpg","negative_214.jpg","negative_215.jpg","negative_217.jpg","negative_251.jpg","negative_3180.jpg","negative_3280.jpg","negative_6211.jpg","negative_6212.jpg","negative_6311.jpg","negative_6510.jpg","negative_6555.jpg","negative_8231.jpg","negative_9041.jpg","negative_AF3.jpg","negative_b7.jpg","negative_DP3.jpg","negative_FP3.jpg","negative_h11.bmp","negative_I1.jpg","negative_L02.bmp","negative_L04.bmp","negative_SF4.jpg","negative_T1.jpg"
"negative_206.jpg",0,0,0.25,0,0,0,1,0.5,0,0,0.666666666666667,0,0,0,1,0,0,1,1,0,0,0.5,1,0,1
"negative_2122.jpg",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0.333333333333333,1,0,0,0,0
"negative_214.jpg",0.25,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.333333333333333,1,1,0.666666666666667,1,0,0,1,1,0
"negative_215.jpg",0,0,1,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0
"negative_217.jpg",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.666666666666667,0,0,0.333333333333333,0,1,0,1,0.5,0,0
"negative_251.jpg",0,0,1,0,1,0,1,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"negative_3180.jpg",1,0,0,0,1,1,0,0.666666666666667,0,0,1,0,1,1,0,0,0,0,0,0.5,0,0,0.5,0,0.5
"negative_3280.jpg",0.5,0,0,0,0,0,0.666666666666667,0,0,1,0,0.5,0.333333333333333,0,0,0,1,0.333333333333333,0,0,0,0,1,0.333333333333333,0
"negative_6211.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.5,0
"negative_6212.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0
"negative_6311.jpg",0.666666666666667,0,0,0,0,0.333333333333333,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"negative_6510.jpg",0,0.5,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,1,0,0,0.5,0,0,0,0
"negative_6555.jpg",0,0,0,0,0,0,1,0.333333333333333,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.5
"negative_8231.jpg",0,0,0,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5,0,0.333333333333333,1,0,1,0.333333333333333,0
"negative_9041.jpg",1,0,1,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"negative_AF3.jpg",0,0,0.333333333333333,0,0,0,0,0,1,0.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0.5,0
"negative_b7.jpg",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5,0
"negative_DP3.jpg",1,0,1,0,0.333333333333333,0,0,0.333333333333333,0,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,1
"negative_FP3.jpg",1,0,0.666666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.5,0
"negative_h11.bmp",0,0.333333333333333,1,0,1,1,0.5,0,0,0,0,0,0,0.333333333333333,0,0,0,0,1,0,0,0.75,0,0.5,0
"negative_I1.jpg",0,1,0,0,0,0,0,0,1,0,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0
"negative_L02.bmp",0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0.5,0,1
"negative_L04.bmp",1,0,1,0,0.5,0,0.5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0
"negative_SF4.jpg",0,0,1,0,0,0,0,0.333333333333333,0.5,0,0,0,1,0.333333333333333,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0.5
"negative_T1.jpg",1,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,1,0,0.5,0
