"","neutral_099.jpg","neutral_103.jpg","neutral_117.jpg","neutral_124.jpg","neutral_156.jpg","neutral_186.jpg","neutral_194.jpg","neutral_2019.jpg","neutral_2200.jpg","neutral_2215.jpg","neutral_2305.jpg","neutral_2393.jpg","neutral_2394.jpg","neutral_2850.jpg","neutral_N04.bmp","neutral_N05.bmp","neutral_N13.bmp","neutral_N22.bmp","neutral_N31.bmp","neutral_N33.bmp","neutral_N34.bmp","neutral_NF4.jpg","neutral_r.jpg","neutral_S5.jpg","neutral_SP3.jpg"
"neutral_099.jpg",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0
"neutral_103.jpg",0,0,0,0,0,0,0,1,1,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0
"neutral_117.jpg",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"neutral_124.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.5,0.666666666666667,0.666666666666667,0,0,0,1
"neutral_156.jpg",0,0,0,0,0,0,1,0,0,0,0.5,0,0,1,0.5,1,0,0.333333333333333,0,0.5,0,0,0,1,0
"neutral_186.jpg",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,1,0,0,0,1,1,0,0,1,0
"neutral_194.jpg",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0.75,1,1,0,0,0,0
"neutral_2019.jpg",1,1,1,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"neutral_2200.jpg",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"neutral_2215.jpg",1,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_2305.jpg",0,1,0,0,0.5,0,0,0,0,0,0,0,1,0.333333333333333,0,0,0,0,0,0,0,0,0.666666666666667,0,0
"neutral_2393.jpg",0,1,0,0,0,0.5,1,0,0,1,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0
"neutral_2394.jpg",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1
"neutral_2850.jpg",0,0.5,0,0,1,0.5,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
"neutral_N04.bmp",0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0.5,0
"neutral_N05.bmp",0,0,0,1,1,1,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,1,0,0,0,0,0
"neutral_N13.bmp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0,1,1,0,0,1,0
"neutral_N22.bmp",0,0,0,1,0.333333333333333,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
"neutral_N31.bmp",0,0,0,0.5,0,0,0.75,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0.5,1
"neutral_N33.bmp",0.5,0,0,0.666666666666667,0.5,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0.666666666666667
"neutral_N34.bmp",0,0,0,0.666666666666667,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
"neutral_NF4.jpg",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_r.jpg",0,0.5,0,0,0,0,0,1,1,0,0.666666666666667,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5
"neutral_S5.jpg",0.5,0,0,0,1,1,0,0,0,0,0,0,1,0,0.5,0,1,0,0.5,1,0,0,0,0,1
"neutral_SP3.jpg",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.666666666666667,0,0,0.5,1,0
