"","positive_015.jpg","positive_032.jpg","positive_041.jpg","positive_042.jpg","positive_2034.jpg","positive_2217.jpg","positive_2300.jpg","positive_2304.jpg","positive_2306.jpg","positive_2395.jpg","positive_2501.jpg","positive_2550.jpg","positive_4574.jpg","positive_4598.jpg","positive_7502.jpg","positive_7660.jpg","positive_8120.jpg","positive_8300.jpg","positive_d6.jpg","positive_g6.jpg","positive_m9.jpg","positive_r4.jpg","positive_s5.jpg","positive_t1.jpg","positive_y5.jpg"
"positive_015.jpg",0,1,1,0,0,1,0,0,0,0.5,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"positive_032.jpg",1,0,0,0.666666666666667,0,0.5,0,0,0.5,0,0,0,1,0.5,1,0,0,0,0,0,1,0,0,0,1
"positive_041.jpg",1,0,0,0.5,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"positive_042.jpg",0,0.666666666666667,0.5,0,0,0,0.333333333333333,0.5,0,0,0,1,0.5,0,1,0,1,0,0,0,1,0,0,0,1
"positive_2034.jpg",0,0,1,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"positive_2217.jpg",1,0.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.5
"positive_2300.jpg",0,0,0,0.333333333333333,0,0,0,0,0,0.5,0,0,0.333333333333333,0,0,0.666666666666667,1,0,0,0.5,0,0,1,0,0
"positive_2304.jpg",0,0,0,0.5,0,0,0,0,0,0,1,0.666666666666667,1,0,0,0,0,0,1,0,1,0,1,0,0
"positive_2306.jpg",0,0.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0.5,0,0,0,1
"positive_2395.jpg",0.5,0,0,0,0.333333333333333,0,0.5,0,1,0,0.8,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0.5
"positive_2501.jpg",1,0,0,0,0,1,0,1,0,0.8,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1
"positive_2550.jpg",1,0,1,1,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"positive_4574.jpg",0,1,0,0.5,0,1,0.333333333333333,1,1,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0.5
"positive_4598.jpg",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0
"positive_7502.jpg",1,1,1,1,0,0,0,0,0,0.333333333333333,0,0,0.5,0.333333333333333,0,0,1,0.666666666666667,0,0,0,0,0,0,0
"positive_7660.jpg",0,0,1,0,1,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,1,0
"positive_8120.jpg",0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0.5,0,0,0,0,0,0,0.5,0,0.5
"positive_8300.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,1,0,0,0,0,0,1,0,0,0
"positive_d6.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_g6.jpg",1,0,0,0,0,0,0.5,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_m9.jpg",0,1,0,1,0,1,0,1,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_r4.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"positive_s5.jpg",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1
"positive_t1.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"positive_y5.jpg",0,1,0,1,0,0.5,0,0,1,0.5,1,0,0.5,0,0,0,0.5,0,0,0,0,0,1,0,0
