"","neutral_082.jpg","neutral_099.jpg","neutral_103.jpg","neutral_104.jpg","neutral_117.jpg","neutral_121.jpg","neutral_124.jpg","neutral_194.jpg","neutral_199.jpg","neutral_2200.jpg","neutral_2305.jpg","neutral_2394.jpg","neutral_2442.jpg","neutral_2745.1.jpg","neutral_D.jpg","neutral_N01.bmp","neutral_N05.bmp","neutral_N17.bmp","neutral_N19.bmp","neutral_N33.bmp","neutral_N34.bmp","neutral_r.jpg","neutral_S5.jpg","neutral_NF4.jpg","neutral_SP3.jpg"
"neutral_082.jpg",0,0,0,0,1,1,1,0,0,0,0,0.666666666666667,0,1,1,0,0.5,0.5,0,0,0,0,1,0,0
"neutral_099.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_103.jpg",0,0,0,0,0,1,0.25,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"neutral_104.jpg",0,0,0,0,0.5,0,1,0.5,1,0,0,1,0,0,1,0,0.666666666666667,1,1,0,0,0,0.666666666666667,0,0
"neutral_117.jpg",1,0,0,0.5,0,0,0,0.666666666666667,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1
"neutral_121.jpg",1,0,1,0,0,0,0,0,0,0,0,1,0,0.5,1,0,0,0,0.5,0,1,0,0,0,1
"neutral_124.jpg",1,0,0.25,1,0,0,0,0,0.5,0,0,1,0,0,1,0,0.5,0.333333333333333,0,0.5,0.5,0,0,0,0.75
"neutral_194.jpg",0,0,0,0.5,0.666666666666667,0,0,0,0,0,0,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0
"neutral_199.jpg",0,0,0,1,1,0,0.5,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,0,0,0,0
"neutral_2200.jpg",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0
"neutral_2305.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5
"neutral_2394.jpg",0.666666666666667,0,1,1,0,1,1,0.5,0,0.5,0,0,0,0,0,0,0,1,0,0,0.5,0,1,0,0.5
"neutral_2442.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_2745.1.jpg",1,0,0,0,1,0.5,0,0,1,0,1,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0
"neutral_D.jpg",1,0,1,1,0,1,1,0,1,0.5,0,0,0,0.5,0,0,0,0,1,0,0,0.333333333333333,0,0,0
"neutral_N01.bmp",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
"neutral_N05.bmp",0.5,0,0,0.666666666666667,1,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0
"neutral_N17.bmp",0.5,0,0,1,1,0,0.333333333333333,0,0.5,0,0,1,0,0,0,1,0,0,0,0.5,1,0,1,0,0
"neutral_N19.bmp",0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
"neutral_N33.bmp",0,0,1,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,1,0,0
"neutral_N34.bmp",0,0,0,0,1,1,0.5,0,1,0,0,0.5,0,0.5,0,0,0.666666666666667,1,0,0,0,0,0,0,0
"neutral_r.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0
"neutral_S5.jpg",1,0,0,0.666666666666667,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1
"neutral_NF4.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_SP3.jpg",0,0,0,0,1,1,0.75,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0
