"","positive_012.jpg","positive_041.jpg","positive_056.jpg","positive_073.jpg","positive_1601.jpg","positive_2002.jpg","positive_2025.jpg","positive_2217.jpg","positive_2304.jpg","positive_2501.jpg","positive_4574.jpg","positive_4689.jpg","positive_5628.jpg","positive_5830.jpg","positive_7325.jpg","positive_7502.jpg","positive_8470.jpg","positive_b.jpg","positive_c1.jpg","positive_EF1.jpg","positive_p1.jpg","positive_s2.jpg","positive_S22.jpg","positive_t1.jpg","positive_y5.jpg"
"positive_012.jpg",0,0,1,0,1,0,0,0,1,0.75,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
"positive_041.jpg",0,0,0.5,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0.666666666666667,0,0,0,0
"positive_056.jpg",1,0.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0.333333333333333,0,0,1,0.5,0
"positive_073.jpg",0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0.5
"positive_1601.jpg",1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2002.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"positive_2025.jpg",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
"positive_2217.jpg",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,1,0,0.333333333333333,0,0
"positive_2304.jpg",1,1,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"positive_2501.jpg",0.75,1,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0
"positive_4574.jpg",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,1
"positive_4689.jpg",0,1,1,0,1,0,1,0,0,0,0,0,0.666666666666667,0,0,0,0,0.75,0,0,0,0,0,0,0
"positive_5628.jpg",0,0,1,1,0,0,0,0,0,0,0,0.666666666666667,0,0,0,1,1,0.666666666666667,0.5,0,0,0,0,0,0
"positive_5830.jpg",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"positive_7325.jpg",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,1,0,0,0.5
"positive_7502.jpg",0,0,1,0,0,0,0,0,0,0.5,0,0,1,0,0,0,1,0,0,0,1,0,0.5,0.666666666666667,0
"positive_8470.jpg",0,0,1,1,0,0,0,0.5,0,0,0,0,1,0,0.5,1,0,0,0,1,0,1,0,0,0
"positive_b.jpg",0,0,0,0,0,0,1,0,0,0,0.5,0.75,0.666666666666667,1,0,0,0,0,0,0,0,0,0,0,0
"positive_c1.jpg",0,0,0,1,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0
"positive_EF1.jpg",1,1,0.333333333333333,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333333333
"positive_p1.jpg",0,0.666666666666667,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"positive_s2.jpg",1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"positive_S22.jpg",1,0,1,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0.5,0
"positive_t1.jpg",0,0,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0.5,0,0
"positive_y5.jpg",0,0,0,0.5,0,0,1,0,0,0,1,0,0,1,0.5,0,0,0,0,0.333333333333333,0,0,0,0,0
