"","negative_113.jpg","negative_2122.jpg","negative_216.jpg","negative_217.jpg","negative_224.jpg","negative_228.jpg","negative_2410.bmp","negative_2750.jpg","negative_2810.jpg","negative_3280.jpg","negative_6311.jpg","negative_6555.jpg","negative_8231.jpg","negative_9440.jpg","negative_AF3.jpg","negative_b7.jpg","negative_DF1.jpg","negative_DP3.jpg","negative_FP3.jpg","negative_h11.bmp","negative_I1.jpg","negative_L02.bmp","negative_MF2.jpg","negative_SF4.jpg","negative_T1.jpg"
"negative_113.jpg",0,0,0,0.5,1,0.333333333333333,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.666666666666667,0,1,0.75
"negative_2122.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"negative_216.jpg",0,0,0,1,0,0.5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"negative_217.jpg",0.5,0,1,0,0.5,0,1,0,0,0,0,0,1,0,0,0,0.5,1,0,0.333333333333333,0,0,0,0,0.5
"negative_224.jpg",1,0,0,0.5,0,0.333333333333333,0.5,1,1,0,0,0,0,0.5,0,0,1,0,0,1,0,0,0,0,1
"negative_228.jpg",0.333333333333333,0,0.5,0,0.333333333333333,0,1,0,0,0,0,0,1,0,0,1,0.333333333333333,0,0,1,0,0,0,0,0
"negative_2410.bmp",1,0,1,1,0.5,1,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0.5,0,0
"negative_2750.jpg",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.5
"negative_2810.jpg",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.666666666666667,0,0,1,0.5,0,0,0,0.666666666666667
"negative_3280.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"negative_6311.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_6555.jpg",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.666666666666667,0,0,1,0,0,0,0.5,0,0
"negative_8231.jpg",0,0,0,1,0,1,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
"negative_9440.jpg",0,0,1,0,0.5,0,0,0,0,0.666666666666667,0,0,0.25,0,0,1,0,0.5,0,1,0,0.5,0,0,0
"negative_AF3.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_b7.jpg",0,0,0,0,0,1,0.5,0,0,0,0,0.666666666666667,0,1,0,0,0,0.8,0,1,0,0,0,0.5,0
"negative_DF1.jpg",1,1,0,0.5,1,0.333333333333333,1,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.333333333333333,1
"negative_DP3.jpg",1,0,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0.8,0,0,0,0,0,0,0,0,1
"negative_FP3.jpg",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,1,0
"negative_h11.bmp",0,0,0,0.333333333333333,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"negative_I1.jpg",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,1,0
"negative_L02.bmp",0.666666666666667,0,0,0,0,0,0,1,0,1,0,0,0,0.5,0,0,0.5,0,0,0,0.333333333333333,0,0.333333333333333,0,0
"negative_MF2.jpg",0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,1,0,0.5,1,0.333333333333333,0.333333333333333,0,0,1
"negative_SF4.jpg",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.333333333333333,0,1,0,1,0,0,0,0
"negative_T1.jpg",0.75,0,1,0.5,1,0,0,0.5,0.666666666666667,0.666666666666667,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
