"","positive_015.jpg","positive_041.jpg","positive_078.jpg","positive_1601.jpg","positive_2002.jpg","positive_2025.jpg","positive_2217.jpg","positive_2300.jpg","positive_2395.jpg","positive_2550.jpg","positive_4689.jpg","positive_5831.jpg","positive_7325.jpg","positive_7502.jpg","positive_8470.jpg","positive_c1.jpg","positive_d6.jpg","positive_EF1.jpg","positive_g6.jpg","positive_hp2.jpg","positive_m9.jpg","positive_r4.jpg","positive_s1.jpg","positive_y5.jpg","positive_S22.jpg"
"positive_015.jpg",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.5,0.5,0,0.333333333333333,1,1,0,0,0.5,0
"positive_041.jpg",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
"positive_078.jpg",0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,1,0,0,0,0,0,0,0.666666666666667,0,0,0
"positive_1601.jpg",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"positive_2002.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2025.jpg",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,1,0,0,0,0,0,0
"positive_2217.jpg",0,0,0,0,0,0,0,0,0,0,0.5,0,0.333333333333333,0,0,0,0,0,0,1,1,0,0,0,0.5
"positive_2300.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0
"positive_2395.jpg",0,0,0,0,0,0,0,0,0,0.5,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0
"positive_2550.jpg",0,0,0,1,0,0,0,0,0.5,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
"positive_4689.jpg",0,0.5,0.5,1,0,0,0.5,0,1,0,0,1,0,1,0,0.5,0,0,1,0,0,0,0,1,0
"positive_5831.jpg",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0.333333333333333,0,0.75,0,0,0.5,0
"positive_7325.jpg",0,0,1,0,0,1,0.333333333333333,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0.5,0,0,0
"positive_7502.jpg",0,0,0,0,0,1,0,0.25,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5
"positive_8470.jpg",0,0,1,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0.333333333333333,0.5,0,1,0,1,0.5
"positive_c1.jpg",0.5,0,0,1,0,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,1
"positive_d6.jpg",0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"positive_EF1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.666666666666667,0,0.5,1,0,0,0.5
"positive_g6.jpg",0.333333333333333,0,0,0,0,1,0,0,0,0,1,0.333333333333333,0,0,0.333333333333333,0,0,0.666666666666667,0,1,0.666666666666667,0,0,0.75,0
"positive_hp2.jpg",1,0,0,1,0,0,1,0,0,1,0,0,0,0,0.5,0,0,0,1,0,0.5,0.5,0,1,0
"positive_m9.jpg",1,0,0,1,0,0,1,0,1,0,0,0.75,1,0,0,0.5,0,0.5,0.666666666666667,0.5,0,1,0,0,0.333333333333333
"positive_r4.jpg",0,0.5,0.666666666666667,0,0,0,0,0,1,0,0,0,0.5,0,1,0,0,1,0,0.5,1,0,0,0.5,0.25
"positive_s1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"positive_y5.jpg",0.5,0,0,0,0,0,0,0,1,1,1,0.5,0,0,1,0,0,0,0.75,1,0,0.5,0,0,0
"positive_S22.jpg",0,0,0,0,0,0,0.5,0,0,1,0,0,0,0.5,0.5,1,0,0.5,0,0,0.333333333333333,0.25,0,0,0
