"","negative_113.jpg","negative_206.jpg","negative_2130.jpg","negative_215.jpg","negative_217.jpg","negative_224.jpg","negative_228.jpg","negative_2750.jpg","negative_6211.jpg","negative_6311.jpg","negative_6510.jpg","negative_6555.jpg","negative_6821.jpg","negative_9041.jpg","negative_9421.jpg","negative_9600.jpg","negative_AF3.jpg","negative_b7.jpg","negative_c5.jpg","negative_DF1.jpg","negative_DP3.jpg","negative_I1.jpg","negative_L08.bmp","negative_L24.bmp","negative_MF2.jpg"
"negative_113.jpg",0,1,0,0,0,0.5,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"negative_206.jpg",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0
"negative_2130.jpg",0,0,0,0,0,0,0,0,1,0.333333333333333,1,1,1,0,0,1,1,0.666666666666667,0,0,0.5,1,0,0,0
"negative_215.jpg",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.666666666666667,0,0.5,0,0,0.5,0,0,0,0.333333333333333,0.5,0.333333333333333
"negative_217.jpg",0,0,0,0.5,0,1,1,0,0,0.5,0,0,0.5,0,0,0,0,0,1,0,0.5,0,0,1,0
"negative_224.jpg",0.5,1,0,0,1,0,1,1,0,0.333333333333333,0,0,0,0.5,0,1,0,1,1,0,0.5,0,0.5,1,1
"negative_228.jpg",0.333333333333333,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.5,0,0,1,0
"negative_2750.jpg",0,0,0,0,0,1,0,0,0,0.666666666666667,0,0,1,0,0,0,0,0,0.333333333333333,0,0.5,0,0,0,0
"negative_6211.jpg",0,0,1,0,0,0,0,0,0,0.2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"negative_6311.jpg",0,0,0.333333333333333,0,0.5,0.333333333333333,0,0.666666666666667,0.2,0,0,1,0,0,0,0,0,0,0,0.666666666666667,1,0.5,0,0.5,0
"negative_6510.jpg",0,0,1,0,0,0,0,0,1,0,0,0,1,0.5,0,0,1,0,0,0,0,1,0,0,0
"negative_6555.jpg",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"negative_6821.jpg",0,0,1,0,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
"negative_9041.jpg",0,0,0,0.666666666666667,0,0.5,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"negative_9421.jpg",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.5,0
"negative_9600.jpg",0,0,1,0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"negative_AF3.jpg",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"negative_b7.jpg",0,0.5,0.666666666666667,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,1
"negative_c5.jpg",0,0,0,0.5,1,1,1,0.333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"negative_DF1.jpg",0,1,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,1,0,0.5,1,0
"negative_DP3.jpg",0,0,0.5,0,0.5,0.5,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"negative_I1.jpg",0,0,1,0,0,0,0,0,0,0.5,1,1,0.5,0,1,0,1,0,0,0,0,0,0,0,0
"negative_L08.bmp",1,0,0,0.333333333333333,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0
"negative_L24.bmp",1,0,0,0.5,1,1,1,0,0,0.5,0,0,0,1,0.5,0,0,0.5,0,1,0,0,0.5,0,0
"negative_MF2.jpg",0,0,0,0.333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
