"","negative_113.jpg","negative_206.jpg","negative_207.jpg","negative_214.jpg","negative_217.jpg","negative_224.jpg","negative_228.jpg","negative_2458.jpg","negative_2810.jpg","negative_3280.jpg","negative_6211.jpg","negative_6555.jpg","negative_8231.jpg","negative_9041.jpg","negative_9190.jpg","negative_9440.jpg","negative_9600.jpg","negative_AF3.jpg","negative_b7.jpg","negative_c5.jpg","negative_DF1.jpg","negative_DP3.jpg","negative_FP3.jpg","negative_h11.bmp","negative_L04.bmp"
"negative_113.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0.333333333333333,0.333333333333333,0,0,1,0,1
"negative_206.jpg",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,1,0,1
"negative_207.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"negative_214.jpg",0,1,0,0,0,1,0,0,0,0.666666666666667,0,0,1,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0
"negative_217.jpg",0,0,0,0,0,0,0,0,0.333333333333333,0,1,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0
"negative_224.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0.5,1,1,0.5,1,0
"negative_228.jpg",0,0,0,0,0,0,0,0,0.666666666666667,1,0,0,1,0,0,0,0.5,0,0,0,0,0,0,1,0
"negative_2458.jpg",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.333333333333333,0
"negative_2810.jpg",0,0,0,0,0.333333333333333,0,0.666666666666667,0,0,0,0.5,0,0.5,0,1,0,0,1,1,0,0,0,0,0,0
"negative_3280.jpg",0,0,0,0.666666666666667,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_6211.jpg",0,0,0,0,1,0,0,0,0.5,0.5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"negative_6555.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"negative_8231.jpg",0,0,0,1,0,0,1,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"negative_9041.jpg",0,0,1,0,0,0.333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.75,1,0.333333333333333,0,1,1
"negative_9190.jpg",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"negative_9440.jpg",0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,1,0.666666666666667,0,0.5,0,0.5
"negative_9600.jpg",0,0,0,0,0,0,0.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"negative_AF3.jpg",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0
"negative_b7.jpg",0.333333333333333,0,0,0,0,0.333333333333333,0,1,1,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0.5,1,0
"negative_c5.jpg",0.333333333333333,0,1,0,0,0.5,0,0,0,0,0,0,0,0.75,0,1,0,0,1,0,1,0.75,0,1,0
"negative_DF1.jpg",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.666666666666667,0,0,0,1,0,0,1,0,1
"negative_DP3.jpg",0,0.666666666666667,0,0,0,1,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0.75,0,0,1,0.5,0
"negative_FP3.jpg",1,1,0,0.666666666666667,1,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,1,1,0,1,0
"negative_h11.bmp",0,0,0,0,0,1,1,0.333333333333333,0,0,0,0.5,0,1,0,0,0,0,1,1,0,0.5,1,0,0
"negative_L04.bmp",1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0.5,1,0,0,0,1,0,0,0,0
