"","negative_113.jpg","negative_206.jpg","negative_214.jpg","negative_216.jpg","negative_228.jpg","negative_2810.jpg","negative_6212.jpg","negative_6510.jpg","negative_6555.jpg","negative_65701_1.jpg","negative_6821.jpg","negative_8231.jpg","negative_9421.jpg","negative_9440.jpg","negative_9530.bmp","negative_9600.jpg","negative_AF3.jpg","negative_b7.jpg","negative_c5.jpg","negative_DF1.jpg","negative_DP3.jpg","negative_FP3.jpg","negative_h11.bmp","negative_I1.jpg","negative_T1.jpg"
"negative_113.jpg",0,1,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,1,0.5,0.5,0,0.5,0
"negative_206.jpg",1,0,1,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0.5,1,1,0,0,1,0,0
"negative_214.jpg",0.5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0
"negative_216.jpg",0,0,0,0,0,0,0,0,0,0.666666666666667,0,1,0,0,0,1,0.5,0,0,0,0,1,0,0,0
"negative_228.jpg",0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.5,1,0,0
"negative_2810.jpg",0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"negative_6212.jpg",0,0,0,0,0.5,0,0,0.333333333333333,1,0.833333333333333,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"negative_6510.jpg",0,0,0,0,0,0,0.333333333333333,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"negative_6555.jpg",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_65701_1.jpg",0,0.5,0,0.666666666666667,0,0.5,0.833333333333333,1,0,0,0.5,0.5,0,0,0.5,0,0.25,0,0,0,0,1,0,0,0.5
"negative_6821.jpg",0,0,0,0,0,1,1,0,0,0.5,0,0,0,0,0,0.5,1,0,0,0,0,0,0,1,0
"negative_8231.jpg",0,0,0,1,0,0,0,0,0,0.5,0,0,1,0,0,1,0,0,0.5,0,0,0.5,1,0,0
"negative_9421.jpg",0.5,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
"negative_9440.jpg",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0
"negative_9530.bmp",0.5,1,0,0,1,0,0,0,0,0.5,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,1
"negative_9600.jpg",0,0,1,1,1,1,0.5,1,0,0,0.5,1,0,0,0.5,0,0,0,0,0,0,0,0,0.333333333333333,0
"negative_AF3.jpg",0,0,0,0.5,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5
"negative_b7.jpg",0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
"negative_c5.jpg",0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0
"negative_DF1.jpg",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.333333333333333,0,1
"negative_DP3.jpg",0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0
"negative_FP3.jpg",0.5,0,1,1,0.5,0,0,0,0,1,0,0.5,1,1,0,0,0,1,0,1,0,0,0,0,0
"negative_h11.bmp",0,1,1,0,1,0,0,0,0,0,0,1,1,0.5,0,0,0,1,0,0.333333333333333,1,0,0,0,0
"negative_I1.jpg",0.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.333333333333333,1,1,0,0,0.5,0,0,0,0
"negative_T1.jpg",0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,1,0,0.5,0,0,1,0,0,0,0,0
