"","neutral_099.jpg","neutral_104.jpg","neutral_106.jpg","neutral_116.jpg","neutral_121.jpg","neutral_156.jpg","neutral_157.jpg","neutral_191.jpg","neutral_199.jpg","neutral_2200.jpg","neutral_2393.jpg","neutral_2442.jpg","neutral_2745.1.jpg","neutral_BP5.jpg","neutral_N01.bmp","neutral_N04.bmp","neutral_N07.bmp","neutral_N12.bmp","neutral_N19.bmp","neutral_N33.bmp","neutral_n5.jpg","neutral_NF1.jpg","neutral_r.jpg","neutral_S5.jpg","neutral_SP3.jpg"
"neutral_099.jpg",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.5,1,1,0,0,0,0,1,0
"neutral_104.jpg",0,0,0.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"neutral_106.jpg",0,0.5,0,1,0,0,0,0,0,0,0.5,0,0,1,0,1,0,0,0,0,1,0,0,1,1
"neutral_116.jpg",0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0.5,0,0.666666666666667,0.333333333333333,0,0
"neutral_121.jpg",0,1,0,1,0,0,1,1,0,0.333333333333333,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.5
"neutral_156.jpg",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,0,0,1,0,1,0,0.5,1,0,0,0,0,0
"neutral_157.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"neutral_191.jpg",0,0,0,1,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_199.jpg",1,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0.666666666666667,0,1,0,1,1,0,0.5,0,0,0
"neutral_2200.jpg",0,1,0,0,0.333333333333333,1,0,0,0,0,0,1,0,0,0.5,0.5,0,0.5,0,0.333333333333333,1,0.333333333333333,0.333333333333333,0,0.333333333333333
"neutral_2393.jpg",0,0,0.5,1,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,1,0,0,0,0,0,0
"neutral_2442.jpg",0,0,0,0,0,0.333333333333333,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.5,0,0
"neutral_2745.1.jpg",1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0.5,0,1,1,0,0.333333333333333,0,0.5,0
"neutral_BP5.jpg",0,0,1,0,0,0,0,0,0,0,0.5,1,1,0,0,0.5,0,0,0,0,1,0,0,1,1
"neutral_N01.bmp",0,0,0,0,1,1,0,0,0.666666666666667,0.5,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0
"neutral_N04.bmp",0,0,1,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,1,1,0,0,0.333333333333333,1,0
"neutral_N07.bmp",0.5,0,0,0,0,1,0,0,1,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0
"neutral_N12.bmp",1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0
"neutral_N19.bmp",1,0,0,0,0,0.5,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0
"neutral_N33.bmp",0,0,0,0.5,1,1,0,0,1,0.333333333333333,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0.333333333333333
"neutral_n5.jpg",0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.5,0,0
"neutral_NF1.jpg",0,0,0,0.666666666666667,0,0,0,0,0.5,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,1,0.333333333333333,0
"neutral_r.jpg",0,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0.5,0,0,0,0.333333333333333,0,1,0,0,0.5,1,0,0.333333333333333,0
"neutral_S5.jpg",1,1,1,0,0,0,0,0,0,0,0,0,0.5,1,0,1,0,0,0,0,0,0.333333333333333,0.333333333333333,0,1
"neutral_SP3.jpg",0,0,1,0,0.5,0,1,0,0,0.333333333333333,0,0,0,1,0,0,0,0,0,0.333333333333333,0,0,0,1,0
