"","negative_206.jpg","negative_207.jpg","negative_2130.jpg","negative_215.jpg","negative_2750.jpg","negative_2753.jpg","negative_3180.jpg","negative_3280.jpg","negative_6211.jpg","negative_6311.jpg","negative_6555.jpg","negative_65701_1.jpg","negative_8231.jpg","negative_9041.jpg","negative_9190.jpg","negative_9421.jpg","negative_AF3.jpg","negative_c5.jpg","negative_DF1.jpg","negative_DP3.jpg","negative_FP3.jpg","negative_h11.bmp","negative_I1.jpg","negative_T1.jpg","negative_L02.bmp"
"negative_206.jpg",0,0,1,0,0,0.5,1,0.5,0.5,0.666666666666667,0,0.333333333333333,0,0,0,0,0,0.333333333333333,1,0,0.5,0,0,0,0
"negative_207.jpg",0,0,0,0,0,0,1,0.5,0,0,0,0.5,0,0,0,1,0,0,1,1,0,0,0,0,0
"negative_2130.jpg",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0.75,0,0,0,0,0,0,0,1,0,0
"negative_215.jpg",0,0,0,0,0,0,1,0,0.666666666666667,0,0.5,0,1,0,0,1,0,0.666666666666667,1,0,0.25,0.5,0,1,0
"negative_2750.jpg",0,0,0,0,0,1,0,0,0.5,0,0,0.6,0,1,0,1,0,0,0,0,1,0,0,0,1
"negative_2753.jpg",0.5,0,0,0,1,0,0,0,0,1,0,0.666666666666667,0,0,0,0,0,0,0.5,0,1,0,0,0,0
"negative_3180.jpg",1,1,0,1,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,1,0,0,0,1,0,0,0
"negative_3280.jpg",0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0
"negative_6211.jpg",0.5,0,0,0.666666666666667,0.5,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,1,0
"negative_6311.jpg",0.666666666666667,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0
"negative_6555.jpg",0,0,1,0.5,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"negative_65701_1.jpg",0.333333333333333,0.5,1,0,0.6,0.666666666666667,0,0,0,0,1,0,0,0.333333333333333,0,0,0,1,0.333333333333333,0,1,0,0,0,0
"negative_8231.jpg",0,0,0,1,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,1,0,0
"negative_9041.jpg",0,0,0,0,1,0,0,1,0,1,0,0.333333333333333,0.5,0,0,0,0,0,1,0,0,0,0,0,0.5
"negative_9190.jpg",0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"negative_9421.jpg",0,1,0,1,1,0,0,0,0.333333333333333,0,0,0,0.5,0,0,0,0,1,0.5,1,0,1,0,0,0
"negative_AF3.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,1,0,0
"negative_c5.jpg",0.333333333333333,0,0,0.666666666666667,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
"negative_DF1.jpg",1,1,0,1,0,0.5,0,0,0,1,0,0.333333333333333,0,1,0,0.5,0,0,0,1,0,0,0,0,0.5
"negative_DP3.jpg",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"negative_FP3.jpg",0.5,0,0,0.25,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1
"negative_h11.bmp",0,0,0,0.5,0,0,1,0,0,0,1,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0
"negative_I1.jpg",0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"negative_T1.jpg",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0
"negative_L02.bmp",0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0.5,0,1,0,0,0,0
