"","positive_015.jpg","positive_042.jpg","positive_047.jpg","positive_056.jpg","positive_073.jpg","positive_2002.jpg","positive_2217.jpg","positive_2304.jpg","positive_2306.jpg","positive_2391.jpg","positive_2395.jpg","positive_2550.jpg","positive_5830.jpg","positive_5831.jpg","positive_7325.jpg","positive_7499.jpg","positive_7502.jpg","positive_8120.jpg","positive_8300.jpg","positive_8461.jpg","positive_g6.jpg","positive_hp2.jpg","positive_s1.jpg","positive_S22.jpg","positive_t1.jpg"
"positive_015.jpg",0,0,0,0.5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,0,0,0,0,0
"positive_042.jpg",0,0,0,0,1,0,0,0,1,0,0.666666666666667,0,0,1,0,0,0,0.5,1,1,0,1,0,0,0
"positive_047.jpg",0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0.5,1,0,0
"positive_056.jpg",0.5,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.5,0,1,1,1,1,0,0,0
"positive_073.jpg",1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
"positive_2002.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2217.jpg",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0.333333333333333,0,0,0,1,0,0
"positive_2304.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,1,1,0,0,0,0.666666666666667,0
"positive_2306.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0,1,1,0,0
"positive_2391.jpg",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.5,0.333333333333333,0,0,1,0.5,0,0,1,0,0
"positive_2395.jpg",0,0.666666666666667,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.5,1,1,0,0.333333333333333,0,0,0
"positive_2550.jpg",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.666666666666667,0.333333333333333,0,0,0.333333333333333,0,0,0
"positive_5830.jpg",0,0,0,1,0,0,0,0.5,0,1,0,1,0,0,1,0,0,0.666666666666667,1,1,0,0,0,0,0
"positive_5831.jpg",1,1,1,0,1,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,1,0,0,0.333333333333333,0,0,0
"positive_7325.jpg",1,0,0,1,0,0,0,0,0,0.5,1,0,1,0,0,0,0.5,1,0,0.5,0,1,0,0,0
"positive_7499.jpg",0,0,0,0,0,0,0.5,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0
"positive_7502.jpg",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
"positive_8120.jpg",0,0.5,0,0,1,0,0,0,0.5,0,0.5,0.666666666666667,0.666666666666667,0,1,0,0,0,1,0.5,0,1,0.333333333333333,0,0
"positive_8300.jpg",0,1,1,1,0,0,0.333333333333333,1,0,1,1,0.333333333333333,1,1,0,0,0,1,0,0,0.333333333333333,1,0.5,0,0
"positive_8461.jpg",0.5,1,1,1,0,0,0,1,0.5,0.5,1,0,1,0,0.5,0,0,0.5,0,0,0.5,1,1,0,0
"positive_g6.jpg",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.5,0,0,0,0,0
"positive_hp2.jpg",0,1,0.5,1,0,0,0,0,1,0,0.333333333333333,0.333333333333333,0,0.333333333333333,1,0,0,1,1,1,0,0,0,0,0
"positive_s1.jpg",0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0.5,1,0,0,0,0,0
"positive_S22.jpg",0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_t1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
