"","negative_206.jpg","negative_2095.jpg","negative_2122.jpg","negative_2130.jpg","negative_217.jpg","negative_228.jpg","negative_2410.bmp","negative_2458.jpg","negative_2810.jpg","negative_3280.jpg","negative_6212.jpg","negative_6510.jpg","negative_6821.jpg","negative_8231.jpg","negative_9440.jpg","negative_9530.bmp","negative_9600.jpg","negative_AF3.jpg","negative_c5.jpg","negative_DF1.jpg","negative_h11.bmp","negative_L02.bmp","negative_L08.bmp","negative_L29.bmp","negative_SF4.jpg"
"negative_206.jpg",0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,1,1,0,0,0.5,0
"negative_2095.jpg",0,0,0,0,0,1,0,1,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.333333333333333
"negative_2122.jpg",0,0,0,1,1,0,0,0.5,1,0.5,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.333333333333333
"negative_2130.jpg",0.5,0,1,0,0,1,0,0,0,0,1,1,0.5,0.5,0,0,0.333333333333333,1,0.333333333333333,0.5,0,0,0,0,0
"negative_217.jpg",0,0,1,0,0,0,0,0,0,0,0,0,0.5,1,0,0.5,1,0,0,0.5,1,0,0.5,0.5,0
"negative_228.jpg",0,1,0,1,0,0,1,0,1,0.333333333333333,0,0,0.666666666666667,0,0.5,0,0.5,1,0,1,0,0,1,0,0
"negative_2410.bmp",0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,1,0,0,0,0,1,0,0,0.666666666666667,0,0
"negative_2458.jpg",0,1,0.5,0,0,0,0,0,0,1,0,0,0,0,0.333333333333333,0.5,0,0.666666666666667,0.333333333333333,0,0.5,0,0,1,0
"negative_2810.jpg",0,0.5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"negative_3280.jpg",0,0,0.5,0,0,0.333333333333333,0,1,0,0,0,1,0.25,0,1,0,0,0,0,0,0,1,0,0.333333333333333,0
"negative_6212.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,1
"negative_6510.jpg",0.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_6821.jpg",0,0,0,0.5,0.5,0.666666666666667,0.5,0,0,0.25,0,0,0,0,0,1,0,1,0,0,0,0.5,0,0,0
"negative_8231.jpg",0,0,0,0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"negative_9440.jpg",0,1,0,0,0,0.5,1,0.333333333333333,0,1,0,0,0,0,0,1,0.5,0,0,0,0,1,0,0,1
"negative_9530.bmp",0,1,0,0,0.5,0,0,0.5,0,0,1,0,1,0,1,0,0,0.5,0,1,0,1,0,0,0
"negative_9600.jpg",0,0,0.25,0.333333333333333,1,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0.5,0,1,0.5,0,0
"negative_AF3.jpg",0,0,0,1,0,1,0,0.666666666666667,1,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,1,0
"negative_c5.jpg",1,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0.5,0,0,0,0,0,1,0,0,0,1,0,1,0,0
"negative_DF1.jpg",1,0,0,0.5,0.5,1,1,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0
"negative_h11.bmp",1,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
"negative_L02.bmp",0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,1,1,1,0,0,0,1,0,0,0,0
"negative_L08.bmp",0,0,0,0,0.5,1,0.666666666666667,0,0,0,0,0,0,0,0,0,0.5,0,1,0,1,0,0,0,0
"negative_L29.bmp",0.5,0,0,0,0.5,0,0,1,0,0.333333333333333,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5
"negative_SF4.jpg",0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.5,0
