"","neutral_082.jpg","neutral_157.jpg","neutral_169.jpg","neutral_199.jpg","neutral_2200.jpg","neutral_2215.jpg","neutral_2394.jpg","neutral_2442.jpg","neutral_2495.jpg","neutral_2850.jpg","neutral_J2.jpg","neutral_N01.bmp","neutral_N04.bmp","neutral_N05.bmp","neutral_N12.bmp","neutral_N13.bmp","neutral_N17.bmp","neutral_N22.bmp","neutral_N31.bmp","neutral_N33.bmp","neutral_N34.bmp","neutral_n5.jpg","neutral_r.jpg","neutral_S5.jpg","neutral_SP3.jpg"
"neutral_082.jpg",0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0.5,0,0,0,0.75,1,0,0,1,0,0,0,0
"neutral_157.jpg",0,0,1,1,0,0,0,0,0,0,0,0.5,1,1,0.5,0,0.333333333333333,0,0,1,0,0,0,0,0
"neutral_169.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,1,0,0,0,0,0
"neutral_199.jpg",0.666666666666667,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"neutral_2200.jpg",0,0,0,0,0,1,0,0.333333333333333,1,0,1,0,0,0,0,0,0,0,0,0.5,0,1,1,0,0
"neutral_2215.jpg",0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,1,1
"neutral_2394.jpg",0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0.5
"neutral_2442.jpg",0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,1,0,0
"neutral_2495.jpg",0,0,0,0,1,0,0,0,0,0.333333333333333,1,0.5,0,0,0,0.25,0,1,0,0,1,0,0,0,0
"neutral_2850.jpg",0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0.666666666666667,0,0.5,0,0,0.5,0,0,0
"neutral_J2.jpg",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0.333333333333333,0,0,0,1,0,1,0,0
"neutral_N01.bmp",0,0.5,0,1,0,0,0,0,0.5,0,0,0,0,0,1,0.5,0,0,0.666666666666667,1,0,0,0,0.5,0
"neutral_N04.bmp",0.5,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0.5,1,0.5,0,0,0,0,1,0
"neutral_N05.bmp",0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0.5,0,0,0,0,0,0,0.5,1
"neutral_N12.bmp",0,0.5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0
"neutral_N13.bmp",0,0,0,0,0,1,0,1,0.25,0,1,0.5,0,1,0,0,0,0,0,0,0,0,0,1,1
"neutral_N17.bmp",0.75,0.333333333333333,0,1,0,0,1,0,0,0.666666666666667,0.333333333333333,0,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0
"neutral_N22.bmp",1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0.5,1,0,0,0,0
"neutral_N31.bmp",0,0,0.5,0,0,0.5,0,0,0,0.5,0,0.666666666666667,0.5,0,0,0,1,1,0,0.5,1,0,0,0,0
"neutral_N33.bmp",0,1,1,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,0,1,0,0,0,0
"neutral_N34.bmp",1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"neutral_n5.jpg",0,0,0,0,1,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"neutral_r.jpg",0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"neutral_S5.jpg",0,0,0,0,0,1,0,0,0,0,0,0.5,1,0.5,1,1,0,0,0,0,0,0,0,0,0
"neutral_SP3.jpg",0,0,0,0,0,1,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
