"","negative_207.jpg","negative_2095.jpg","negative_217.jpg","negative_224.jpg","negative_251.jpg","negative_2750.jpg","negative_6211.jpg","negative_6311.jpg","negative_6510.jpg","negative_6555.jpg","negative_65701_1.jpg","negative_6821.jpg","negative_8231.jpg","negative_9041.jpg","negative_9190.jpg","negative_9530.bmp","negative_AF3.jpg","negative_c5.jpg","negative_DP3.jpg","negative_h11.bmp","negative_L24.bmp","negative_L29.bmp","negative_MF2.jpg","negative_SF4.jpg","negative_T1.jpg"
"negative_207.jpg",0,0,1,0.5,1,0,0,1,0,0,0,0,0,0,0.333333333333333,0,0,0.666666666666667,1,0.5,0,1,0,0,0
"negative_2095.jpg",0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
"negative_217.jpg",1,1,0,1,1,0,0,0.25,0,0,0,0,0,0,1,1,0,0,0,0.5,1,0,1,0,0
"negative_224.jpg",0.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.5,1,1,0,0,0,0,0
"negative_251.jpg",1,0.5,1,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0.5,0.5,0,0
"negative_2750.jpg",0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0.25
"negative_6211.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.666666666666667,0
"negative_6311.jpg",1,0,0.25,0,0,1,0,0,0,0,0,0,0,0,1,0.333333333333333,0.5,0,0,0,0,1,0,0,0
"negative_6510.jpg",0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0.5,0,0,0,0.5,0,0,0,1
"negative_6555.jpg",0,0,0,0,0,0,1,0,1,0,1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,1,0,0
"negative_65701_1.jpg",0,0,0,0,0.5,0,0,0,1,1,0,1,0.5,0,0,0,1,0,0,0,0,0,0,0,0
"negative_6821.jpg",0,0,0,0,0,0.5,0,0,0.5,0.666666666666667,1,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0.5,1
"negative_8231.jpg",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,1,0,0.666666666666667,0,0.333333333333333
"negative_9041.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0
"negative_9190.jpg",0.333333333333333,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"negative_9530.bmp",0,0,1,1,1,0,0,0.333333333333333,0,0,0,0,0,1,0,0,0,0,0,0.75,0,0,0,0,0
"negative_AF3.jpg",0,0,0,0,0,0,1,0.5,0.5,0,1,0.666666666666667,0,0,0,0,0,0,1,0,0,0,0,0.333333333333333,1
"negative_c5.jpg",0.666666666666667,1,0,0.5,0,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.333333333333333,0.333333333333333
"negative_DP3.jpg",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0
"negative_h11.bmp",0.5,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,1,0,0,0,0,0,0
"negative_L24.bmp",0,0,1,0,0,0,0,0,0.5,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
"negative_L29.bmp",1,0,0,0,0.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"negative_MF2.jpg",0,1,1,0,0.5,0,0,0,0,1,0,0,0.666666666666667,0,1,0,0,1,1,0,1,0,0,0,0
"negative_SF4.jpg",0,0,0,0,0,0,0.666666666666667,0,0,0,0,0.5,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,1,0,0,1
"negative_T1.jpg",0,0,0,0,0,0.25,0,0,1,0,0,1,0.333333333333333,0,0,0,1,0.333333333333333,0,0,0,0,0,1,0
