"","negative_113.jpg","negative_2122.jpg","negative_2130.jpg","negative_217.jpg","negative_2410.bmp","negative_2750.jpg","negative_2810.jpg","negative_6212.jpg","negative_6311.jpg","negative_6510.jpg","negative_6555.jpg","negative_65701_1.jpg","negative_6821.jpg","negative_9041.jpg","negative_9190.jpg","negative_9440.jpg","negative_9530.bmp","negative_9600.jpg","negative_AF3.jpg","negative_c5.jpg","negative_FP3.jpg","negative_h11.bmp","negative_L02.bmp","negative_L04.bmp","negative_MF2.jpg"
"negative_113.jpg",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0
"negative_2122.jpg",0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0
"negative_2130.jpg",0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"negative_217.jpg",0,0,0.5,0,0,0,0,0.666666666666667,0,0,0,0,1,0,0,0,0,1,1,0,0.5,0.5,1,0,1
"negative_2410.bmp",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,1
"negative_2750.jpg",1,0,0,0,0,0,1,0,1,0,0.333333333333333,1,0,1,0,0,0,0,0,0.5,0,1,0,0,0
"negative_2810.jpg",0,1,0,0,1,1,0,0,0,0,0,0,0,0.75,0,0,0,1,0,0,0,0.5,0,0.333333333333333,0
"negative_6212.jpg",0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,1,0,0,0,0,0,1,0.333333333333333,0
"negative_6311.jpg",1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.5,0,0,1,0.5,0,0,0,0.333333333333333,0
"negative_6510.jpg",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0
"negative_6555.jpg",0,0.5,0,0,0,0.333333333333333,0,0,0,1,0,0,0.5,0,0,0,0,0,0,1,0,0.333333333333333,1,0,0
"negative_65701_1.jpg",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.5,0,1,0,0,1,1,0
"negative_6821.jpg",0,0,0.5,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0.5,0.333333333333333,0,0
"negative_9041.jpg",0,0,0,0,1,1,0.75,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,1,0
"negative_9190.jpg",0,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
"negative_9440.jpg",0.5,0,0,0,0,0,0,0.666666666666667,0.5,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0.666666666666667,0
"negative_9530.bmp",0,0,0,0,0,0,0,1,0,0.5,0,0,0,0.666666666666667,0,1,0,0.666666666666667,0,1,0,0,1,0,0
"negative_9600.jpg",0,1,0,1,0,0,1,0,0,1,0,0.5,0,0,0,1,0.666666666666667,0,0,1,0,1,1,0.5,0
"negative_AF3.jpg",0,0,0,1,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"negative_c5.jpg",0,0,0,0,0,0.5,0,0,0.5,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
"negative_FP3.jpg",1,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"negative_h11.bmp",0,0,0,0.5,0.5,1,0.5,0,0,0,0.333333333333333,0,0.5,0,0,0,0,1,1,0,0,0,1,0,0.5
"negative_L02.bmp",0,0,0,1,0,0,0,1,0,0,1,1,0.333333333333333,0,0.5,0,1,1,0,1,0,1,0,1,0
"negative_L04.bmp",0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,1,0,1,0,0.666666666666667,0,0.5,0,0,0,0,1,0,0
"negative_MF2.jpg",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0
