"","negative_113.jpg","negative_206.jpg","negative_2122.jpg","negative_2130.jpg","negative_215.jpg","negative_216.jpg","negative_217.jpg","negative_228.jpg","negative_2410.bmp","negative_2458.jpg","negative_251.jpg","negative_2750.jpg","negative_3180.jpg","negative_6212.jpg","negative_6510.jpg","negative_65701_1.jpg","negative_6821.jpg","negative_9530.bmp","negative_c5.jpg","negative_DP3.jpg","negative_FP3.jpg","negative_L02.bmp","negative_L04.bmp","negative_L08.bmp","negative_L24.bmp"
"negative_113.jpg",0,0,0,0.5,1,0,0.666666666666667,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"negative_206.jpg",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"negative_2122.jpg",0,0,0,0,0.5,0,0,0,0,0,0,0.666666666666667,0,0,0,0.5,0,0,0,0.666666666666667,0,0,1,0.666666666666667,0
"negative_2130.jpg",0.5,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"negative_215.jpg",1,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,1,1,0,1,1,0,0,0
"negative_216.jpg",0,0,0,1,0,0,0,0,0,0.5,0,0,0,1,0.333333333333333,0,0,1,1,0.5,0.5,1,0,1,0.5
"negative_217.jpg",0.666666666666667,1,0,0,0,0,0,0.666666666666667,0,0,0,0.5,0,0.5,0,0,0,1,0,0,0,1,1,0,0
"negative_228.jpg",0,0,0,0.5,0,0,0.666666666666667,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
"negative_2410.bmp",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"negative_2458.jpg",0,0,0,0,0,0.5,0,0,0,0,0,0.333333333333333,0,0.5,1,0,0,0,0,0,0.333333333333333,0,0,0,0
"negative_251.jpg",0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,1,0,0,0,0,0,0,0,1,1,1,0,0.666666666666667
"negative_2750.jpg",1,1,0.666666666666667,0,0.5,0,0.5,1,0,0.333333333333333,0.333333333333333,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0
"negative_3180.jpg",0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,1,0,0,0.5,0,0.5,0,0,0
"negative_6212.jpg",0,0,0,0,0,1,0.5,0,0.5,0.5,0,1,0,0,0,0,0.333333333333333,1,1,0,0,0.5,0,0,0.5
"negative_6510.jpg",0,0,0,0,0,0.333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_65701_1.jpg",0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.666666666666667
"negative_6821.jpg",0,0,0,0,0.5,0,0,0,0,0,0,0,1,0.333333333333333,0,0.5,0,0,1,0,0,0,0,0,0
"negative_9530.bmp",0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
"negative_c5.jpg",0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
"negative_DP3.jpg",1,1,0.666666666666667,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0.5,0,0,0
"negative_FP3.jpg",0,0,0,0,1,0.5,0,0,0,0.333333333333333,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
"negative_L02.bmp",1,0,0,0,1,1,1,1,0,0,1,0,0.5,0.5,0,0,0,1,0,0.5,0,0,0,0.5,1
"negative_L04.bmp",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_L08.bmp",0,0,0.666666666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.5,0,0,0.5
"negative_L24.bmp",0,1,0,0,0,0.5,0,1,0,0,0.666666666666667,0,0,0.5,0,0.666666666666667,0,0,0,0,0,1,0,0.5,0
