"","neutral_082.jpg","neutral_099.jpg","neutral_104.jpg","neutral_114.jpg","neutral_117.jpg","neutral_169.jpg","neutral_186.jpg","neutral_191.jpg","neutral_194.jpg","neutral_2200.jpg","neutral_2215.jpg","neutral_2305.jpg","neutral_2394.jpg","neutral_2442.jpg","neutral_2745.1.jpg","neutral_2850.jpg","neutral_D.jpg","neutral_N01.bmp","neutral_N04.bmp","neutral_N12.bmp","neutral_N20.bmp","neutral_N22.bmp","neutral_N31.bmp","neutral_n5.jpg","neutral_NF1.jpg"
"neutral_082.jpg",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.666666666666667,1,0,0,0,0,0,1,0
"neutral_099.jpg",0,0,1,0,0,1,0,1,0,1,0,0,1,0,0.5,0,0,1,0,0,0,0,0,1,0
"neutral_104.jpg",0,1,0,0,0,1,1,1,0,0,0,0,0.333333333333333,0,1,1,0.5,0,0,0,0.5,0,0,0,0
"neutral_114.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"neutral_117.jpg",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.5,0,0,1,0,0,0,0,1
"neutral_169.jpg",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"neutral_186.jpg",0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0
"neutral_191.jpg",0,1,1,0,1,0,1,0,0,0,0,0,0,0.5,0,1,0,0.5,0,0,1,0,0,0.5,1
"neutral_194.jpg",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"neutral_2200.jpg",0,1,0,0,0,0,0,0,0,0,1,0.333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0
"neutral_2215.jpg",1,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_2305.jpg",0,0,0,0,0,0,0,0,0,0.333333333333333,0.5,0,0,0,0,0.333333333333333,0,0.666666666666667,0,0,1,0,0.5,0,1
"neutral_2394.jpg",0,1,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0,0
"neutral_2442.jpg",1,0,0,0,0,0,0,0.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"neutral_2745.1.jpg",0,0.5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"neutral_2850.jpg",0,0,1,0,1,0,0,1,0,0,0,0.333333333333333,0,0,0,0,1,0,0,0,0,0,0,0.5,1
"neutral_D.jpg",0.666666666666667,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0.333333333333333,1,0,1,0,0.6,0
"neutral_N01.bmp",1,1,0,0,0,0,0.5,0.5,0,0,0,0.666666666666667,0.5,1,0,0,0,0,0.5,0.666666666666667,0,1,0,0,0
"neutral_N04.bmp",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.5,0,1,0,0,0,1,1
"neutral_N12.bmp",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,1,0,0.5,0.5,1,0,0
"neutral_N20.bmp",0,0,0.5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,1
"neutral_N22.bmp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0,0,0,0
"neutral_N31.bmp",0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,1,0,0,0,0.5,1
"neutral_n5.jpg",1,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.6,0,1,0,0,0,0.5,0,0
"neutral_NF1.jpg",0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0
