"","negative_113.jpg","negative_206.jpg","negative_207.jpg","negative_2095.jpg","negative_2122.jpg","negative_2130.jpg","negative_228.jpg","negative_2410.bmp","negative_2750.jpg","negative_2810.jpg","negative_3180.jpg","negative_6212.jpg","negative_6311.jpg","negative_6555.jpg","negative_65701_1.jpg","negative_9041.jpg","negative_9421.jpg","negative_9530.bmp","negative_9600.jpg","negative_b7.jpg","negative_c5.jpg","negative_DP3.jpg","negative_L02.bmp","negative_L04.bmp","negative_T1.jpg"
"negative_113.jpg",0,1,1,0,0,1,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,1,0,0,0.333333333333333
"negative_206.jpg",1,0,1,0,0,0,0.5,1,0.5,0,1,0,1,0,0.5,0,0,0,0,0,1,1,0,0,0
"negative_207.jpg",1,1,0,0,0,0,0,0,1,0,1,0,0.5,0,0,1,0,0,0,0,0.5,0,0.333333333333333,0,0
"negative_2095.jpg",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8,0,0,1,0,0,0,1,1
"negative_2122.jpg",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_2130.jpg",1,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333
"negative_228.jpg",0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,1,1,1,0.5,1,0,1,0,0,0,1,0
"negative_2410.bmp",0,1,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"negative_2750.jpg",0,0.5,1,1,0,0,0,0,0,0,0,1,1,0,0,0.25,0,0.333333333333333,0,1,0.5,1,0,1,0.5
"negative_2810.jpg",0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"negative_3180.jpg",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.666666666666667,0.333333333333333,0,0,0,0,1,0
"negative_6212.jpg",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
"negative_6311.jpg",0.5,1,0.5,0,0,0,0,1,1,0,1,0,0,0,0.75,0,1,0,0,0,0,0,0,0,0
"negative_6555.jpg",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0.5
"negative_65701_1.jpg",0,0.5,0,0,0,0,1,0,0,0,0,0,0.75,0,0,0,0.5,1,1,1,0,0,0,0.333333333333333,0
"negative_9041.jpg",1,0,1,0,0,0,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_9421.jpg",0,0,0,0.8,0,0,0.5,0,0,0,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,1
"negative_9530.bmp",0,0,0,0,0,0,1,0,0.333333333333333,0,0.666666666666667,1,0,0,1,0,0,0,1,0,0,1,0,0.5,0.666666666666667
"negative_9600.jpg",0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,1,0,0,1,0,0,0,0,0.5,0,1
"negative_b7.jpg",0,0,0,1,0,0,1,0,1,1,0,0,0,0.5,1,0,0,0,0,0,0,1,0,1,0
"negative_c5.jpg",0,1,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"negative_DP3.jpg",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"negative_L02.bmp",0,0,0.333333333333333,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.5,0,0,0,0,0,0.5
"negative_L04.bmp",0,0,0,1,0,0,1,0,1,0,1,1,0,0,0.333333333333333,0,0,0.5,0,1,1,0,0,0,0
"negative_T1.jpg",0.333333333333333,0,0,1,0,0.333333333333333,0,0,0.5,0,0,1,0,0.5,0,0,1,0.666666666666667,1,0,0,0,0.5,0,0
