"","neutral_103.jpg","neutral_104.jpg","neutral_106.jpg","neutral_114.jpg","neutral_116.jpg","neutral_117.jpg","neutral_121.jpg","neutral_124.jpg","neutral_156.jpg","neutral_157.jpg","neutral_186.jpg","neutral_199.jpg","neutral_2019.jpg","neutral_2305.jpg","neutral_2442.jpg","neutral_2745.1.jpg","neutral_BP5.jpg","neutral_N07.bmp","neutral_N20.bmp","neutral_N22.bmp","neutral_N31.bmp","neutral_N33.bmp","neutral_NF1.jpg","neutral_SP2.jpg","neutral_SP3.jpg"
"neutral_103.jpg",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0,0,0,0,0
"neutral_104.jpg",0,0,0,0.75,0,0,1,1,0,0,0.5,1,0.5,0,0,1,0,0.333333333333333,0,0,0,0.2,0,0,0
"neutral_106.jpg",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0.5,0.5
"neutral_114.jpg",0,0.75,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.25
"neutral_116.jpg",0,0,0,1,0,0.25,1,0,0,0,0,1,0,0,1,1,0,0,0.333333333333333,0,1,0,1,0,0
"neutral_117.jpg",0,0,0,0,0.25,0,0,0,0,0,0,0,1,0,1,0,1,0,0.6,0,0,0,0,0,0
"neutral_121.jpg",0.5,1,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"neutral_124.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"neutral_156.jpg",0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,1,0,0,0,1,0,0,0,0,1,1
"neutral_157.jpg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,1,0,1,0,0,0,0,0
"neutral_186.jpg",0,0.5,0,0,0,0,0,0,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"neutral_199.jpg",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,1,0
"neutral_2019.jpg",0,0.5,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0.5,0,0,0.5,0,0,0,0,0
"neutral_2305.jpg",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,1
"neutral_2442.jpg",0,0,0,0,1,1,0,0,1,0.5,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_2745.1.jpg",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0
"neutral_BP5.jpg",1,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,1,1,0,0
"neutral_N07.bmp",1,0.333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"neutral_N20.bmp",0,0,0,0,0.333333333333333,0.6,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"neutral_N22.bmp",0.333333333333333,0,1,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,1,1,0.666666666666667,0,0
"neutral_N31.bmp",0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,1,0.5,1
"neutral_N33.bmp",0,0.2,0.5,0,0,0,1,0,0,0,0,0,0,0.5,0,0,1,1,0,1,0.333333333333333,0,0,0.5,0
"neutral_NF1.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0.666666666666667,1,0,0,0,0
"neutral_SP2.jpg",0,0,0.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,1
"neutral_SP3.jpg",0,0,0.5,0.25,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
