"","neutral_104.jpg","neutral_116.jpg","neutral_117.jpg","neutral_121.jpg","neutral_157.jpg","neutral_169.jpg","neutral_191.jpg","neutral_194.jpg","neutral_2200.jpg","neutral_2215.jpg","neutral_2305.jpg","neutral_2393.jpg","neutral_2442.jpg","neutral_2745.1.jpg","neutral_2850.jpg","neutral_BP5.jpg","neutral_J2.jpg","neutral_N01.bmp","neutral_N04.bmp","neutral_N12.bmp","neutral_N13.bmp","neutral_N20.bmp","neutral_n5.jpg","neutral_NF1.jpg","neutral_r.jpg"
"neutral_104.jpg",0,0,0,0,0.5,0,0,0,0,0.5,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"neutral_116.jpg",0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0.5,0.5,0,0,0
"neutral_117.jpg",0,1,0,1,0,0,0.5,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"neutral_121.jpg",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
"neutral_157.jpg",0.5,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,1,0,0,0
"neutral_169.jpg",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"neutral_191.jpg",0,1,0.5,0,1,0,0,1,0.5,1,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0
"neutral_194.jpg",0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0.5,0,0,0,0,0,0,0
"neutral_2200.jpg",0,0,0,0,0,1,0.5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"neutral_2215.jpg",0.5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.5,0
"neutral_2305.jpg",1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,1,0,0,1,0,1,0,1,0,0
"neutral_2393.jpg",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"neutral_2442.jpg",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0,1,0,1,0,0,0,1,0.333333333333333,0
"neutral_2745.1.jpg",0,1,1,0,0.5,0,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"neutral_2850.jpg",0,1,1,0,0,1,1,0,0,0,1,0,0.25,0,0,1,0,0,0,0,1,0,0,1,0
"neutral_BP5.jpg",0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0.666666666666667,1,0,1,0,0,0.25,0
"neutral_J2.jpg",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
"neutral_N01.bmp",0,0,1,0,0,0,0,0.5,0,0,0,1,0,0,0,0.666666666666667,0,0,0,0,0.5,0,0,0.5,0
"neutral_N04.bmp",1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0.333333333333333,0
"neutral_N12.bmp",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0
"neutral_N13.bmp",0,0.5,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0.5,1,0.5,0,0,0,0,0
"neutral_N20.bmp",0,0.5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_n5.jpg",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"neutral_NF1.jpg",1,0,0,0,0,0,0,0,0,0.5,0,0,0.333333333333333,0.5,1,0.25,0,0.5,0.333333333333333,0,0,0,1,0,0.5
"neutral_r.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0
