"","positive_012.jpg","positive_015.jpg","positive_032.jpg","positive_056.jpg","positive_078.jpg","positive_2002.jpg","positive_2025.jpg","positive_2034.jpg","positive_2217.jpg","positive_2304.jpg","positive_2391.jpg","positive_2501.jpg","positive_2550.jpg","positive_4598.jpg","positive_4689.jpg","positive_5628.jpg","positive_7660.jpg","positive_8300.jpg","positive_b.jpg","positive_c1.jpg","positive_d6.jpg","positive_p1.jpg","positive_s2.jpg","positive_t1.jpg","positive_y5.jpg"
"positive_012.jpg",0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0
"positive_015.jpg",0,0,0,0,0,0,0,0.666666666666667,0,0,0.5,0,0,0,0,0,0,0,0,1,0.5,1,0,0,0
"positive_032.jpg",0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"positive_056.jpg",0,0,0,0,0.5,0,0,1,1,0,0,0.333333333333333,0,0,0,0,0,0,0,1,1,1,0,1,0
"positive_078.jpg",0,0,1,0.5,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"positive_2002.jpg",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.75,0,0,0,0,0,1
"positive_2025.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"positive_2034.jpg",1,0.666666666666667,0,1,1,0,0,0,0.5,0.5,0,0,0,0,0.5,0,1,0,0.333333333333333,1,0,0.5,1,0,0
"positive_2217.jpg",0,0,0,1,0,0,0,0.5,0,0,0.333333333333333,0,0,0,0,0,1,0,0,0,1,0,1,1,0
"positive_2304.jpg",0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
"positive_2391.jpg",1,0.5,1,0,0,0,0,0,0.333333333333333,0,0,0,0.666666666666667,1,0,1,0,0,0,0,0.333333333333333,0,0,0,1
"positive_2501.jpg",0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.666666666666667,0.5,0,0,0,0
"positive_2550.jpg",1,0,0,0,1,0,0,0,0,0,0.666666666666667,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"positive_4598.jpg",1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.333333333333333,0,0,0,0,0,0.5,0,0,0
"positive_4689.jpg",1,0,1,0,1,0,0,0.5,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0.5,0,0
"positive_5628.jpg",0,0,0,0,0,1,0,0,0,0,1,0,0,0.333333333333333,0,0,0,0,1,0,0,0,0,0,1
"positive_7660.jpg",0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"positive_8300.jpg",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"positive_b.jpg",0,0,0,0,0,0.75,0,0.333333333333333,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"positive_c1.jpg",0,1,0,1,0,0,0,1,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0.5,0.333333333333333,1,1,0
"positive_d6.jpg",0,0.5,0,1,0,0,0,0,1,0.5,0.333333333333333,0.5,0,0,0,0,1,0,0,0.5,0,0,0,0,0
"positive_p1.jpg",0,1,0,1,0,0,0,0.5,0,0,0,0,1,0.5,1,0,1,0,0,0.333333333333333,0,0,0,0,0
"positive_s2.jpg",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5,0,1,0,0,1,0,0,0,0,0
"positive_t1.jpg",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"positive_y5.jpg",0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
