"","negative_113.jpg","negative_207.jpg","negative_2095.jpg","negative_216.jpg","negative_228.jpg","negative_2410.bmp","negative_2458.jpg","negative_2753.jpg","negative_3180.jpg","negative_6211.jpg","negative_6212.jpg","negative_6311.jpg","negative_6555.jpg","negative_65701_1.jpg","negative_8231.jpg","negative_9421.jpg","negative_b7.jpg","negative_FP3.jpg","negative_I1.jpg","negative_L02.bmp","negative_L08.bmp","negative_L29.bmp","negative_MF2.jpg","negative_T1.jpg","negative_SF4.jpg"
"negative_113.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"negative_207.jpg",0,0,0,0.5,0.333333333333333,1,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,1,1,0,0,0.333333333333333
"negative_2095.jpg",0,0,0,0,0.5,0,0.5,0,0,0.5,1,1,0,0,0,0.5,1,1,0,0.5,0,0,0,0,0.333333333333333
"negative_216.jpg",0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0.666666666666667,0,0,0,0,0,0,0,1,0
"negative_228.jpg",0,0.333333333333333,0.5,0,0,0.5,0,0.5,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
"negative_2410.bmp",0,1,0,0,0.5,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"negative_2458.jpg",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,1,0,0,0,0,0,1
"negative_2753.jpg",0,0,0,0,0.5,0.333333333333333,0,0,0,1,0,1,0,1,0.333333333333333,0.666666666666667,0,1,0.5,0,0,1,0,0,0
"negative_3180.jpg",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.5,0,0,0,0,0,0,0
"negative_6211.jpg",0,0,0.5,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"negative_6212.jpg",0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"negative_6311.jpg",0,0,1,0,0,0,0,1,1,0,0,0,0.5,1,0,0,0,0,1,0,0,1,0.5,1,1
"negative_6555.jpg",0,0,0,1,1,0,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0.5,0,0,0,1,0
"negative_65701_1.jpg",0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0
"negative_8231.jpg",0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0
"negative_9421.jpg",0,0,0.5,0.666666666666667,0,0,0.5,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_b7.jpg",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,1,0,0
"negative_FP3.jpg",0,0,1,0,0,0,1,1,0.5,0,0,0,0,1,0,0,0,0,1,0,0,1,0.5,0,0
"negative_I1.jpg",1,0,0,0,1,0,1,0.5,0,1,0,1,0,1,0,0,0,1,0,0,0,0.5,0,0,1
"negative_L02.bmp",0,0,0.5,0,1,1,0,0,0,0,1,0,0.5,0,0,0,0.5,0,0,0,1,0,0.5,0,0
"negative_L08.bmp",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"negative_L29.bmp",0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0.5,0,0,0,0,0,0
"negative_MF2.jpg",0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,1,0.5,0,0.5,0,0,0,0,0
"negative_T1.jpg",0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"negative_SF4.jpg",0,0.333333333333333,0.333333333333333,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
