"","positive_012.jpg","positive_041.jpg","positive_042.jpg","positive_056.jpg","positive_078.jpg","positive_2217.jpg","positive_2300.jpg","positive_2306.jpg","positive_2391.jpg","positive_2395.jpg","positive_2501.jpg","positive_2550.jpg","positive_4574.jpg","positive_5830.jpg","positive_7499.jpg","positive_7502.jpg","positive_8461.jpg","positive_8470.jpg","positive_c1.jpg","positive_EF1.jpg","positive_p1.jpg","positive_r4.jpg","positive_s5.jpg","positive_t1.jpg","positive_y5.jpg"
"positive_012.jpg",0,0,0.5,0.5,1,1,0.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0
"positive_041.jpg",0,0,1,0.666666666666667,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.5,1,0,1,0
"positive_042.jpg",0.5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0.666666666666667,0
"positive_056.jpg",0.5,0.666666666666667,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.5,0,0,0,0,1,0,0,0
"positive_078.jpg",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
"positive_2217.jpg",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"positive_2300.jpg",0.5,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0.5,0,0,1,0,1,0,0,0,0,0.666666666666667
"positive_2306.jpg",1,0,0,1,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0.666666666666667,0,1,0,0,0
"positive_2391.jpg",1,0,0,0,0,0,0,0.5,0,0,0,0.333333333333333,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0
"positive_2395.jpg",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"positive_2501.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1
"positive_2550.jpg",1,0,1,0,0,0,0.5,0,0.333333333333333,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5
"positive_4574.jpg",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"positive_5830.jpg",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,1
"positive_7499.jpg",0,1,0,0,1,0,0.5,0,0,0,1,0,0,0,0,1,0,0.666666666666667,0,0,0,1,1,1,0
"positive_7502.jpg",0,1,1,0,1,0,0,0,0,0,1,0,0,0.5,1,0,0,0,1,0,0,0,0,0,0
"positive_8461.jpg",0,1,1,0.5,0,0,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"positive_8470.jpg",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.666666666666667,0,0,0,1,1,0,0,0,0,0
"positive_c1.jpg",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.666666666666667,0,0
"positive_EF1.jpg",0,0,0,0,0,0,1,0.666666666666667,0,1,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0
"positive_p1.jpg",0,0.5,1,0,0,1,0,0,0.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"positive_r4.jpg",0.333333333333333,1,0,1,0,0,0,1,0.5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"positive_s5.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.666666666666667,0,0,0,0,1,0
"positive_t1.jpg",0,1,0.666666666666667,0,1,0,0,0,0,0,1,0.5,0,0,1,0,0,0,0,0,0,0,1,0,0
"positive_y5.jpg",0,0,0,0,0,0,0.666666666666667,0,0,0,1,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0
