"","negative_113.jpg","negative_206.jpg","negative_2130.jpg","negative_214.jpg","negative_215.jpg","negative_216.jpg","negative_228.jpg","negative_251.jpg","negative_2750.jpg","negative_2753.jpg","negative_3280.jpg","negative_6211.jpg","negative_6311.jpg","negative_6555.jpg","negative_9440.jpg","negative_9600.jpg","negative_b7.jpg","negative_DF1.jpg","negative_h11.bmp","negative_I1.jpg","negative_L02.bmp","negative_L24.bmp","negative_L29.bmp","negative_MF2.jpg","negative_T1.jpg"
"negative_113.jpg",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_206.jpg",0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5
"negative_2130.jpg",0,0,0,0.5,0.333333333333333,0,0,0,0,0,0,0,0,1,0.8,0.333333333333333,0,0,0,1,1,0.333333333333333,0,0.5,0.333333333333333
"negative_214.jpg",0,0,0.5,0,0,1,0.75,0,0,0,0,0.5,0,0,0,0,1,0,1,0,1,0,0,0,1
"negative_215.jpg",0,0.5,0.333333333333333,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,1,0.5,0,0.5
"negative_216.jpg",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1
"negative_228.jpg",0.5,0,0,0.75,0.666666666666667,0,0,0,0,0,0,0.666666666666667,0,1,0,0.5,0,0,0.666666666666667,0,0.666666666666667,1,0.5,1,0.5
"negative_251.jpg",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"negative_2750.jpg",0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0.5,0,0.5,0,0,1,0.5,1,1
"negative_2753.jpg",0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"negative_3280.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"negative_6211.jpg",0,0,0,0.5,0,1,0.666666666666667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"negative_6311.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.5,0,0,0,0,0
"negative_6555.jpg",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,1,0.5,0,0.5,1,0
"negative_9440.jpg",0,0,0.8,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"negative_9600.jpg",0,0,0.333333333333333,0,0,0,0.5,0,0,0,0,1,0,0.666666666666667,1,0,0,0,0,0,0,1,0,0,0
"negative_b7.jpg",0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"negative_DF1.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0
"negative_h11.bmp",0,0,0,1,0.5,0,0.666666666666667,0,0.5,0,0,0,1,0,0,0,0,0,0,1,0.333333333333333,1,1,1,0.5
"negative_I1.jpg",0,0,1,0,0,1,0,0,0,1,1,0,0.5,1,0,0,0,0,1,0,0,0,0.5,0,0
"negative_L02.bmp",0,0,1,1,1,0,0.666666666666667,0,0,0,0,0,0,0.5,0,0,1,0.333333333333333,0.333333333333333,0,0,0,0,0,0
"negative_L24.bmp",0,0,0.333333333333333,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"negative_L29.bmp",0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,1,0.5,0,0,0,0,0
"negative_MF2.jpg",0,0,0.5,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
"negative_T1.jpg",0,0.5,0.333333333333333,1,0.5,1,0.5,1,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
