"","neutral_099.jpg","neutral_103.jpg","neutral_106.jpg","neutral_121.jpg","neutral_124.jpg","neutral_157.jpg","neutral_169.jpg","neutral_186.jpg","neutral_194.jpg","neutral_199.jpg","neutral_2200.jpg","neutral_2215.jpg","neutral_2393.jpg","neutral_2850.jpg","neutral_BP5.jpg","neutral_D.jpg","neutral_J2.jpg","neutral_N13.bmp","neutral_N19.bmp","neutral_N22.bmp","neutral_N31.bmp","neutral_r.jpg","neutral_S5.jpg","neutral_SP2.jpg","neutral_SP3.jpg"
"neutral_099.jpg",0,0,0,0,1,0,0,0,0.333333333333333,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0
"neutral_103.jpg",0,0,0.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.5,0,0.5,0,0,0
"neutral_106.jpg",0,0.5,0,1,0,0,0,0,0,0,0,0,0.333333333333333,0,1,0,0.5,1,0,0.5,1,1,0.5,1,0
"neutral_121.jpg",0,0,1,0,0.5,0,0,0,0,0,0,0,0.5,1,0,1,0,0,0,0.5,0,0,0,0,0
"neutral_124.jpg",1,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0
"neutral_157.jpg",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_169.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,1,0,0,0,0,0,0
"neutral_186.jpg",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0
"neutral_194.jpg",0.333333333333333,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"neutral_199.jpg",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"neutral_2200.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,1,0.333333333333333,0,0,1,1,0.5,0,0
"neutral_2215.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.5,1,0,0
"neutral_2393.jpg",0,0,0.333333333333333,0.5,0,1,0.5,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.666666666666667,0,1
"neutral_2850.jpg",0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_BP5.jpg",0.5,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"neutral_D.jpg",0,0,0,1,1,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"neutral_J2.jpg",0,1,0.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"neutral_N13.bmp",0,0,1,0,1,0,0,0,0,0,0.333333333333333,0,1,0,1,1,1,0,0,0.5,0,0,0,1,1
"neutral_N19.bmp",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.5,0.5
"neutral_N22.bmp",0,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,1,0,0
"neutral_N31.bmp",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0.75,0
"neutral_r.jpg",1,0.5,1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,1,0,0,0,0,0,0.5,0,1
"neutral_S5.jpg",0,0,0.5,0,1,0,0,0,0,0,0.5,1,0.666666666666667,0,0,0,1,0,0,1,1,0.5,0,0.5,1
"neutral_SP2.jpg",0,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,1,0,1,0.5,0,0.75,0,0.5,0,0
"neutral_SP3.jpg",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0,0,1,1,0,0
