"","positive_032.jpg","positive_041.jpg","positive_042.jpg","positive_1601.jpg","positive_2002.jpg","positive_2025.jpg","positive_2217.jpg","positive_2395.jpg","positive_4574.jpg","positive_4689.jpg","positive_5831.jpg","positive_7499.jpg","positive_7502.jpg","positive_8120.jpg","positive_8300.jpg","positive_b.jpg","positive_EF1.jpg","positive_g6.jpg","positive_hp2.jpg","positive_m9.jpg","positive_p1.jpg","positive_r4.jpg","positive_s1.jpg","positive_S22.jpg","positive_t1.jpg"
"positive_032.jpg",0,1,1,0.5,0,0,0.5,1,0,0.5,0,0,0,0.5,0,0,0,0,0,0.333333333333333,0,0,0,1,0
"positive_041.jpg",1,0,0.5,0,0,0,0,0.666666666666667,0,0.333333333333333,0,0,0,0.5,0,0,0,1,1,0,0,0,0,0,1
"positive_042.jpg",1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,1,1,1,1,0
"positive_1601.jpg",0.5,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"positive_2002.jpg",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,1,1,0,0,0,0,0
"positive_2025.jpg",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0.5
"positive_2217.jpg",0.5,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0.333333333333333,0,0,0,0
"positive_2395.jpg",1,0.666666666666667,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.333333333333333,1,0,0,0.5,1,1,0,0,0
"positive_4574.jpg",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
"positive_4689.jpg",0.5,0.333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"positive_5831.jpg",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0
"positive_7499.jpg",0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
"positive_7502.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,1,1,1,0
"positive_8120.jpg",0.5,0.5,0,0,0,1,0,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"positive_8300.jpg",0,0,1,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"positive_b.jpg",0,0,0,0.5,0,0,0,0.333333333333333,1,0.5,1,0,0,0,0,0,0,0.75,0,1,0,0,0,0,0
"positive_EF1.jpg",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
"positive_g6.jpg",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.75,0,0,0,1,0.5,0.5,0,0,0
"positive_hp2.jpg",0,1,0.5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
"positive_m9.jpg",0.333333333333333,0,0,0,1,0,0,0.5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"positive_p1.jpg",0,0,1,0,0,0,0.333333333333333,1,0,0,1,0,0.75,0,0,0,0,0.5,0,0,0,0,0,0,0
"positive_r4.jpg",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0.5,1,0,0,0,0,0,0
"positive_s1.jpg",0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"positive_S22.jpg",1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"positive_t1.jpg",0,1,0,0,0,0.5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
