"","negative_113.jpg","negative_2095.jpg","negative_2122.jpg","negative_214.jpg","negative_217.jpg","negative_224.jpg","negative_228.jpg","negative_2410.bmp","negative_251.jpg","negative_2750.jpg","negative_3280.jpg","negative_6212.jpg","negative_6510.jpg","negative_6555.jpg","negative_9041.jpg","negative_9421.jpg","negative_9440.jpg","negative_9530.bmp","negative_AF3.jpg","negative_FP3.jpg","negative_I1.jpg","negative_L02.bmp","negative_L04.bmp","negative_L29.bmp","negative_SF4.jpg"
"negative_113.jpg",0,1,0.5,0.75,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,1
"negative_2095.jpg",1,0,0,0,0,0,0,0.5,0,0,1,0.5,0,0,0,0,0,0.5,0,0,0,1,0,0.6,0
"negative_2122.jpg",0.5,0,0,0.333333333333333,0,0.333333333333333,0,1,0,0,0,0,0,0,1,0,0,1,1,0.5,1,0,0,0.5,0.5
"negative_214.jpg",0.75,0,0.333333333333333,0,0,0,1,0,0,0,1,0,0,0.333333333333333,1,0.5,0.5,0,0,0,1,0,0,0,0.333333333333333
"negative_217.jpg",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"negative_224.jpg",0.5,0,0.333333333333333,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0.5,0,1,0,0,1,0,0
"negative_228.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,1,0,1,0,0.5,0
"negative_2410.bmp",0,0.5,1,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"negative_251.jpg",0,0,0,0,0,0.5,0,0,0,1,0.2,0,0,0,1,0,0,0,0,1,0,0,0,0.666666666666667,0
"negative_2750.jpg",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
"negative_3280.jpg",0,1,0,1,0.5,0,0,0.25,0.2,0,0,0.5,1,0,0.25,0,0,0.5,0,0,0,1,0,0,0
"negative_6212.jpg",0,0.5,0,0,0,1,0,0,0,0,0.5,0,1,0.5,0,0,0,0,0,0,0,1,0,0,0
"negative_6510.jpg",0,0,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"negative_6555.jpg",0,0,0,0.333333333333333,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0
"negative_9041.jpg",1,0,1,1,0,0,0,0,1,1,0.25,0,0,0,0,0,0,0.5,0,0,1,0,0,0.5,0
"negative_9421.jpg",0,0,0,0.5,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"negative_9440.jpg",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_9530.bmp",0,0.5,1,0,0,0.5,0,0,0,1,0.5,0,0,0,0.5,0,0,0,0,1,0,1,0,0,0
"negative_AF3.jpg",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"negative_FP3.jpg",0,0,0.5,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.666666666666667
"negative_I1.jpg",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5,0
"negative_L02.bmp",0,1,0,0,0,0,1,1,0,0,1,1,0,0.5,0,0,0,1,0,0,0,0,0,0,1
"negative_L04.bmp",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"negative_L29.bmp",0.5,0.6,0.5,0,0,0,0.5,1,0.666666666666667,1,0,0,0,0,0.5,0,0,0,1,0,0.5,0,1,0,1
"negative_SF4.jpg",1,0,0.5,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,1,0,1,0
