"","positive_012.jpg","positive_032.jpg","positive_041.jpg","positive_047.jpg","positive_078.jpg","positive_2034.jpg","positive_2217.jpg","positive_2300.jpg","positive_2304.jpg","positive_2550.jpg","positive_4574.jpg","positive_4598.jpg","positive_4689.jpg","positive_5830.jpg","positive_7325.jpg","positive_7499.jpg","positive_7502.jpg","positive_7660.jpg","positive_8461.jpg","positive_b.jpg","positive_d6.jpg","positive_EF1.jpg","positive_p1.jpg","positive_s5.jpg","positive_y5.jpg"
"positive_012.jpg",0,1,1,0,0,0,0,0,0.5,1,0,0,0,0,1,0,0,0,0,0,0.5,0.333333333333333,1,1,0
"positive_032.jpg",1,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,1,0
"positive_041.jpg",1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"positive_047.jpg",0,0,0,0,0,0,0.25,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
"positive_078.jpg",0,0.333333333333333,1,0,0,0,0,0,0,0.5,1,0,0,0,0,0,1,0.5,0,0,1,0,0,0,0
"positive_2034.jpg",0,0,0,0,0,0,1,0.5,0,0,0.333333333333333,0,0,0,0,1,0.666666666666667,1,0,0,1,1,0,0,0
"positive_2217.jpg",0,0,0,0.25,0,1,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0,0,0,0,1,0,0
"positive_2300.jpg",0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,1
"positive_2304.jpg",0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0.5
"positive_2550.jpg",1,0,1,0,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1
"positive_4574.jpg",0,0,0,1,1,0.333333333333333,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
"positive_4598.jpg",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,0,0,0,0,0,0.5,1
"positive_4689.jpg",0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0
"positive_5830.jpg",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"positive_7325.jpg",1,0,0,0,0,0,0,0,0.5,0,1,0.25,0,0,0,0,0,0,0,0,1,0,0,1,0
"positive_7499.jpg",0,0,0,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
"positive_7502.jpg",0,0,1,0,1,0.666666666666667,1,0,0,0,1,0.5,0,0,0,0,0,0,1,0,0.5,1,0,0,0
"positive_7660.jpg",0,0.5,0,0,0.5,1,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"positive_8461.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,1,0,0,0
"positive_b.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"positive_d6.jpg",0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0.5,1,0,0,0,0,0,0,0
"positive_EF1.jpg",0.333333333333333,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
"positive_p1.jpg",1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_s5.jpg",1,1,1,0,0,0,0,0,0,1,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0
"positive_y5.jpg",0,0,0,0,0,0,0,1,0.5,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
